@relation data

@attribute id string
@attribute 1234 numeric
@attribute 2833 numeric
@attribute 3458 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3594 numeric
@attribute 3595 numeric
@attribute 3717 numeric
@attribute 6775 numeric
@attribute 7297 numeric
@attribute 914 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 919 numeric
@attribute 920 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1863651286,-0.1688655927,-0.1502639149,-0.1427666815,-0.2414363771,-0.0717812194,-0.1476239943,0.0567569479,0.1474283342,1.2250487839,-0.1000882763,-0.0947839043,-0.2453502594,0.0172649335,-0.1217983118,-0.1204670775,BRCA
GSM480985,-0.2207998319,-0.1413209845,-0.1919777421,-0.1356333635,-0.1827412749,-0.0670248030,-0.1212787411,0.1556939161,0.0046246843,1.1729557717,-0.1162363733,-0.0976470362,-0.1420515836,-0.0755412145,-0.1453095515,-0.0646950120,BRCA
GSM480986,-0.1712512176,-0.1177730070,-0.1827084002,-0.1428892811,-0.1846981423,-0.0620199170,-0.0937844336,0.0812981193,0.1853220856,1.2944865178,-0.0409475534,-0.1025164721,-0.1836532933,-0.0764585939,-0.1005907862,-0.0579067368,BRCA
GSM480987,-0.1795559336,-0.2084977648,-0.0920013336,-0.1302193291,-0.1714984044,-0.0623931143,-0.1229818703,0.0791740535,0.5702428611,1.0620853786,-0.0522814584,-0.0586565112,-0.1135724699,0.0434554065,-0.0885654808,-0.1082901696,BRCA
GSM480988,-0.0547884372,-0.0718401838,-0.1157230785,-0.1597166529,-0.1901072972,-0.0566602528,-0.1196617886,0.0942390446,0.0663063029,1.3467391969,0.0564557209,-0.1690102578,-0.0861505206,-0.0714377011,-0.0758738198,-0.0813145423,BRCA
GSM480989,-0.0846099626,-0.1151803692,-0.2689341306,-0.1920061474,-0.2779082904,-0.0394525892,-0.1697736299,0.1149073330,-0.0039724103,1.2474005231,0.0187507356,-0.1072041952,-0.2747554749,-0.0726881843,-0.1262440262,-0.0625123944,BRCA
GSM480990,-0.1657811482,-0.1149310157,-0.1534946757,-0.1445224128,-0.1840325179,-0.0649264682,-0.1068511449,0.0679819035,0.2327149478,1.2734626049,0.0356717811,0.0162873660,-0.0756518555,-0.0923157431,0.0351502841,-0.0763895354,Control
GSM480991,-0.1589436488,-0.1572649471,-0.1411837970,-0.1728493255,-0.1859649509,-0.0444044853,-0.0670466455,0.0256183829,0.0445867920,1.3447533796,-0.0413351972,-0.0287864372,-0.1731978334,-0.0621004389,-0.0616410336,-0.0782935824,Control
GSM480992,-0.1735812304,-0.1029070334,-0.1471509594,-0.1686027116,-0.1159208217,-0.0492529348,-0.1138592648,0.1000183866,-0.0388068711,1.4693703024,0.0178796594,-0.1138536607,-0.1843718206,-0.0304064613,-0.0767812506,-0.0207560157,Control
GSM480993,-0.1359833443,-0.1543851037,-0.1658804081,-0.1339600720,-0.1286299384,-0.0302774580,-0.0844230321,-0.0802424204,-0.1003067271,1.3497798583,-0.0634127219,-0.0829404122,-0.1479692379,-0.1244298857,-0.0306474256,-0.0625347915,Control
GSM480994,-0.1343092326,-0.1023043881,-0.1043243271,-0.1476996884,-0.1703315423,-0.0874207245,-0.1182540983,0.0004596510,-0.0139391432,1.1643850702,-0.0812545672,-0.0971247711,-0.1624246600,-0.1105393139,-0.1736542294,-0.1121476769,Control
GSM480995,-0.1272051741,-0.0871236000,-0.1218535462,-0.1805963382,-0.2091386723,-0.0426318683,-0.0888891684,0.0980818387,0.0519979911,1.1088347386,-0.1563190488,-0.1060831791,-0.1653984124,-0.0832558254,-0.1097603444,-0.0775651909,Control
GSM480996,-0.0853438116,-0.1572663652,-0.1199751847,-0.1458660253,-0.1605933706,-0.0351842653,-0.1214167109,0.0791217182,0.1592058472,1.1193490377,0.0118079611,-0.0229374820,-0.1479775926,-0.0096773121,-0.0471036181,-0.1102950716,BRCA
GSM480997,-0.1301059968,-0.1369485234,-0.1040407364,-0.1541028922,-0.2443212137,0.0249137546,0.0060919733,0.1844789574,0.0786363666,1.3566061391,0.0179678131,-0.0532792890,-0.2339337939,0.0236029510,-0.1469830707,-0.0518638039,BRCA
GSM480998,-0.1038113374,-0.0820887367,-0.0828784693,-0.1139042600,-0.1250489388,-0.0448342593,-0.1071794277,0.0564494044,0.0099761672,1.2665833037,-0.0625839448,-0.0647628040,-0.1931845868,-0.0661457953,-0.1018138896,-0.0159804952,BRCA
GSM480999,-0.1668493681,-0.1886289144,-0.1277869129,-0.2075630220,-0.1916483517,-0.0765615118,-0.1171348230,0.1262857677,0.0758846866,1.3766815067,-0.0880847282,-0.0480174324,-0.2173311349,-0.0348622308,-0.0741243098,-0.0883136774,BRCA
GSM481000,-0.1319452939,-0.1098501725,-0.1535977246,-0.1457922550,-0.1269652533,-0.0563972766,-0.0934486254,0.1990989346,-0.0458448910,1.4108173631,-0.1221411878,-0.0719142461,-0.1011236538,-0.0122054115,-0.1223776192,-0.0875784462,BRCA
GSM481001,-0.1426385252,-0.1668014680,-0.1481627119,-0.1489206319,-0.2182620506,0.0065617164,-0.0778972694,0.0719770665,-0.0146382739,1.0788993968,0.0219365479,-0.1214602343,-0.1624081214,-0.0601575094,-0.1688306261,-0.1328008519,BRCA
