@relation data

@attribute id string
@attribute 10010 numeric
@attribute 1147 numeric
@attribute 1432 numeric
@attribute 1540 numeric
@attribute 1654 numeric
@attribute 23586 numeric
@attribute 26007 numeric
@attribute 29110 numeric
@attribute 338376 numeric
@attribute 340061 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3443 numeric
@attribute 3445 numeric
@attribute 3456 numeric
@attribute 3467 numeric
@attribute 3551 numeric
@attribute 3576 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3627 numeric
@attribute 3661 numeric
@attribute 3665 numeric
@attribute 4214 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 5300 numeric
@attribute 54941 numeric
@attribute 55593 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 56832 numeric
@attribute 57506 numeric
@attribute 5970 numeric
@attribute 6300 numeric
@attribute 64135 numeric
@attribute 64343 numeric
@attribute 6885 numeric
@attribute 7124 numeric
@attribute 7186 numeric
@attribute 7187 numeric
@attribute 7706 numeric
@attribute 79132 numeric
@attribute 79671 numeric
@attribute 80143 numeric
@attribute 841 numeric
@attribute 843 numeric
@attribute 8653 numeric
@attribute 8717 numeric
@attribute 8737 numeric
@attribute 8772 numeric
@attribute 9140 numeric
@attribute 9474 numeric
@attribute 9636 numeric
@attribute 9641 numeric
@attribute 9755 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.5650743174,1.5553736859,0.6466643338,0.2495850493,1.8076661961,0.3545336227,0.0569659436,1.4199947384,0.2217623983,0.0296132226,-0.1199885893,-0.0355491750,-0.0352307766,-0.1936514984,-0.0526817539,-0.0821404606,0.5241222142,0.8618448906,-0.1427666815,-0.2414363771,-0.0945018281,1.0548458216,0.2621445727,0.8951084466,0.4754300158,0.8049394469,0.6222571999,0.6860805685,0.1991314303,0.3936945008,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,-0.1661799071,-0.0394104061,0.8525465690,-0.0068966250,0.1412796113,0.5627324081,0.9587464938,-0.0286056817,-0.0161119644,0.5542944142,1.1255560943,-0.0346961401,0.2054495352,1.1768959888,0.2062981343,-0.0135339439,-0.1302227363,0.4405293713,0.3025678801,1.0118299987,1.8391048150,0.7646544867,0.2962261570,-0.0148841539,-0.0605042056,BRCA
GSM480985,0.7954729160,1.1625347307,0.5214375071,0.4909503986,1.4813197783,0.4486756139,0.0874698347,1.4103516273,0.2141196547,0.1110314414,-0.1568539746,-0.0688103966,-0.0579974532,-0.2161015719,-0.1283639223,-0.0726769003,0.8006201253,1.2310367167,-0.1356333635,-0.1827412749,-0.1261046751,0.9619517792,0.3229465311,1.0636305118,0.4509238059,0.9412159958,0.5609422953,0.5491396287,0.2984778683,0.4718424200,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,-0.0898644244,0.0310598344,0.8536376064,-0.0052304801,0.2236295765,0.6445494041,0.8959703881,0.0503361004,0.0039439453,0.4229003476,0.7710043522,0.1616291864,0.3036541186,1.0601555025,0.1230658667,0.0119626756,-0.1156708140,0.7702170055,0.3405707169,0.9433996992,1.5992113595,0.7113421234,0.3321017708,0.1249656190,0.0296321564,BRCA
GSM480986,0.5364424629,1.3508609449,0.5058162958,0.2181419641,1.8822841401,0.3618640598,-0.0169819776,1.0706012746,0.1294036453,0.2133378766,-0.1459904786,-0.1096312147,-0.0646809692,-0.1664142668,-0.0855226764,-0.0676386998,0.5310721682,1.1678017355,-0.1428892811,-0.1846981423,-0.1233414822,1.0879376855,0.2916625174,0.7935199528,0.3572855135,0.9283377825,0.7128700620,0.9630492989,0.2918439886,0.4792017496,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,-0.1623896830,0.0220968891,0.9353946786,0.0253748071,0.0731956334,0.5833066667,0.6764137213,-0.0117659394,0.0043865108,0.6713280771,1.1563856644,-0.0719915034,0.2865030991,0.9489210104,0.1717739808,0.0226212136,-0.0933167742,0.8699044535,0.3061211907,1.1722454262,1.3599473943,0.5230999732,0.3361407387,0.1161199381,-0.0467010979,BRCA
GSM480987,0.2741055875,0.9561490119,0.6135009341,0.1561899592,1.7739738714,0.2473949593,-0.0639961311,0.8813240594,0.0316424349,0.0227802348,-0.1097571099,-0.0948572686,-0.1676894665,-0.1128342754,-0.0639082647,-0.0754465456,0.3550794774,1.1729830871,-0.1302193291,-0.1714984044,-0.0843120006,0.6078441045,0.0574592080,0.5396577952,0.2389650019,1.1037804131,0.7524098709,0.5398146491,0.1796249472,0.4825327757,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,-0.1882065824,0.0485572440,0.8780260834,0.1567118048,-0.0788403630,0.7555073265,0.5847795974,-0.0407701192,0.0084098196,0.6198128639,1.3415078980,-0.1207917545,0.2478706474,0.8639018559,0.1670144839,-0.0374388536,-0.1046337882,0.5612895813,0.2509096731,1.2946500264,2.0394335823,0.4905198044,0.5427243850,-0.0076473621,0.0386993963,BRCA
GSM480988,0.5475039634,1.0976330084,0.4483090917,0.1946552627,1.3518011566,0.5579253692,0.0103494000,0.9052912428,0.0115482801,0.1410408747,-0.2155395465,-0.1216714709,-0.1151237102,-0.1170662931,-0.0499219117,-0.0802204259,0.6144637026,0.4444268425,-0.1597166529,-0.1901072972,-0.0823538198,0.8604278209,0.1464195122,0.7586201133,0.2502003758,0.7093335530,0.5546799707,0.7133140761,0.1490644575,0.4003587548,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,-0.1248015100,-0.1205929500,0.6707278885,-0.0337513612,0.1850729008,0.4089790515,0.5952524423,0.0001304974,0.1082906400,0.3084307401,0.6422132481,0.0255461289,0.5530483055,0.7971414686,0.2149495928,-0.0271093216,-0.0884668429,0.7674596748,0.2956867596,1.1240172577,1.2774651267,0.5150745518,-0.0016356227,0.0166109555,-0.0960313106,BRCA
GSM480989,0.2122975238,0.6682628254,0.4561344552,0.0885577710,1.3000103161,0.1380224213,0.0926737893,0.4892180647,-0.0275061843,0.3654611521,-0.2096376306,-0.1344856783,-0.0775834191,-0.2043228039,-0.0385720141,-0.0969321421,0.4192595793,0.7921105779,-0.1920061474,-0.2779082904,-0.0220986844,1.1559712717,0.4143021801,0.6540494401,0.1723780840,1.0994870811,0.6648718736,1.0805920239,0.1978753809,0.4994103001,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,-0.2128099640,-0.0525853271,1.1224099571,0.0401129422,0.0508846488,0.1536608393,0.3143859178,-0.0217998318,0.0247480945,0.4933905824,1.1163175234,-0.1456004399,0.4028356245,0.6194398552,0.1998820402,0.0340671556,-0.0753164206,0.9244262918,0.1041393924,1.3094834884,1.1571573913,0.2079867127,0.5766588976,0.0987333377,-0.0616433873,BRCA
GSM480990,0.1959840808,0.8183849113,0.3805084057,0.1909202788,1.3501730653,0.1734370638,0.0404964643,0.6201157256,0.0179010799,0.2982594389,-0.1833390939,-0.0603193185,-0.0836057560,-0.2017702788,-0.0773540400,-0.0122559767,0.4130142646,0.7562215037,-0.1445224128,-0.1840325179,-0.1785812163,1.1517067235,0.2441689003,0.6895217888,0.3219937040,1.2569765001,0.7222510494,0.8093321625,0.1610102478,0.5414489270,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,-0.2131555426,0.0859563885,1.1399565821,0.1445519146,-0.0246055251,0.1819148995,0.4204747106,-0.0152148257,-0.0334197225,0.5814113617,1.1197690943,-0.0842585277,0.3796422610,0.7249832248,0.0764739330,-0.0721569419,-0.0838077674,0.9544915450,0.0876675515,1.3122771946,1.2531385449,0.2853235367,0.4461597756,0.0047592533,-0.0299560043,Control
GSM480991,0.4339459597,1.0469395604,0.4695376563,0.2763510382,1.6805023173,0.5780202312,0.1078198503,0.7864951706,0.0962259611,0.2336062332,-0.1778612315,-0.0778660037,-0.1045818321,-0.1634213613,-0.1146401153,-0.0617795376,0.4572952855,1.1222321147,-0.1728493255,-0.1859649509,-0.0736854586,1.0437163300,0.4185109420,0.8135851005,0.3367405246,1.2472408378,0.8390529259,1.0176018090,0.3096507088,0.6038397310,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,-0.2273736163,0.0589605966,1.0769064036,0.1220167010,0.1232026482,0.3737416567,0.5598204840,0.1726690396,0.0421075354,0.6795843002,1.1037731254,-0.0298135416,0.4328597682,0.8467867135,0.2183779771,0.0404280946,-0.0698303961,0.9954326866,0.2397026908,1.1380086821,1.1591522700,0.3582306911,0.7347039714,0.1555729893,-0.0432071780,Control
GSM480992,0.2028120706,0.6665939561,0.3800862124,0.1224184978,1.2411995886,0.0437622333,0.1032008441,0.5256840844,-0.0034490553,0.2967734013,-0.1318738071,-0.0616193620,-0.0327074025,-0.1333063953,-0.1523727468,0.0273859070,0.3674736292,0.0302081386,-0.1686027116,-0.1159208217,-0.0712510158,1.2706938629,0.6244995780,0.6908869928,0.1333302662,0.8925691490,0.7926203149,1.1403154507,0.2015270031,0.6317391256,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,-0.1572228646,0.0643659119,1.2896809784,0.0927470139,0.1098245685,0.2002431544,0.4415234548,-0.0538811761,-0.0174076045,0.5012856345,1.1708214307,-0.0721749971,0.5673300485,0.5053396349,0.1025927702,0.0038334804,-0.0738344467,1.0342417146,0.2120288617,1.1863660183,0.7598053622,0.1842532739,0.3986159531,0.1035292027,0.0365474955,Control
GSM480993,0.3732324831,1.1139041867,0.5930127984,0.2058762823,1.4133435752,0.1892079480,0.1155734142,0.7399564301,-0.0424499929,0.2270228619,-0.1627845147,-0.0709183736,-0.0435795975,-0.1360850570,-0.1179253427,0.0010087176,0.5721119152,0.6293743797,-0.1339600720,-0.1286299384,-0.1039843186,1.0818377999,0.3454880324,0.8665301368,0.2735164897,0.9085881339,0.8274797584,1.0804998019,0.2980881647,0.5153482431,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,-0.1314978268,0.0235644488,0.9961075650,0.0791702164,0.0548272891,0.4063721535,0.4999517977,-0.0270253466,0.1364159654,0.6170357651,1.1288116473,-0.1529221441,0.4584675552,0.7660797086,0.1875540034,0.0207828306,-0.0894379244,0.8602189127,0.3169923441,1.3608774774,1.2820917909,0.3854591267,0.5658903030,0.1040214929,-0.0088959383,Control
