@relation data

@attribute id string
@attribute 10302 numeric
@attribute 10621 numeric
@attribute 11128 numeric
@attribute 11178 numeric
@attribute 171568 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5437 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 5451 numeric
@attribute 55290 numeric
@attribute 55703 numeric
@attribute 55718 numeric
@attribute 55814 numeric
@attribute 661 numeric
@attribute 6617 numeric
@attribute 6618 numeric
@attribute 6619 numeric
@attribute 6621 numeric
@attribute 6908 numeric
@attribute 7702 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8727470505,1.7032670247,0.5896097370,-0.1412564688,0.7655356586,0.8600320538,0.9390896344,2.2408497483,1.5956783741,1.6747005731,0.2635002885,0.5374807089,0.9429248124,1.0272386526,0.8127781419,0.9074461555,0.9118458330,0.0381352532,0.7796377986,0.4403947418,1.7934711947,0.8074825910,BRCA
GSM480985,0.7733261192,1.3219076064,0.4986423923,-0.1499538233,0.4966072811,0.6569830517,0.3429515940,1.7362441270,1.3546642363,1.2201701118,0.1845204568,0.4144739750,0.5387295912,0.9044012409,0.6393962027,0.6114921686,0.6876337083,0.0865431198,0.7797868312,0.3460790882,1.5032221264,0.6947636390,BRCA
GSM480986,0.7116134527,1.5297714471,0.7349948802,-0.1270073439,0.9185567765,0.9663382927,0.7438989184,2.0280745625,1.5147999951,1.7253105589,0.1845095211,0.5082443795,0.9645122811,1.0190240576,0.6199898407,0.8847482707,0.9161699824,0.1897442141,0.7844230140,0.4457074879,1.4256592169,0.7236269299,BRCA
GSM480987,0.8807301271,1.1321926530,0.7084342667,-0.1202228327,0.7887064341,0.7729776755,0.7551016080,1.9679285884,1.1692217951,1.7316677769,0.0676998071,0.6019706456,0.9201272017,0.9488023310,0.2820055889,0.8069621914,1.4738238155,0.1081784013,0.6383602744,0.4227110866,1.3821598534,0.7704277414,BRCA
GSM480988,0.5645477866,1.1208416986,0.5282034142,-0.1214884091,0.9651562654,0.5144257691,0.3602641243,1.6670975165,1.3366246809,1.1884789462,0.1658062528,0.1433237459,1.2809051945,0.9741657210,0.7394690407,0.5456080897,0.7753462940,0.0162448598,0.8481044858,0.5160415954,1.5634070187,0.9391774321,BRCA
GSM480989,0.6241157914,0.9035516373,0.5531598683,-0.1523588766,0.9260271513,0.9081393301,0.7286765165,2.3189120144,0.8982298934,1.9962721103,0.1599550665,0.6147115450,0.4544721697,0.6008602958,0.2728734533,0.8751951870,0.2433965559,0.1649473327,0.4955705719,0.3211968432,1.5631407052,0.2682538976,BRCA
GSM480990,0.4690600992,1.0401086501,0.5823417493,-0.1202919134,0.8756542040,0.9311095635,0.7436226618,2.2209360302,0.9416872767,2.0354376055,0.1041536037,0.6059728659,0.4213394257,0.6828110645,0.3532784269,0.9177535353,0.5978076458,0.1594612682,0.5483070424,0.3730986099,1.5624036790,0.3184243662,Control
GSM480991,0.6271140228,1.1311350229,0.5963492494,-0.1042475726,0.9638712473,0.8822802315,0.7639645895,1.9216874392,1.2645089434,1.8021113847,0.0904139955,0.4291858287,0.6858045105,0.7471242764,0.4519655272,0.8056894579,0.4850198674,0.1270760557,0.6790421738,0.3288832054,1.3658582157,0.4309192191,Control
GSM480992,0.5401155565,0.8774611006,0.5375299751,-0.1445662657,0.9405568666,1.2745025079,0.7806424229,2.1274780929,0.7483742192,1.8525854391,0.1239075567,0.4373661642,0.2783685128,0.8708294126,0.2707994128,0.8160535955,0.3457251900,0.3119438207,0.6497221314,0.5319280064,1.3376590424,0.4084019147,Control
GSM480993,0.6932624346,1.3457607883,0.6970671915,-0.1054402017,0.9367596336,1.0128080229,0.7003747450,2.0007002651,0.9727141986,1.7345658838,0.1955184102,0.3690027749,0.7181576340,0.9390184941,0.3142341293,0.9070825479,0.6347920821,0.2206841909,0.6697835850,0.3526025017,1.3345121518,0.6380526778,Control
