@relation data

@attribute id string
@attribute 113612 numeric
@attribute 124975 numeric
@attribute 151056 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1571 numeric
@attribute 1573 numeric
@attribute 1579 numeric
@attribute 2053 numeric
@attribute 239 numeric
@attribute 240 numeric
@attribute 242 numeric
@attribute 246 numeric
@attribute 247 numeric
@attribute 26279 numeric
@attribute 2678 numeric
@attribute 2686 numeric
@attribute 2687 numeric
@attribute 27306 numeric
@attribute 2877 numeric
@attribute 2878 numeric
@attribute 2880 numeric
@attribute 2882 numeric
@attribute 30814 numeric
@attribute 4048 numeric
@attribute 4056 numeric
@attribute 50487 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5730 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 57834 numeric
@attribute 64600 numeric
@attribute 6916 numeric
@attribute 80142 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 84647 numeric
@attribute 8529 numeric
@attribute 8644 numeric
@attribute 8681 numeric
@attribute 873 numeric
@attribute 874 numeric
@attribute 9536 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2927277170,-0.1965552097,0.0171322331,0.1585659757,0.0271161102,-0.0862011614,-0.0757955666,-0.1442158234,0.3184088073,-0.0175617336,0.0063906746,-0.0222161106,-0.0713152683,-0.1034603474,-0.0803534638,0.0052058998,0.0115749054,-0.1405790460,0.0492333884,0.0714589140,-0.1206031229,-0.1017674898,-0.0934432563,0.1800197673,-0.0713479757,1.4737838936,-0.1904537968,1.7677214740,-0.3295252024,0.2648592970,0.0724902563,0.3919864135,-0.0567561424,0.1942306542,0.8430628123,1.1765972163,0.7079251005,0.4811786679,-0.1692575254,-0.2286017106,-0.0439210698,0.5577916577,0.8918800157,0.0096668727,-0.0773267898,-0.1684062640,0.3684823076,-0.0101853435,0.6497832909,0.8799549193,1.4192977688,BRCA
GSM481003,0.2306603056,-0.1595818030,-0.0120397132,0.1722779573,-0.0056316560,-0.0496677926,-0.0982124244,-0.1283854654,0.0888888314,-0.0297039256,-0.0347747363,0.1850815624,-0.0715602101,-0.1211986249,-0.0591295482,-0.0301836552,-0.0900780548,-0.1302135657,0.0563030989,0.0727006719,-0.0852208941,-0.0986183136,-0.0791331802,0.0970629734,-0.1357232097,0.5915467948,-0.1219833474,1.7173959613,-0.0808182491,0.2367261773,-0.0359319534,0.0715840599,-0.0835485794,0.2958115291,1.2905869438,1.4035428422,0.7174149484,0.2336032408,-0.1246671731,-0.1516569339,-0.0787621621,1.1214279794,1.1356858278,0.0912243185,-0.1046172373,-0.1490421393,0.6167109014,-0.0306176476,0.5130968227,0.7568302254,1.5714282054,BRCA
GSM481004,0.4006061867,-0.1534364847,-0.0763002415,0.2313475910,-0.0731946221,-0.0818093957,-0.0435855907,-0.0464546807,0.1783724768,-0.0684813714,-0.0089214040,0.1042878367,-0.0037777332,-0.0498099645,-0.1187061145,-0.0659571630,-0.0484391704,-0.1334671667,0.0684379240,0.0586428504,0.0985939238,-0.0142540879,-0.0660231472,0.0308373947,-0.0710981288,1.2194846752,-0.1383980732,1.7263911218,-0.2045751710,0.4841016842,0.0367292284,0.3503516176,-0.0147714728,0.9263242449,1.3037162861,1.2576344863,0.6887745815,0.8012255923,-0.1392575748,-0.0981588746,-0.0892489246,0.6934700351,0.9571160324,0.0167640063,-0.0605252561,-0.2048973007,0.7629036049,0.0138251425,0.6132914242,1.3514826958,1.8666514189,BRCA
GSM481005,0.5892580389,-0.1943502081,0.0022062956,0.1046610113,-0.0065029429,-0.0992456471,-0.0325022561,-0.1331450652,0.0761728937,-0.0805736145,-0.0909896149,0.1147015383,-0.0987594053,-0.1011029818,-0.0796333103,-0.0378474840,0.0171956802,-0.0750139249,0.1108870594,0.0796147484,-0.1441247781,-0.1172569349,-0.0516490557,-0.0289244837,-0.0539918806,1.0218469152,-0.1711450809,1.5656620486,-0.1482289869,0.2413362460,-0.0366886569,0.2416097289,0.0360093063,1.5309084753,0.4309377606,1.1628527148,0.4668393488,0.9504078202,-0.2228230979,-0.1681138359,-0.0372197082,0.5665599500,1.0282304035,0.1013291268,-0.0551051659,-0.2286259233,0.5152974397,0.0939124124,0.6367035292,0.9224044814,1.9801338594,BRCA
GSM481006,0.3419656233,-0.1734556500,0.0036467817,-0.1440608303,0.0111786044,-0.0387587958,-0.0438407126,-0.1012677014,0.1763603556,-0.0212036703,-0.0798972317,0.5756665738,-0.0645507741,-0.0996842520,-0.1448593520,-0.0846442146,-0.0995106624,-0.0912184608,0.0464452730,0.1069125818,0.0443164714,-0.0736836409,-0.0798398251,0.0236422704,-0.1135379819,1.1057887971,-0.1978774663,1.8579623996,-0.1652822842,0.1678630912,-0.0627304080,0.3202906285,0.0852915491,0.5399629881,2.3803724497,1.1273412171,0.9706695579,0.4449323208,-0.2557369900,-0.0775579248,-0.1255421034,0.7152574333,0.9375375463,-0.0030618567,-0.0416173076,-0.2198600320,0.2609349255,0.0167937154,0.6656875347,1.3618394072,1.5061792881,BRCA
GSM481007,0.2466408234,-0.1186690941,-0.0506421915,0.1385402210,0.0354357037,-0.0065737251,-0.0776154143,-0.1151327348,0.2498509929,0.0069895311,-0.0249337369,0.0121907063,0.0419442098,-0.0997862081,-0.0027596990,0.0378744397,-0.0581241407,-0.1956158172,0.0242505454,0.0541935222,0.2946690530,-0.0856932495,-0.0496551449,0.6866966511,-0.1126031602,0.5377802943,-0.1225340637,1.3644309195,-0.0022176860,0.3013776672,0.2451748582,0.1465554425,0.2361062177,-0.1124364039,2.3555911407,1.5673731999,0.3178714148,0.6039500778,-0.2221822221,-0.0877751080,-0.0719590194,1.0391119106,1.2202413425,0.0449932087,-0.0696049801,-0.1057917127,0.9547280744,0.0332880970,0.6344537139,0.6981835794,1.6568421318,BRCA
GSM481008,0.0765387923,-0.0758946243,0.0295820435,0.1209009113,-0.0603472893,-0.0438651082,-0.0740819126,-0.0450347919,-0.0637183877,-0.1478580669,-0.1333054129,-0.2216720234,0.0363585608,-0.0448994405,-0.1158286881,-0.1354603991,-0.0268426111,-0.1066421580,0.1712634300,0.0356225157,-0.1320250562,-0.0820696064,-0.0886872276,0.2237250144,-0.1140821047,0.2446994814,-0.1632898217,1.4102933668,-0.2273044252,0.3109411343,0.0617635319,-0.0294756517,0.3041578594,-0.1651714859,-0.0474422501,0.2794073006,0.3754256457,1.5930280676,-0.2757464141,-0.1806219434,-0.0602440672,0.8609487766,0.9744661360,0.0442506512,-0.0548871543,-0.2572528473,0.4170441776,0.1876541325,0.6509678181,1.3725927207,1.1125741416,Control
GSM481009,0.1948922246,-0.2876007896,0.0276593864,-0.1521529877,-0.0297823290,-0.0593741846,-0.0503968609,-0.0856838824,0.1378533497,-0.1011468226,-0.0138560049,-0.1969926996,0.0086174843,-0.1613337901,-0.2361015269,-0.1274069204,-0.0988460025,-0.0463956869,0.0738890599,-0.1788573149,-0.2611528257,-0.0613789018,-0.1323422881,0.0175598176,-0.1062031977,0.8609542303,-0.2374210076,1.4321836755,-0.3825408949,0.0616922838,-0.0636470687,0.4092911698,0.1206036070,0.4025874838,1.4022177059,1.0419481601,0.2658065180,0.1736270667,-0.4238317700,-0.1908542063,-0.1057554232,0.1754670011,0.8410133314,-0.0454398805,-0.0924899587,-0.2953501643,0.6728751694,-0.0391394026,0.1284684753,0.6687711634,1.4374833132,Control
GSM481010,0.3023260078,-0.1098885016,-0.1300545272,0.0454600920,-0.0076466147,-0.0386769528,-0.0676946584,-0.1009081261,0.4197627317,0.3303274657,-0.0935490101,0.2344602809,-0.0331373350,-0.0738747585,-0.0919431109,0.0284578359,0.0988037470,-0.1037507219,0.0301321373,0.1634075679,-0.0611636645,-0.0863320944,-0.0623149385,-0.0576613616,-0.1056655061,0.2696589984,-0.1049189998,2.0681158005,-0.0559861151,0.0982108879,0.1075761976,0.0486381737,-0.0151800391,0.0399373054,1.4973781259,1.1908484872,0.2488551289,0.4616328687,-0.1602440304,-0.0974640826,-0.1023762783,0.6970609325,1.1378867638,0.0982792469,-0.0359266409,-0.2434852720,1.4649742171,0.1038080066,0.6776401002,0.7911645706,1.3298912402,Control
GSM481011,0.2705030434,-0.0985479879,0.0250080315,0.1952806217,0.0541730740,-0.0811034764,0.0213148153,-0.1279543551,0.2275359989,-0.0839257360,0.0162686964,0.1856597653,0.0114532470,-0.0915077074,-0.1658002444,-0.0010486751,-0.0423941436,-0.1059520594,0.0590844058,0.0066764836,-0.0973770966,-0.1149093987,-0.0744177047,0.0625287259,-0.0746393124,1.6405061748,-0.2251044646,1.3349253609,-0.1711432663,0.2946575154,-0.0610166781,0.0602992324,-0.0271469704,0.1297885573,1.4316557738,1.3466470958,0.3501833566,0.3457223476,-0.2401862704,-0.1592199401,-0.0947039655,0.8174154085,1.3700665053,0.0436406151,-0.0414344758,-0.0686031680,0.1461639744,-0.0462587857,0.9143647352,1.3098202147,1.7614633501,Control
