@relation data

@attribute id string
@attribute 1215 numeric
@attribute 1359 numeric
@attribute 1511 numeric
@attribute 1636 numeric
@attribute 183 numeric
@attribute 185 numeric
@attribute 186 numeric
@attribute 2028 numeric
@attribute 290 numeric
@attribute 4012 numeric
@attribute 4142 numeric
@attribute 4311 numeric
@attribute 5476 numeric
@attribute 57486 numeric
@attribute 59272 numeric
@attribute 5972 numeric
@attribute 7064 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1480715811,-0.0154710036,-0.1027957866,-0.1538685693,-0.1120901046,-0.0788496102,-0.1160059282,-0.0957316236,0.7517795999,0.0184573920,-0.1016559989,0.0005847169,1.6688041425,0.0029805492,-0.1399900184,-0.1909523241,-0.1255414561,BRCA
GSM481003,-0.1147454990,-0.0769760606,-0.0200218355,-0.1002396531,0.1677330759,-0.0284873306,-0.1306370319,-0.0538528338,0.3895851531,0.3622618063,-0.0810030104,-0.0290859851,2.2890987320,0.0680850215,-0.0858238996,-0.1355522880,0.0037165819,BRCA
GSM481004,-0.1197606847,-0.0050540623,-0.0992154745,-0.1577521968,-0.0217560859,0.0138414101,-0.0898875580,-0.0882563218,1.1136212200,0.2885737496,-0.1498766046,0.2491273127,2.2099554836,0.0868564475,-0.0898658568,-0.1744683538,0.0477727046,BRCA
GSM481005,-0.1582729523,0.0443981122,-0.0642883210,-0.1595498767,-0.0178412233,0.1755062199,-0.1457277810,0.0262462728,0.2281151835,0.2299556329,-0.0829986315,0.0252006038,1.7231070436,0.0901124460,0.0281839931,-0.1706543536,0.0485732753,BRCA
GSM481006,-0.1632388030,-0.0762847171,-0.0758794380,-0.1606978679,0.1622340593,0.0155653362,-0.1551280927,-0.1014617261,0.2513129445,0.1859615428,-0.0961513564,0.4931064882,1.8289174401,0.1246675069,-0.1091689763,0.2777517521,0.0695984457,BRCA
GSM481007,-0.0877366473,0.0970567943,-0.1121185161,-0.1408010811,0.5141294134,-0.0307493399,-0.0899526563,-0.1145842359,0.1324073782,0.3529815726,-0.0508210876,0.1887912698,2.3580189646,0.0624374563,-0.1141963462,-0.2432841328,0.0996803094,BRCA
GSM481008,-0.1329895425,-0.0959019469,-0.1888690405,-0.1408923033,-0.0906978261,0.0839432314,-0.1083722546,-0.1236730844,2.4334105551,0.1138731206,-0.1399125204,1.2443220487,2.3932400868,0.2121165470,-0.1215575319,-0.2282772547,0.4668532126,Control
GSM481009,-0.2154245246,-0.0112057638,-0.2802521765,-0.2270745653,0.1032766087,-0.0571781541,-0.1386079682,-0.0465064601,0.7901227976,0.0694565218,-0.0105408575,-0.0582148823,1.6071628579,-0.0041184212,-0.1403233591,-0.2561627578,-0.6127991207,Control
GSM481010,-0.0524291736,-0.0108968351,-0.1062122989,-0.1403038260,-0.1275365269,-0.0363727198,-0.1206870100,-0.1013832220,0.0226994641,0.1869420990,-0.1040219026,0.0383274638,2.0466564819,0.0800320770,-0.0675902748,-0.1146701857,0.1485427060,Control
GSM481011,-0.1800589150,0.0294009258,-0.1168079233,-0.1937270963,-0.0954623277,-0.0570911442,-0.0686396572,-0.0921154449,0.2015644595,0.2212248581,-0.0481227229,-0.0510743456,1.7829934471,0.1078065768,-0.0568196091,-0.2511462728,0.1165053331,Control
GSM481012,-0.0314968534,-0.0947960906,-0.1278329809,-0.0882995424,0.0901940650,-0.0062338174,-0.1096740133,-0.0429569081,0.8232829794,0.3298066081,-0.0232443639,0.0047496341,2.3160722929,0.0912409055,-0.1233361119,-0.1736587767,0.0030879874,Control
GSM481013,-0.0545412122,-0.0711058644,-0.1469935620,-0.1096821970,-0.0923052864,0.1760611688,-0.1186879603,-0.0838859800,2.0392621606,0.1330976231,-0.1021282985,0.9443427225,1.9919942618,0.1109532073,-0.1557091527,-0.1742644976,0.9169981394,Control
GSM481014,0.0385124749,0.0898495306,-0.1474798928,-0.1255415536,0.9715413782,0.1729312864,-0.1457824551,-0.1036273425,0.8837295770,0.4815815115,-0.0752459961,1.8991852929,2.9618838578,0.1495037166,-0.1116332370,-0.2159105366,0.0873373453,BRCA
GSM481015,-0.1320165607,0.0076240178,-0.0914645306,-0.0673556928,0.7389688491,-0.0524624229,-0.0623493995,-0.0728655655,2.3964030445,-0.0616829616,-0.1676624136,1.3963160725,2.5423866584,0.0726912608,-0.1147711682,1.5775406824,0.1969214359,BRCA
GSM481016,-0.1117630945,-0.0066858220,-0.0545409284,-0.1641831846,-0.0962299180,0.4419858828,-0.1089079553,-0.1290849328,1.1284707636,0.1384399040,-0.0478435148,0.3677212214,1.5551200594,0.2041460146,-0.0923500691,-0.0046330841,-0.0239806820,BRCA
GSM481017,-0.0809311031,-0.0959731198,-0.1723746913,-0.1500347896,0.0572759023,0.4108932661,-0.1141254382,0.1744804291,0.8178024591,0.2043222330,-0.0677172412,0.3020161539,1.5829467734,0.2289357112,-0.0846548698,-0.1425393836,-0.0995681254,BRCA
GSM481018,-0.1144604585,0.0347086743,-0.2188557458,-0.0686873378,0.4493382082,0.4051279905,-0.1182461910,-0.0608647539,1.9898696021,0.2486741076,-0.1312485006,0.3366806358,2.3934811726,0.0519100715,-0.0841385600,-0.2323338003,-0.1301704971,BRCA
GSM481019,-0.0973317575,0.0067019651,-0.1300185001,-0.1212171978,-0.0439277514,0.6950520369,-0.1096114688,-0.0845093018,1.6401624680,0.1581605047,-0.1250865100,1.3561718429,1.8868421650,0.1177172984,-0.1049517531,-0.1465933434,0.1468711921,BRCA
