@relation data

@attribute id string
@attribute 10342 numeric
@attribute 1499 numeric
@attribute 3265 numeric
@attribute 3845 numeric
@attribute 4609 numeric
@attribute 4893 numeric
@attribute 4914 numeric
@attribute 51176 numeric
@attribute 5468 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 595 numeric
@attribute 5979 numeric
@attribute 6256 numeric
@attribute 6257 numeric
@attribute 6258 numeric
@attribute 673 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7157 numeric
@attribute 7170 numeric
@attribute 7175 numeric
@attribute 7849 numeric
@attribute 8030 numeric
@attribute 8031 numeric
@attribute 83439 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1820304833,0.6174689995,0.8212452234,0.1314761901,0.1863047483,0.8848718814,-0.1747343264,-0.0819218758,-0.0268281737,0.3768321643,1.1201675758,0.1390805759,1.4593906332,-0.0330026185,0.9204617303,0.1394931379,-0.0908828420,0.1777965052,0.0388651469,0.4804667581,0.9853307140,0.1876934682,0.1577045299,-0.0508958565,2.5559276820,2.9529028338,1.2487681582,0.0180790283,BRCA
GSM481003,0.1906462945,0.5368674805,0.9474795161,0.0738842817,0.2694517161,0.9542065300,-0.1846113332,-0.0555656530,0.0039922826,0.4223379152,1.1333078442,0.1453346393,1.6346685103,-0.0661105833,0.8595386953,0.1447411300,-0.1735356701,0.0848102706,0.3832931219,0.3278736179,0.9925875762,0.1077738088,0.1194375491,0.5575528488,2.6936374187,2.8721579313,1.0709934719,0.4613067603,BRCA
GSM481004,0.2739940072,0.5084360550,0.8814408686,0.0657351969,0.3419797647,0.9630198516,-0.2144304077,-0.0759171264,0.0969326167,0.5495924441,1.3982536542,0.0639251527,1.6619296756,0.0436522184,1.2359945222,0.1645341302,-0.1753190602,0.1890694758,0.0808795862,0.2659067271,0.8802483742,0.1809681581,-0.0029262668,-0.0528258362,2.6084813236,3.2190803490,1.4482506214,-0.0217994316,BRCA
GSM481005,0.2921913873,0.6957511474,0.8521304950,0.1621117626,0.1626732602,0.8978069759,-0.1696848749,0.0912356529,-0.1103467516,0.4403047296,1.3712493853,0.0764267961,2.1236051734,-0.0492876788,1.0320280119,0.1038166952,-0.1130130112,0.1629802437,0.0376215268,0.4122424872,0.9015575944,0.0909094089,0.1922588330,-0.0468719909,2.4776826622,2.9939517180,1.3552098126,0.1299700532,BRCA
GSM481006,0.2057132585,0.6774093451,0.8876503406,0.1676137317,0.2744588943,0.6079864987,-0.1832060911,0.0818538499,-0.0297037756,0.3909603753,0.9865753614,0.1169393467,1.6552993021,-0.0471621856,0.9341763254,0.1221815940,-0.1720994541,0.2528915434,0.1508554700,0.5129803772,1.3752852871,0.1048544829,0.2781430036,0.1746990730,2.6742496252,2.5277111135,1.4518673271,0.4513764037,BRCA
GSM481007,0.2452587140,0.6134111168,1.1560421735,0.1433539864,0.2869294803,0.8448888773,-0.1365150868,-0.0362453415,-0.0465172961,0.2606000659,1.0516917631,0.1837086821,1.2351145123,-0.0738031941,0.8169288688,0.1739355451,-0.1234912112,0.2699643974,0.0523900811,0.3945177911,1.2977375326,0.1016021202,0.2248136396,0.7625444861,2.5570111035,2.1006305417,1.2766758504,0.4485116918,BRCA
GSM481008,0.3164083206,0.5762742963,1.2938889639,0.1743810166,0.2562567367,0.9191996994,-0.1285786398,0.2017045878,0.0050298271,0.4047704326,1.0726860836,0.1199409844,1.6781765093,-0.0412144527,1.1870108308,0.1148476552,-0.1657277777,0.1605632000,0.4492832672,0.2421337500,0.9878225434,0.1071969793,0.5044573573,-0.0429210043,2.4308137178,2.4434035220,0.7799835039,-0.0903745492,Control
GSM481009,0.1391313978,0.6379877187,0.5253295350,0.1793832846,0.0096561856,0.7767756040,-0.3624040733,-0.0457928035,-0.0006016035,0.2795271149,0.7096309500,-0.0310865428,0.9449293574,-0.0141461437,0.6041149985,0.0113450711,-0.0891072829,-0.0320870272,0.0965627080,0.5029285724,0.9829903326,-0.0665365103,0.1132563498,-0.0726357894,2.3401281239,2.5160933137,0.8893958329,-0.1490650472,Control
GSM481010,0.2992987728,0.7343420027,0.9039840400,0.1744263203,0.2640629692,1.2621549368,-0.1443649510,-0.0746804124,0.0958241794,0.5158594621,1.1154199801,0.1620686616,1.1449683505,0.0568759364,0.9438281523,0.0656245318,-0.1894112473,0.2509317977,0.0227985563,0.3422708611,0.7534921082,0.1001644606,0.2844833170,-0.0024452434,2.6689995409,3.0028033057,0.9106897973,0.1339713250,Control
GSM481011,0.2656826287,0.4369135557,1.1300241724,0.1905613793,0.2834044827,0.7011700384,-0.2897583519,-0.0571184079,-0.0447484494,0.3978262835,1.5733309313,0.2404869166,2.1114134911,-0.0378717468,1.0993553696,0.2414784023,-0.1206308194,0.2114646371,0.0344876326,0.2851886856,0.9952894231,0.1267975100,0.0731099842,-0.0481604252,2.1161630987,2.3854082225,1.5787073300,0.0557324726,Control
GSM481012,0.3307305774,0.5024568411,0.8123865621,0.1563635992,0.2250499161,0.9596517943,-0.1556269893,-0.0537787851,0.0881863124,0.4602609591,1.1019343174,0.0911824431,1.0900593742,-0.0875212828,1.0789767382,0.0937730919,-0.1694765613,0.2223655503,0.0501443366,0.3992790022,0.8725762112,0.0914885161,0.3791145835,0.0850881720,2.6464858175,3.0644356808,1.0675151346,0.3362477700,Control
GSM481013,0.1886536255,0.6732652336,1.6534560970,0.0518168313,0.2549379326,0.9881928860,-0.0758634953,0.3265263024,-0.0357743004,0.2502310655,1.2130804397,0.2032989389,1.8421658798,0.0122775455,1.1169746970,0.2143259642,-0.2345596486,0.2532499727,0.6779698055,0.2575548780,1.3992428302,0.0981701260,0.2788615997,0.0292446804,2.4041580678,1.9075073600,0.5954043641,-0.1487565367,Control
GSM481014,0.1885313114,0.6360924763,1.0210845322,0.3313925304,0.0906496075,0.7378481291,-0.1249282027,0.3256052658,-0.0458655143,0.3728799876,0.7769479156,0.1858299267,1.7763802502,-0.0710076276,1.0617745398,0.2307480330,-0.1113321521,0.2921107814,0.2751078612,0.3848910336,1.0247983021,0.0481422927,0.3460536241,0.1109799129,2.0840322734,2.4799974560,0.6666336246,-0.0359039252,BRCA
GSM481015,0.2218572169,0.4823240670,1.1101989111,0.2065840998,0.0833212485,0.4385461199,-0.2096320648,0.0294819180,-0.0310142401,0.3970232428,1.2662113122,0.2108010371,1.7866000267,-0.0016979811,1.1480176262,0.2776826409,-0.1983147855,0.2929708429,0.1579560364,0.4554121921,1.2436508052,0.0310672781,0.3005493226,0.0680577793,2.3999310256,2.2148339947,1.5981967302,-0.0689081554,BRCA
GSM481016,0.3732977526,0.6717250413,0.9262994193,0.1550476976,0.0930074888,1.7372866348,-0.1175413547,-0.0465262772,-0.0271055949,0.5611247425,1.1607094455,0.0464867247,1.9076823832,-0.0626059768,0.7914652986,0.1060115347,-0.1284741949,0.3239871639,0.0947415436,0.2435445953,0.7893344704,0.2880640135,0.2412096603,-0.0276955601,2.6901144267,3.1563325325,0.6754211410,-0.0856750999,BRCA
GSM481017,0.4459698165,0.7583438962,0.5171931558,0.3532067962,0.1540562862,1.3459072037,-0.1509797142,0.0294834772,-0.0397619759,0.4672802847,0.5629059449,-0.0165517380,1.8173271818,-0.0832083040,0.5753589615,0.0081229717,-0.2040105331,0.2230204127,0.0146931159,0.3729160931,0.5631712906,0.1216081455,0.7442990047,-0.0417824952,2.5587464451,2.9812137285,0.4917927029,-0.0145821184,BRCA
GSM481018,0.1961156577,0.4552029336,0.9430964104,0.0635509115,0.3944780438,1.2553287445,-0.2616448737,-0.0617383748,0.0472373243,0.4103365585,0.9598313551,0.2315901537,1.0530253495,0.0563892964,1.4082362606,0.2217580489,-0.2635420640,0.0697378496,0.9914585015,0.4693396788,1.3061695902,0.0948082263,-0.0461117963,0.0119606827,2.1042983294,2.8153002065,1.3039377629,-0.0924551688,BRCA
GSM481019,0.2930054383,0.6580633900,1.1114784536,0.3104414724,0.2397816159,1.0174876302,-0.1374253253,-0.0332765080,0.1005804133,0.4554223602,1.0253944844,0.1500525396,1.8847912549,0.0110331912,0.9786249436,0.1427651664,-0.1800841544,0.2816247902,0.0796846489,0.3182122561,0.8534259407,0.1870016106,0.3905475239,0.0878135430,2.5672310115,2.8691527245,0.7200878692,-0.1311788038,BRCA
