@relation data

@attribute id string
@attribute 10979 numeric
@attribute 2316 numeric
@attribute 2318 numeric
@attribute 29780 numeric
@attribute 3611 numeric
@attribute 3688 numeric
@attribute 3987 numeric
@attribute 54751 numeric
@attribute 55679 numeric
@attribute 55742 numeric
@attribute 5829 numeric
@attribute 6251 numeric
@attribute 7016 numeric
@attribute 7408 numeric
@attribute 87 numeric
@attribute 9459 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.4676477797,3.0445294857,3.0161525235,0.6254091055,1.6674114862,0.1496797397,0.1954011606,0.6837908077,0.6167395009,1.2400424823,0.6420627936,0.2876868263,1.6483084989,0.0289360628,3.1035592704,0.5672101140,BRCA
GSM481003,1.1941337883,3.0286084558,3.1845998465,0.6380560499,2.0944729381,0.1592926320,0.1881186044,1.5314999927,0.3796693030,0.9051853960,0.6960067314,0.3219482292,1.7789701554,0.4301923150,3.0309254428,0.2962089152,BRCA
GSM481004,1.0345925054,3.0873472690,2.9826578722,0.8967084687,2.0663433903,0.1403264253,0.1281094155,1.1119866290,0.5346117020,1.0316196435,0.6701001566,0.2044870994,2.1319978502,0.2901734749,2.9765772323,0.8315192394,BRCA
GSM481005,1.5354676049,3.0169214630,2.9999784232,0.6596625724,1.8666966261,0.2270940179,0.2317116739,1.1704438572,0.7560443002,1.1324002643,0.8165280745,0.3404241249,1.8611890673,0.3535624693,2.9770357410,1.0253801594,BRCA
GSM481006,1.5131964317,3.1316760732,2.6519000155,0.6123511433,1.9057561290,0.1351042711,0.5239082139,1.1664843287,0.5039268303,1.0563934952,0.7397100626,0.2625255637,1.3547637330,0.7631579092,2.9921479324,0.9315912557,BRCA
GSM481007,1.0597537853,2.8286755847,2.7004556656,0.9116504019,1.9287019769,0.2527581179,0.2001501281,1.2046760872,0.3131879421,0.7455644048,0.6706443179,0.1450462541,1.5835891838,0.4821233730,2.7754765402,0.3496775628,BRCA
GSM481008,0.8640624878,2.2280091381,2.8325048760,0.6816513971,1.6997278268,0.1197325149,0.2733084748,0.7682600368,-0.0391770428,0.6320111017,0.7187695248,0.2282776671,1.9691264830,0.3188313121,2.2804966147,0.4601788066,Control
GSM481009,1.3266046386,2.5740505267,2.6272853231,0.2235001914,1.5454977487,0.0098238778,0.1830677773,0.5774327593,0.3564191379,0.9531657878,0.6320714956,0.2613208174,1.0771223438,0.1316067713,2.4714063083,0.7020718792,Control
GSM481010,1.6166482637,3.0410647964,2.9032901524,0.8421769295,1.6348837514,0.0508783250,0.2295953924,0.9515181259,0.3695360363,1.0671009937,0.5792703495,0.3284883574,1.6048720778,0.1463151797,2.6965886255,0.7012065333,Control
GSM481011,1.1331589135,3.1985992527,3.5635678025,0.9005513262,2.2645160224,0.1527878153,0.0724786099,1.2011001699,0.8104793248,0.8708187594,0.9477119443,0.1744753250,2.2438321379,0.8838909699,3.2065094609,0.4208626890,Control
GSM481012,1.3951240104,2.9780195427,2.8051964269,0.5891600215,1.9049690232,0.1729949372,0.1343981863,0.8502962321,0.1606988958,1.1474308146,0.6020420162,0.2942287492,1.8078703748,0.2398203418,2.7926093540,0.4344321068,Control
GSM481013,0.7979031060,2.2338938761,2.6944772229,0.8618139921,1.8812990118,-0.0007205301,0.3134054439,0.6751351695,0.1112732311,0.3594197898,0.8881511668,0.1678275765,1.7043464978,0.7244302944,2.4123712680,0.1592973241,Control
GSM481014,1.2448272306,2.3922548961,2.5378295928,0.4099271103,1.1305808292,0.0683831126,0.1952275374,0.4726503435,0.1471207632,0.7051628577,0.5616762059,0.3764339064,1.8260528214,0.4232774331,2.0991172368,0.9514108581,BRCA
GSM481015,1.0206361130,3.0013463496,2.4197130314,0.9724486736,2.3991927173,0.1483293002,0.1374043709,1.1657012276,0.4342388342,0.7685175555,0.6737284504,0.1388099233,1.7768563529,0.5718332826,2.6630501548,0.7067363143,BRCA
GSM481016,1.5198146741,2.5285706424,2.7135669515,0.6362057593,2.1942687699,0.2070733712,0.2819698000,1.0225879784,0.3717736791,1.0449628711,0.5966567499,0.3569574574,1.4790722397,0.3709119351,2.7334165870,0.6331384557,BRCA
GSM481017,1.7969086054,2.2020901871,2.2198279575,0.3388800264,1.3577626181,0.2638286827,0.3304500401,0.3610499454,0.2283005334,0.9792863309,0.4340125286,0.3673339524,0.8346911571,0.0912015262,2.2324103838,1.0738307769,BRCA
GSM481018,0.8931149998,2.7248294258,2.7502441667,0.8554214095,1.9695076944,0.0458605471,0.0986689530,0.5278204776,0.4954521342,0.8971718730,0.6009509442,0.1323352537,1.7577341686,-0.0161726432,2.2836959313,0.3241722254,BRCA
GSM481019,1.4207002959,2.6216824817,3.1228347271,0.9243930482,2.0376039163,0.1505348011,0.1092399160,1.5360255841,0.2270683111,0.8595346638,0.9465434167,0.3221057504,1.6830154939,0.4790331673,2.7182294678,0.1435878307,BRCA
