@relation data

@attribute id string
@attribute 10725 numeric
@attribute 10928 numeric
@attribute 11124 numeric
@attribute 1452 numeric
@attribute 1616 numeric
@attribute 162989 numeric
@attribute 1676 numeric
@attribute 1956 numeric
@attribute 2048 numeric
@attribute 22974 numeric
@attribute 23017 numeric
@attribute 23162 numeric
@attribute 23542 numeric
@attribute 3552 numeric
@attribute 3576 numeric
@attribute 4214 numeric
@attribute 4217 numeric
@attribute 4233 numeric
@attribute 4790 numeric
@attribute 4791 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4794 numeric
@attribute 4795 numeric
@attribute 4796 numeric
@attribute 51283 numeric
@attribute 5217 numeric
@attribute 5594 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5609 numeric
@attribute 56616 numeric
@attribute 5783 numeric
@attribute 581 numeric
@attribute 6093 numeric
@attribute 6416 numeric
@attribute 6609 numeric
@attribute 695 numeric
@attribute 7157 numeric
@attribute 7186 numeric
@attribute 7284 numeric
@attribute 790 numeric
@attribute 8099 numeric
@attribute 836 numeric
@attribute 841 numeric
@attribute 843 numeric
@attribute 8431 numeric
@attribute 85365 numeric
@attribute 8737 numeric
@attribute 8771 numeric
@attribute 8772 numeric
@attribute 9191 numeric
@attribute 924 numeric
@attribute 9479 numeric
@attribute 9994 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.4660254572,0.6854532650,0.1753177564,0.7749692683,0.8197669268,0.8891197740,0.6567379836,0.1537555695,0.2627328906,0.1921569186,0.3828044535,0.1191081243,-0.1002226743,0.1661164924,0.1075109721,0.4242359363,0.0368593611,-0.0160443468,0.0372776528,-0.0141582828,0.8098630121,0.4748031217,0.2867321043,0.1522080968,-0.0880809621,1.0223100052,4.0000542999,0.3768321643,0.6904673187,0.2417233829,0.0663815941,0.2973419841,2.1233321396,0.0120848583,0.7895966098,-0.0235738736,0.2565123712,0.5177635711,-0.0538374768,0.9853307140,-0.0815773857,0.8800283276,0.7296938975,3.8829405507,0.0052920096,0.1048994176,-0.0064779885,-0.0308835172,2.0479590894,0.1502289322,-0.3234913536,1.1454639601,0.8929266084,0.0610713277,-0.1024148047,0.2184352938,BRCA
GSM481003,0.2285291182,0.6800606993,0.1670276765,0.5022556961,0.8100307297,1.2750236819,0.9652459709,0.0484339897,0.8584753257,0.3256131188,0.0874084711,0.1975940831,0.0289279232,0.2313655682,1.4715424657,0.4940745450,0.0367393828,0.1392996103,0.0608519517,0.0991733883,1.4016762564,0.6189834172,0.7304989806,0.2677992570,0.0134093755,0.8918562201,4.0010215042,0.4223379152,0.6729280780,0.1985753451,0.0085564985,0.2656726797,2.4498627482,-0.0490129885,1.1044230957,-0.0279678789,0.2222999979,0.5375072893,-0.0653783161,0.9925875762,0.0369979428,1.1139209494,1.0929621720,3.8649726708,0.0413504756,0.1321838536,-0.0000994813,0.2475586996,2.0238386839,0.0927192407,-0.1654845444,1.3959826067,1.0448824800,0.1897626710,-0.0164267435,-0.0557591094,BRCA
GSM481004,0.4258645362,0.7008573280,0.2562120850,0.5846829968,1.3887278959,1.2139424300,0.9907437571,0.2059234660,0.5064544733,0.3229550804,0.2388555144,0.2178884834,-0.0423740688,0.4731824256,1.6739334250,0.2035975778,0.1053847389,0.1799735930,0.1890115326,0.0896869505,1.3433312625,0.5926850402,0.6537542979,0.2469313769,-0.0126308521,1.4105139176,4.0107247234,0.5495924441,0.6871232500,0.3435010134,0.2215437899,0.1269719892,2.1984240082,-0.0124194373,0.4883667428,-0.0400819974,0.2880970038,0.5835453719,-0.0186176126,0.8802483742,0.0960737533,0.9308282500,1.0636484354,3.8599531055,0.0227122911,0.0914597162,0.0499261181,0.0174989201,2.2021891624,0.1418394002,-0.1191088314,1.4400380619,0.9507916788,-0.0180363466,-0.0626453012,0.0290401375,BRCA
GSM481005,0.7245277575,0.8150747685,0.1400491151,0.8952178020,0.6996099856,1.0822672383,0.6355714482,0.2165325873,0.2134509836,0.2337619473,0.3880860623,0.1248440424,0.0011991745,0.1596501422,0.3897922044,0.5196754609,-0.0674943316,0.1209496400,0.0661443981,0.0455048144,0.7793831442,0.5579776450,0.4032124299,0.1496757664,-0.0909009929,0.8843219876,4.0078363122,0.4403047296,0.8086081992,0.4124403786,-0.0083928048,0.2336956347,2.1509296266,0.2349351798,1.0273913688,-0.0235281201,0.4676337253,0.6173497980,-0.0967047377,0.9015575944,-0.0153414088,0.8515984321,0.4486337627,3.7495768268,0.1452049680,0.1227475022,0.0269903768,0.0527477580,2.2575237451,0.1484226488,-0.0734151367,1.2396340239,0.9340627970,0.0494175486,-0.0440386262,0.1933939833,BRCA
GSM481006,0.5373223195,0.5591097990,0.1817218903,0.7858931990,0.8282176453,0.9490598553,0.6762053416,0.1430200110,0.5170728783,0.2017075061,0.1511650956,0.0203621306,-0.0141720435,-0.0282404839,0.7345458053,0.4536705289,0.0920476306,0.0792207283,0.1223146532,0.0572464754,1.0869957842,0.5536829033,0.3889670319,0.2859582072,-0.0962750585,1.2474625508,3.9567463995,0.3909603753,0.7695189350,0.0839668039,0.0616213327,0.3444300745,1.9667489893,0.1536480792,0.8656490569,0.0318450583,0.3639865402,0.6006386037,-0.1076792432,1.3752852871,-0.0463810288,0.6829325840,0.5614439943,3.8166996242,0.0978846997,0.1767319650,0.0225465108,0.0300441004,2.3368970901,0.1076701371,0.0878926951,1.1236223613,1.1942054188,0.1644841389,-0.1680062265,0.0981615036,BRCA
GSM481007,0.5563892530,0.5351270335,0.1863616692,0.4159057388,0.8751958659,1.2692708448,0.8456355448,0.1262126311,0.4945416311,-0.0197898220,0.4571651005,0.0159169993,0.1095929662,0.0713577823,0.3815329463,0.3479610627,0.1340240605,0.3142764187,0.0016019143,0.1622098779,1.3999506757,0.8652860147,0.9225694127,0.6159093420,0.0715675135,1.1320174236,3.6135815979,0.2606000659,0.3326362380,0.0752705452,-0.0035135532,0.3625428115,1.9215037326,0.1029316411,0.9085509542,0.0398056174,0.2094873252,0.5446128082,0.0187163064,1.2977375326,0.1268612003,1.0261769365,0.7979649641,3.9570913115,0.0586705186,0.1683203725,0.0001815175,0.0528153585,2.2990753205,0.0681875506,-0.0982021994,1.3381449249,1.0926478140,0.1017784921,-0.0430750858,0.0405219360,BRCA
GSM481008,0.4762398614,0.7241649516,0.1818463471,0.5904208655,1.3893046330,1.7973082923,0.9488343467,0.2092566926,0.6236502800,1.4482867254,0.7763217857,0.1910946474,-0.1248869309,1.0422426972,2.2164069593,0.3505251462,0.3502357583,0.2588366775,0.2086261566,0.1392739504,1.2762110606,0.7326664201,0.6263578545,0.4108594094,0.4069122411,0.7327663103,3.8572614791,0.4047704326,0.7429268004,0.5512299970,-0.0611492244,0.1903686590,2.0087497864,0.0829936256,0.9423102802,0.0280642769,0.3020598857,0.2959208525,-0.0557772740,0.9878225434,0.3151042461,1.2624552718,1.5406428576,3.7586312293,0.0279587975,0.2110551038,0.0193326599,0.0751927796,2.2798103839,0.0933854235,0.0505258397,1.3797544043,0.8306875416,-0.0269442917,-0.0207483693,0.1274750488,Control
GSM481009,0.4853571055,0.5198089516,0.0178968037,0.6226818040,0.5448543259,0.4810099579,0.4324776653,0.0047963763,0.2531449715,0.2405618338,0.3288590163,-0.1172849938,-0.1194610104,0.0095844022,0.1852908233,0.3211863863,-0.0540037800,0.0263716091,0.0623427681,-0.2568013933,0.6739098801,0.3036365448,0.2731661908,-0.2143563793,-0.3961206906,0.7324259281,4.5977925657,0.2795271149,0.6203827706,0.0966468778,0.0261609364,0.0094476892,2.0597494061,0.2019386155,0.5673530965,-0.0420569494,0.0517636729,0.2822195587,-0.1408496846,0.9829903326,-0.4913612215,0.5974943986,0.3672899978,4.4860610168,-0.0766929161,0.2052960319,-0.0737737967,0.0757519919,2.3371226489,0.0010559037,-0.3635239749,0.7153020533,0.9018103822,-0.0032111824,-0.2459239387,0.0389000648,Control
GSM481010,0.5114652895,0.8254857898,0.2068270490,0.8328421336,1.0247067609,1.0699981227,0.8570031879,0.2403421661,0.3988981935,0.4663511707,-0.0527041953,0.2106112485,0.0905441982,0.4967245454,1.6296272655,0.6825766645,0.2321009186,0.2723468990,0.1809599443,0.0226125636,1.1876550054,0.5544574002,0.2922964417,0.1343332496,0.0316771219,1.1805127262,3.9657661617,0.5158594621,0.8636795770,0.4178132884,0.0607782995,0.1599105977,2.1604015014,0.3515838732,0.8686887410,-0.0273664836,0.7657218578,0.4326489064,0.0355200546,0.7534921082,-0.1288154235,0.6531199600,0.7526562626,3.6378046075,0.1088690767,0.0754469297,0.0235196726,0.0100868653,2.2579227091,0.2645242032,-0.1032208307,1.3444891074,0.8312828132,0.0064952513,-0.0180845883,0.1738559207,Control
GSM481011,0.3962399713,0.5819455573,0.0536194843,0.4575096548,1.0044699116,1.0456733612,0.9243046698,0.1001883706,0.3663352276,0.0972548116,0.3322777615,0.0445690922,-0.0077216905,0.1365389772,0.2282059908,0.1779143085,0.1257654843,0.0881457550,0.0443784665,0.0539576351,1.0963865406,0.6543434733,0.4712371399,0.3120417983,-0.0483668113,1.1379543277,4.1210590004,0.3978262835,0.4733123278,0.2790668897,0.0246392575,0.2778184532,2.1653537982,0.1136178643,0.8156974314,-0.0538524333,0.1213096739,0.4601228220,-0.0023091357,0.9952894231,-0.0234986019,0.9371003736,0.8379738779,4.0687362155,-0.0036057916,0.0645896237,-0.0662813277,0.1032072871,2.2143682539,0.1111272328,-0.1920413344,1.3676190143,1.1570879085,0.0574682683,-0.0564892343,0.0473080863,Control
