@relation data

@attribute 5465 numeric
@attribute 408 numeric
@attribute 2792 numeric
@attribute 2782 numeric
@attribute 23236 numeric
@attribute 160 numeric
@attribute 107 numeric
@attribute 2778 numeric
@attribute 1759 numeric
@attribute 1173 numeric
@attribute Class {Control,BRCA}

@data
5.9306844235,9.851239619,5.028139516,13.02719506,6.8772890085,6.55015525567,8.2081635635,8.533866741,7.342077169,11.2613104,Control
6.2647755765,9.618220979,5.682862067,13.00956452,6.8906417385,6.33747983233,6.3425008425,8.84345400733,7.359664193,10.94792585,BRCA
5.9169092905,9.7593120705,4.963487128,12.9979954,6.771545835,6.42725820467,7.5711783515,9.29076107,6.524977004,11.162174555,BRCA
5.9013934145,9.832294359,5.29683478,13.11510467,7.226006717,6.79699623533,7.0913602235,8.629147321,7.107533897,11.27700269,Control
6.3050950175,9.575311034,5.536217098,12.87743566,6.848015995,7.262440087,7.084991265,9.35589447533,6.807004269,11.397832345,BRCA
6.2632584125,9.761911373,5.717272857,12.98372673,6.727722821,6.667704523,6.50402659,9.078168623,6.791752628,11.12104221,BRCA
5.8009201885,9.6377944955,5.442621133,12.64120964,7.4861886795,6.39423566067,6.201503818,8.46320594233,8.1487195,11.202937405,BRCA
5.7914813845,9.620566341,5.865554662,12.98945487,6.719520862,6.734569732,7.6188571805,8.875123686,7.145425585,11.388759195,Control
6.3224235275,9.651217869,5.659076304,12.96993872,6.995146243,6.84260002933,8.092918242,9.29028807333,6.93699452,11.31699387,BRCA
6.2051601515,10.120159067,4.958159726,13.02126635,6.432879816,6.688774195,7.599297253,8.55731348,6.908516092,11.225414225,BRCA
5.8725703995,10.109849668,5.704879743,13.00161496,6.4844860445,6.86276355833,6.45574924,8.86041017833,7.877868648,11.92263071,BRCA
6.219897013,9.640584923,5.291135005,13.04989878,6.6696596965,6.71727477633,6.928720816,9.172881566,6.690211478,11.128931665,Control
5.96626105,9.901873931,5.465820435,13.26893746,6.8308282135,6.46909773,6.6365159435,8.796592193,7.501819524,11.33856239,Control
5.846915317,9.8300454095,5.973617732,13.29995283,6.0566410755,7.27423223467,7.5681815995,8.711268495,8.200483173,11.5430778,BRCA
6.119031791,8.889154228,6.049636893,13.17700839,6.1713175965,6.75646800033,8.248473233,9.207844615,8.152856641,11.404659965,BRCA
6.062075285,9.941840869,5.732683853,13.33363132,6.211869299,6.66660139867,7.7603213985,8.61201467833,7.584306987,11.477235945,BRCA
5.8819610365,9.3717364625,5.542111953,13.36856584,5.8868527975,7.03721285533,8.9607456695,8.82288182267,8.014301064,11.64898438,BRCA
5.7031615475,9.4348840965,5.655216748,13.36355512,6.0972822555,7.03850006433,8.247227253,9.12620744833,7.535860745,11.679222855,BRCA
5.8712229175,9.436631347,6.118635505,13.29267684,6.0356141115,7.691036477,9.5775018565,9.14021016267,8.126718829,11.832561885,BRCA
5.11578367,9.935070682,5.537615426,13.38150649,5.0579964415,6.77316165767,6.364286878,8.17602958933,7.719014193,11.897134165,BRCA
