@relation data

@attribute 114 numeric
@attribute 115 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 2642 numeric
@attribute 2641 numeric
@attribute 111 numeric
@attribute 5577 numeric
@attribute 2788 numeric
@attribute 2787 numeric
@attribute 59345 numeric
@attribute 2784 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 55811 numeric
@attribute 109 numeric
@attribute 108 numeric
@attribute 54331 numeric
@attribute 107 numeric
@attribute 55970 numeric
@attribute 94235 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 2778 numeric
@attribute 196883 numeric
@attribute 2782 numeric
@attribute 5573 numeric
@attribute 5576 numeric
@attribute 51764 numeric
@attribute 5575 numeric
@attribute Class {Control,BRCA}

@data
5.645450388,8.748277668,10.327292123,7.377212971,5.023267828,5.006535067,6.614529956,4.767140212,8.735353884,8.440434347,7.4230773135,5.893611729,8.698011038,5.516024013,5.692518737,9.885094283,12.98372673,4.917445181,12.63069834,7.149597572,9.177283189,8.2081635635,10.1038422,5.641987591,6.36946717,5.4829326402,5.48205062,8.533866741,10.97207892,13.02719506,9.78527191267,8.786482932,5.232287804,7.409181146,Control
5.65593226,8.080472632,10.2384186075,7.013074525,6.593544722,5.663779561,5.841225451,5.442455259,9.217703977,8.487841164,8.3643319965,6.113748025,8.720142595,5.853378958,5.195063332,8.481901451,12.07225833,5.091500179,13.03258307,6.461320332,7.381134364,6.3425008425,9.681370693,5.277995204,6.0929297895,5.5428379012,5.804719114,8.84345400733,10.9073904,13.00956452,9.789873514,8.66542575,5.31868854,7.391761545,BRCA
6.0290173,8.026856932,9.769915947,7.338293201,4.774274953,5.862458365,6.323194968,5.112503363,10.16381668,8.83146649,7.196995946,6.074361597,8.686203838,5.92077637,5.30807618,8.913937397,10.57663577,5.515393331,12.19349773,6.767195028,6.36768175,7.5711783515,9.362086899,5.72110688,5.9034588485,5.4641368762,5.527329405,9.29076107,9.496554786,12.9979954,9.801472324,8.815320146,5.206732344,7.677704008,BRCA
5.876032641,8.120096744,10.3820872935,7.478529234,5.28559757,5.646026713,6.331145921,5.7109519,10.21758854,8.646667718,6.7231615275,5.455665247,9.066695429,5.504788206,5.693773551,6.563810693,9.832676886,5.224205518,12.23565236,6.763813641,4.851263383,7.0913602235,7.986995525,5.842043069,6.323322532,5.1156792046,5.655216748,8.629147321,10.39270411,13.11510467,9.34823014567,8.115695415,4.790526167,6.105076296,Control
5.824138541,8.28785217,9.671974648,7.297193996,5.213747029,5.421401099,5.680472929,5.377654117,9.669660678,9.506942805,9.010303599,5.954086504,8.97289446,5.228252321,5.349976695,9.337042659,11.68740205,6.212477538,12.7347446,6.854560258,7.573687183,7.084991265,9.546605663,5.615159695,6.52394041,5.466218321,6.407145055,9.35589447533,9.358629843,12.87743566,7.772929909,9.518791383,4.850263431,7.418993406,BRCA
6.352798794,8.529822044,9.753034207,7.806535324,6.161087152,5.614718124,6.872247394,5.316879984,9.433805075,8.217135121,7.9243325035,6.143337929,8.838889641,5.268482349,6.086619917,9.258413586,11.15310882,5.294814856,12.65857307,6.543500233,8.547261958,6.50402659,11.06412655,5.093825554,5.9174340255,5.6759717936,5.625863148,9.078168623,10.16002932,12.98372673,9.84054935,9.231287868,5.178725843,7.890402801,BRCA
5.779661087,8.167494826,9.1297731835,7.967285529,5.129706745,5.319230665,5.057462456,4.904497645,9.675551824,8.678425073,8.7523926965,5.821334729,7.985772397,5.66903474,5.86196234,6.875906358,10.10831572,6.381677589,13.34505663,6.456482249,6.049582442,6.201503818,9.132211242,5.486079796,6.330484187,5.5322651396,6.430289978,8.46320594233,9.341019005,12.64120964,9.55785931,8.344585666,4.959319531,7.572418149,BRCA
5.862458365,8.80888466,9.643814388,7.667823176,5.431465218,5.632130956,6.091811548,5.023045997,8.751335778,9.414337005,7.0132000305,6.338875075,8.510330132,5.967463325,5.380600673,10.49178825,12.76004735,6.222848625,12.39966386,7.109938036,8.11035427,7.6188571805,10.18190731,5.42266296,5.9718598575,5.3094441946,5.233822166,8.875123686,9.812386363,12.98945487,7.854087509,8.118825763,5.229406468,7.90344675,Control
5.813403636,8.17986074,9.557649091,7.357466507,5.484791683,5.894703343,6.099511534,5.398154738,9.919504381,8.843419494,7.2793614545,6.092128797,9.04011237,5.496742949,5.789736585,9.495266002,11.3442156,5.287261033,12.05932765,6.816347305,6.738839176,8.092918242,9.085353696,5.104977394,6.3825279205,5.291675395,5.844493149,9.29028807333,9.898586698,12.96993872,9.60954968233,9.026662535,5.411944154,7.548207573,BRCA
5.659004925,8.633940747,10.0619138165,7.247645413,5.238033268,5.308713308,6.072647808,5.778347403,9.681765982,8.872952717,7.9356885615,6.563963185,8.934008606,5.619861398,6.135253322,8.717951507,11.6604752,5.312893162,11.61491238,7.016310012,7.211063618,7.599297253,8.350852048,5.034976365,6.3457281585,5.3589494338,5.913135501,8.55731348,9.608828239,13.02126635,9.492243668,8.794173061,4.607083101,7.121070136,BRCA
