@relation data

@attribute id string
@attribute 183 numeric
@attribute 185 numeric
@attribute 1906 numeric
@attribute 1909 numeric
@attribute 1910 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2353 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 387 numeric
@attribute 4609 numeric
@attribute 4790 numeric
@attribute 5335 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5970 numeric
@attribute 8038 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0617,-0.0517,-0.0542,-0.0998,-0.0097,0.6001,-0.0836,2.8919,0.4236,1.2901,0.765,1.4375,1.6981,1.7307,0.5534,1.0586,1.4383,-0.0433,Control
Utah__A02,0.1781,0.0456,0.0746,-0.0321,-0.08,0.4306,-0.0018,1.0722,0.3716,0.8169,0.54,1.0182,1.2732,1.247,0.2001,0.7032,1.258,-0.069,Control
Utah__A03,0.1968,-0.0195,0.0603,-0.0509,-0.0419,0.4898,-0.0179,2.3576,0.3757,1.1876,0.8594,0.8555,1.4485,1.3323,0.1966,0.9762,1.4813,-0.07,Control
Utah__A04,0.1228,0.0082,0.0132,-0.0379,0.0094,0.406,-0.029,1.55,0.3609,1.2809,0.5096,1.35,1.4304,1.3202,0.3061,0.82,1.484,-0.0409,Control
Utah__A05,0.0653,-0.027,-0.0549,-0.0495,-0.0702,0.8132,-0.0454,1.9884,0.4772,1.2201,0.6538,1.0965,1.5181,1.2108,0.3059,0.9512,1.5368,-0.0728,Control
Utah__A06,0.124,-0.0261,-0.014,-0.0215,-0.0759,0.4684,-0.0159,3.0931,0.2467,0.8267,0.5802,1.2048,1.3497,1.2063,0.296,0.9045,1.338,-0.0446,Control
Utah__A07,0.1567,4e-04,0.0784,-0.0379,-0.0957,0.4347,-0.019,2.7085,0.364,1.2177,0.7994,1.1245,1.6897,1.2924,0.5102,1.3099,1.2584,-0.0798,Control
Utah__A08,0.0857,-0.0272,-0.0117,-0.102,-0.0726,0.2616,-0.0439,1.7156,0.2967,0.8932,0.8642,1.0832,1.8669,1.4821,0.8364,1.4137,1.2448,-0.0558,Control
Utah__A09,0.1352,-0.011,0.0231,-0.0604,-0.0205,0.5351,-0.0328,2.2374,0.349,0.9938,0.5863,1.1598,1.606,1.3752,0.5718,1.2508,1.3302,-0.0636,Control
Utah__A10,0.1044,-0.0277,-0.1494,-0.0748,-0.0379,0.7675,-0.0615,3.1715,0.398,1.3414,0.7708,0.9502,1.641,1.2657,0.3781,1.3167,1.3233,-0.0611,Control
Utah__A11,-4e-04,0.0171,-0.0417,-0.131,-0.0142,0.2605,-0.018,2.8363,0.2904,1.0631,0.5541,0.9858,1.1005,1.1776,0.3263,0.9853,1.2245,-0.0565,Control
Utah__A12,0.3524,0.087,0.0377,0.0273,-0.1309,0.5833,0.1048,0.9324,0.2032,0.7342,0.3136,0.9286,1.0527,0.8519,0.1184,0.5269,0.8238,-0.0621,Control
Utah__B01,0.2724,-0.0245,-0.0257,-0.0913,-0.1022,0.4203,0.0118,1.9549,0.1584,0.9628,0.7514,1.0881,1.5169,1.4072,0.5839,0.9472,1.2082,0.0074,Control
Utah__B02,0.1325,-0.0038,0.0129,-0.0825,-0.0191,0.4014,-0.0267,3.0428,0.3404,1.324,0.6791,1.1427,1.4394,1.4738,0.3378,0.785,1.5865,-0.0436,Control
Utah__B03,0.0935,-0.0355,-0.0308,-0.1011,-0.0823,0.0772,-0.0568,2.6432,0.2646,1.1414,0.6843,1.0069,1.4822,1.4534,0.3907,0.9095,1.4088,0.0032,BRCACancer
Utah__B04,0.1213,-0.0268,-0.092,-0.06,-0.0698,0.4419,-0.0234,0.9219,0.1782,0.8347,0.9809,0.9881,1.6554,1.4041,0.6402,1.5857,1.1378,-0.0359,BRCACancer
Utah__B05,0.2669,0.0879,-0.0492,-0.0323,-0.1186,0.2665,0.0386,1.0836,0.2381,0.7116,0.6826,0.857,1.2575,1.0304,0.1887,0.8601,1.3013,-0.0756,BRCACancer
Utah__B06,0.2463,0.014,-0.0875,0.0418,-0.0515,0.3649,-0.0104,0.7374,-0.0061,0.3639,0.5849,0.6699,1.1971,1.0121,0.1906,0.7212,0.8403,-0.0131,BRCACancer
Utah__B07,0.1835,0.0462,-0.103,-0.0754,-0.0399,0.4331,-0.02,1.1829,0.38,1.0629,0.9059,1.1266,1.4782,1.6203,0.2531,0.9385,1.4289,-0.0836,BRCACancer
Utah__B08,0.0907,0.0059,-0.1476,-0.0788,-0.0129,0.6665,-0.0716,1.4275,0.3687,1.1051,0.5718,1.1628,1.1937,1.2284,0.242,0.7048,1.2913,-0.0186,Control
Utah__B09,0.26,-0.0018,-0.2211,-0.0687,-0.1536,0.562,-0.0452,1.3994,0.2599,0.8169,0.9711,0.7963,1.3948,1.2076,0.6761,1.539,1.1066,-0.0516,Control
Utah__B10,0.114,0.0051,-0.1061,-0.0457,-0.1344,0.2694,-0.0056,1.7916,0.2443,0.8396,0.6125,0.818,1.4899,1.0985,0.405,1.1167,0.9814,-0.0544,Control
Utah__B11,0.1344,-0.0134,0.0467,-0.0148,-0.045,0.6144,-0.0224,2.0557,0.4126,0.9395,0.5495,1.0313,1.3346,1.1737,0.3123,0.9569,1.2399,-0.0548,Control
Utah__B12,0.1918,0.0649,-0.0938,-0.122,-0.0888,0.1879,-0.0631,1.0517,0.223,0.4563,0.7263,0.7445,1.2785,1.1854,0.6519,1.3776,0.8164,-0.08,Control
Utah__C01,0.2567,0.0589,0.0627,-0.0491,-0.127,0.4123,-0.0174,1.6346,0.4383,1.1862,0.8875,0.9109,1.4469,1.2645,0.3616,1.229,1.4533,-0.0891,BRCACancer
Utah__C02,0.1139,0.0304,0.0216,-0.0032,-0.0637,0.5748,0.0131,1.5095,0.5255,1.0171,0.513,1.3049,1.3929,1.4919,0.2437,0.7082,1.5348,-0.0627,BRCACancer
