@relation data

@attribute id string
@attribute 8517 numeric
@attribute 1147 numeric
@attribute 2033 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 3551 numeric
@attribute 8841 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 8772 numeric
@attribute 1387 numeric
@attribute 8737 numeric
@attribute 4790 numeric
@attribute 8717 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3604,1.5171,1.9196,1.4383,0.4149,1.1591,0.8237,1.2819,0.8372,0.887,1.4764,1.4118,1.6981,1.2857,2.2123,Control
A02,0.3492,1.302,1.7075,1.258,0.4378,0.9319,0.6863,1.2163,0.7679,0.7184,1.2354,1.2609,1.2732,0.9355,2.0603,Control
A03,0.3742,1.5398,1.9357,1.4813,0.5438,1.0697,0.7133,1.4301,0.9336,0.8106,1.4513,1.4831,1.4485,1.0236,2.7503,Control
A04,0.3772,1.079,1.6503,1.484,0.3481,0.9555,0.6251,1.1297,0.7944,0.7485,1.2933,1.3343,1.4304,1.2084,2.2761,Control
A05,0.6097,1.4435,1.9547,1.5368,0.3701,1.0728,0.7879,1.4212,0.8518,0.9748,1.4436,1.487,1.5181,1.1146,2.4615,Control
A06,0.3246,1.3907,1.8403,1.338,0.4186,0.9844,0.6994,1.3082,0.7749,0.8327,1.3768,1.4109,1.3497,0.9425,2.472,Control
A07,0.3276,1.4674,1.9418,1.2584,0.4733,1.1473,0.7627,1.5049,0.9329,0.929,1.4744,1.4606,1.6897,1.1008,1.9798,Control
A08,0.1674,1.3187,2.0295,1.2448,0.2487,1.198,0.7106,1.1624,0.8298,0.577,1.5962,1.4451,1.8669,0.843,1.9095,Control
A09,0.2539,1.4072,1.9327,1.3302,0.3534,1.047,0.6571,1.1854,0.7673,0.8045,1.4502,1.3453,1.606,1.063,2.1911,Control
A10,0.3962,1.4266,1.9649,1.3233,0.4561,1.1476,0.7322,1.3738,0.9506,0.7286,1.5075,1.4193,1.641,0.9078,2.1251,Control
