@relation data

@attribute id string
@attribute 1525 numeric
@attribute 1604 numeric
@attribute 1605 numeric
@attribute 1756 numeric
@attribute 1981 numeric
@attribute 1982 numeric
@attribute 22989 numeric
@attribute 25 numeric
@attribute 2534 numeric
@attribute 27 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3383 numeric
@attribute 3683 numeric
@attribute 3689 numeric
@attribute 3908 numeric
@attribute 4620 numeric
@attribute 4621 numeric
@attribute 4622 numeric
@attribute 4624 numeric
@attribute 4625 numeric
@attribute 4626 numeric
@attribute 4627 numeric
@attribute 4628 numeric
@attribute 54205 numeric
@attribute 5551 numeric
@attribute 57644 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 595 numeric
@attribute 60 numeric
@attribute 637 numeric
@attribute 6442 numeric
@attribute 6443 numeric
@attribute 6444 numeric
@attribute 6445 numeric
@attribute 71 numeric
@attribute 79784 numeric
@attribute 836 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 857 numeric
@attribute 8672 numeric
@attribute 8735 numeric
@attribute 940 numeric
@attribute 941 numeric
@attribute 942 numeric
@attribute 958 numeric
@attribute 959 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0125,1.8928,0.4135,-0.1058,1.4793,2.5024,-0.0734,0.4177,1.6042,0.5359,1.7846,2.2176,0.6063,2.9699,1.5611,0.0501,3.0674,1.0727,3.4708,2.4355,0.2695,0.8029,2.111,2.2463,-0.0882,-0.0901,-0.0536,-0.1011,-0.0508,-0.1813,-0.1543,1.9205,-0.0602,0.7303,2.1925,-0.0287,0.6575,1.5732,0.0321,0.1356,2.0458,0.8571,-0.0047,0.3995,-0.0766,-0.1367,1.4022,-0.0409,1.208,1.4595,0.8967,-0.0865,0.7795,-0.0912,2.0683,0.3386,0.8489,0.7441,1.4973,Control
Utah__A02,0.0036,1.3276,0.3531,-0.1325,1.3423,2.5395,-0.0523,0.303,1.263,0.3643,1.9155,2.3118,0.5192,3.1911,1.4482,0.257,3.5593,1.0652,3.5774,2.4089,0.6941,0.9718,2.2735,2.3816,-0.043,-0.1221,-0.0578,-0.1648,-0.0506,-0.1705,-0.1465,1.6908,-0.1182,0.7572,3.0505,-0.0358,0.5148,1.4654,-0.0202,0.1049,1.7686,0.8402,-0.0364,0.3151,-0.0073,-0.1022,1.0939,-0.0499,1.1875,1.188,0.6211,-0.1157,0.6906,-0.1252,1.3671,0.1308,0.8305,0.6453,1.0077,Control
Utah__A03,0.07,1.7297,0.4099,-0.1298,1.4772,2.6326,-0.0536,0.4434,1.4626,0.4292,2.1584,2.2874,0.5935,3.1864,1.7361,0.0848,3.2594,0.2925,3.4461,2.5091,0.5087,1.1922,2.5078,2.5068,-0.0548,-0.1515,-0.088,-0.1719,-0.0689,-0.2189,-0.1706,1.8539,-0.0901,0.9524,3.1792,-0.0054,0.7441,1.5812,0.052,0.1251,2.0648,0.9951,0.0278,0.4403,-0.0586,-0.1292,1.1357,-0.0169,1.3243,1.4115,0.9002,-0.002,0.8395,-0.1573,1.1903,0.3489,1.0305,0.6315,0.7903,Control
Utah__A04,0.0368,1.5563,0.3598,-0.1021,1.4762,2.7776,-0.0254,0.3637,1.4429,0.4326,1.8677,2.0805,0.6918,3.1836,1.2116,0.1842,3.5094,0.0729,3.997,2.4937,0.5846,0.8309,2.1956,2.4299,-0.0314,-0.0815,-0.0474,-0.0685,-0.0451,-0.1642,-0.1133,1.7767,-0.0626,0.7746,2.9768,0.0355,0.4666,1.5576,0.1357,0.2164,1.9505,0.9376,0.0424,0.2977,-0.0514,-0.1218,1.1965,0.0331,1.1111,1.3025,0.7648,-0.0584,0.7613,-0.0731,1.8681,0.1898,0.7714,0.67,1.186,Control
Utah__A05,-0.0386,1.6541,0.544,-0.0711,1.7308,2.5587,-0.0157,0.4102,1.4763,0.4521,2.2411,2.4942,0.7365,3.2592,1.4467,0.2387,3.4609,1.1329,3.7597,2.4833,0.5526,1.2318,2.2154,2.5987,-0.043,-0.1274,-0.0734,-0.0985,-0.0101,-0.1471,-0.1189,1.9597,-0.0509,0.8167,3.0195,0.0578,0.6929,1.5776,0.0025,0.1872,2.0435,0.9553,0.1068,0.2758,-0.0487,-0.1283,1.2454,0.0583,1.4127,1.3533,0.998,-0.0049,0.9125,-0.0842,1.4142,0.1691,1.1358,0.8111,1.01,Control
Utah__A06,0.0037,1.8291,0.3382,-0.1279,1.5194,2.5602,-0.0403,0.411,1.3895,0.4783,1.8854,2.3743,0.6086,3.1144,1.5448,0.1679,3.29,0.2508,3.5756,2.3576,0.46,0.9087,2.0424,2.4549,-0.05,-0.1324,-0.0508,-0.1803,-0.0637,-0.2256,-0.1924,1.7847,-0.0967,0.8005,3.2279,-0.0741,0.5468,1.518,0.0266,0.0491,1.8446,0.8535,0.0218,0.3228,-0.0652,-0.1277,1.1742,-0.1174,1.1328,1.2424,0.9565,-0.084,0.8206,-0.113,1.4178,0.1506,1.1886,0.4565,0.9542,Control
Utah__A07,-0.0423,1.7787,0.3858,-0.1392,1.4711,2.6813,-0.0203,0.4552,1.8589,0.5091,1.8354,2.2665,0.7369,2.7825,1.3973,0.0617,3.2491,0.2222,3.4491,2.3362,0.3411,0.8975,2.2211,2.3516,-0.0333,-0.2002,-0.0717,-0.1437,-0.0685,-0.1927,-0.156,1.8441,-0.1008,0.7829,3.1708,-0.0449,0.7206,1.6586,0.0042,0.1216,1.8021,0.9925,-0.0457,0.3761,-0.0182,-0.1137,1.1316,-0.0412,1.3997,1.4468,0.8172,-0.0743,0.9039,-0.1546,1.7139,0.224,1.2324,0.5399,1.2476,Control
Utah__A08,0.0636,1.8551,0.2771,-0.1234,1.3477,2.4821,-0.0663,0.5692,1.9941,0.6174,1.4555,1.922,0.3863,2.52,1.2944,0.1327,2.8193,0.1972,3.2872,2.3988,0.4355,0.8417,2.2537,2.0859,-0.0519,-0.0928,-0.0156,-0.1233,-0.0584,-0.1535,-0.1411,1.7583,-0.0717,0.5755,2.7722,-0.0196,0.8123,1.3993,-0.0309,0.0853,1.5964,0.8703,-0.0208,0.317,-0.0907,-0.1462,0.8875,-0.0754,1.0162,1.5231,0.7257,-0.1327,0.9338,-0.1291,2.0481,0.1523,0.975,0.5853,1.2509,Control
Utah__A09,-0.0093,1.7102,0.3301,-0.1174,1.3751,2.597,-0.0461,0.4045,1.7212,0.4544,1.426,1.9279,0.2964,2.7429,1.1389,0.1825,2.9804,0.2043,3.6542,2.3361,0.2699,0.8461,2.1417,2.325,-0.0517,-0.1371,-0.0837,-0.1385,-0.0935,-0.1731,-0.1415,1.8592,-0.0881,0.6793,2.9496,-0.0063,0.5927,1.481,-0.0055,0.0974,1.768,0.891,-0.035,0.248,-0.0619,-0.1063,1.0418,-0.0345,1.0099,1.2405,0.7466,-0.0557,0.8064,-0.1078,1.8234,0.2479,0.9961,0.3447,1.1236,Control
Utah__A10,-0.0457,1.8438,0.3513,-0.0927,1.4812,2.6601,-0.0531,0.4425,1.9662,0.5737,1.7895,2.3559,0.3569,2.8951,1.2414,0.0908,3.2177,1.1022,3.6965,2.524,0.3371,1.0502,2.3524,2.3423,-0.0488,-0.128,-0.0471,-0.1237,-0.0709,-0.1331,-0.1351,1.9254,-0.052,0.6095,3.059,-0.0231,0.7228,1.5596,0.0557,0.1256,1.821,0.8758,0.016,0.5436,0.0038,-0.1013,1.1061,0.0159,1.2126,1.377,0.9483,-0.0635,1.1129,-0.1055,1.5408,0.2632,1.2449,0.5378,1.0042,Control
