@relation data

@attribute id string
@attribute 842 numeric
@attribute 1147 numeric
@attribute 2932 numeric
@attribute 7249 numeric
@attribute 5170 numeric
@attribute 4193 numeric
@attribute 1027 numeric
@attribute 2931 numeric
@attribute 1026 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 10000 numeric
@attribute 84335 numeric
@attribute 572 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8967,1.5171,0.6628,0.3057,0.7923,1.3662,2.6139,1.039,1.2717,0.6157,0.8453,0.6233,0.3083,0.2409,Control
A02,0.6211,1.302,0.4686,0.2579,0.6688,1.1733,2.1529,1.0386,0.9753,0.5686,0.6275,0.3831,0.1395,0.1478,Control
A03,0.9002,1.5398,0.609,0.325,0.8003,1.5264,2.3934,1.1391,1.692,0.6805,0.7841,0.396,0.282,0.1867,Control
A04,0.7648,1.079,0.5054,0.2905,0.7491,1.155,2.6652,0.9664,0.9804,0.6225,0.7141,0.5255,0.2514,0.2507,Control
A05,0.998,1.4435,0.6009,0.3768,0.8948,1.345,2.4343,1.2576,1.7524,0.7463,0.7904,0.5106,0.3826,0.3108,Control
A06,0.9565,1.3907,0.5351,0.2751,0.7874,1.2339,2.297,1.0334,1.4036,0.6458,0.7372,0.4506,0.2667,0.2291,Control
A07,0.8172,1.4674,0.8251,0.2991,0.8207,1.3922,2.1826,1.0684,1.1581,0.597,0.7443,0.74,0.2365,0.2349,Control
A08,0.7257,1.3187,1.0661,0.2897,0.8395,1.4066,1.9952,0.9192,1.1244,0.5375,0.7355,1.0516,0.1595,0.086,Control
A09,0.7466,1.4072,0.7154,0.2581,0.8331,1.302,2.2289,0.987,1.3153,0.5633,0.6938,0.7535,0.2373,0.207,Control
A10,0.9483,1.4266,0.9142,0.3007,0.8665,1.3575,1.7823,1.05,1.1616,0.5633,0.7332,0.8026,0.2919,0.2064,Control
A11,0.5884,1.3304,0.4848,0.2316,0.738,1.2362,1.9281,0.8895,1.0246,0.54,0.6814,0.5676,0.1047,0.1519,Control
