@relation data

@attribute id string
@attribute 941 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 79109 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 117145 numeric
@attribute 2534 numeric
@attribute 253260 numeric
@attribute 9020 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 57761 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3386,0.8489,2.0683,0.7923,0.7111,0.5277,0.6157,0.8453,1.0383,1.5746,0.3965,0.6233,0.998,1.6042,1.8849,0.7681,1.4982,1.9358,0.1189,Control
A02,0.1308,0.8305,1.3671,0.6688,0.7713,0.2836,0.5686,0.6275,0.8076,1.3014,0.332,0.3831,0.6473,1.263,1.4736,0.528,1.1993,1.6874,0.1156,Control
A03,0.3489,1.0305,1.1903,0.8003,0.9819,0.529,0.6805,0.7841,1.0044,1.3967,0.4396,0.396,0.6176,1.4626,1.6646,0.7605,1.3339,1.7151,0.1526,Control
A04,0.1898,0.7714,1.8681,0.7491,0.8159,0.4347,0.6225,0.7141,0.953,1.353,0.3908,0.5255,1.0036,1.4429,1.6612,0.6381,1.4882,1.9667,0.2226,Control
A05,0.1691,1.1358,1.4142,0.8948,0.914,0.5105,0.7463,0.7904,1.0559,1.4836,0.4851,0.5106,0.7198,1.4763,1.6544,0.6988,1.3381,1.6797,0.2709,Control
A06,0.1506,1.1886,1.4178,0.7874,0.9658,0.4516,0.6458,0.7372,0.9456,1.3845,0.3235,0.4506,0.7504,1.3895,1.5707,0.6021,1.3761,1.611,0.0788,Control
A07,0.224,1.2324,1.7139,0.8207,0.8382,0.615,0.597,0.7443,0.982,1.5934,0.3672,0.74,0.9666,1.8589,1.8248,0.7746,1.6231,1.7129,0.0222,Control
A08,0.1523,0.975,2.0481,0.8395,0.8126,0.7545,0.5375,0.7355,1.0594,1.7501,0.3279,1.0516,1.0072,1.9941,2.1937,0.7477,1.714,1.5609,0.0337,Control
A09,0.2479,0.9961,1.8234,0.8331,0.7689,0.5832,0.5633,0.6938,0.8822,1.4582,0.3416,0.7535,0.8251,1.7212,1.7465,0.6974,1.5464,1.828,0.0229,Control
A10,0.2632,1.2449,1.5408,0.8665,0.9184,0.6533,0.5633,0.7332,1.0156,1.6941,0.3939,0.8026,0.8348,1.9662,2.0044,0.73,1.6535,1.8784,0.121,Control
A11,0.1908,0.7548,1.1116,0.738,0.6777,0.5074,0.54,0.6814,0.6633,1.2025,0.3333,0.5676,0.5747,1.3506,1.3794,0.6114,1.2442,1.6506,0.0481,Control
A12,0.3364,0.7512,0.966,0.4944,0.3905,0.2138,0.3955,0.4581,0.6272,0.9215,0.2037,0.3938,0.5791,0.9467,1.1711,0.2742,1.0289,1.4307,-0.1423,Control
B01,0.2918,1.1053,1.8629,0.5477,0.681,0.4534,0.3916,0.6181,0.8853,1.4577,0.1793,0.7023,1.4356,1.5006,1.7904,0.5932,1.5918,1.4554,-0.2224,Control
B02,0.2468,1.0145,1.9283,0.7354,0.9955,0.4396,0.6693,0.8367,0.9693,1.4219,0.5066,0.5192,1.1443,1.543,1.6972,0.7361,1.7587,2.0057,0.107,Control
B03,0.2767,1.0198,1.9704,0.7817,0.9216,0.443,0.5703,0.6643,0.9023,1.5109,0.338,0.6398,1.1138,1.6673,1.8148,0.6405,1.9459,1.8247,-0.0609,BRCACancer
B04,0.2665,0.932,1.7375,0.8342,0.7485,0.6462,0.5203,0.647,1.0325,1.5671,0.1785,1.008,1.0983,2.1402,1.9317,0.7497,1.5967,1.589,-0.0529,BRCACancer
