@relation data

@attribute id string
@attribute 116519 numeric
@attribute 26119 numeric
@attribute 3339 numeric
@attribute 335 numeric
@attribute 336 numeric
@attribute 337 numeric
@attribute 338 numeric
@attribute 344 numeric
@attribute 345 numeric
@attribute 348 numeric
@attribute 3949 numeric
@attribute 3990 numeric
@attribute 4023 numeric
@attribute 4547 numeric
@attribute 5034 numeric
@attribute 51128 numeric
@attribute 6382 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.2111,1.6169,0.0478,0.0964,-0.0616,0.1021,-0.1029,0.0354,-0.1215,-0.2652,0.5417,0.0361,0.0061,-0.1462,1.6272,1.6283,-0.0906,Control
Utah__A02,-0.2066,1.2076,0.1361,0.0586,-0.0912,0.079,-0.08,-0.0212,-0.11,-0.2241,0.4711,0.068,0.2427,-0.0687,1.6364,1.4288,5e-04,Control
Utah__A03,-0.1418,1.0246,0.1297,0.1275,0.0356,0.0936,-0.0843,0.0468,-0.0783,-0.2188,0.9274,-0.0091,-0.0179,-0.0288,1.7541,1.6138,0.0218,Control
Utah__A04,-0.075,1.2722,0.1296,0.2104,0.0049,0.0865,-0.0693,0.0156,0.0016,-0.0569,0.5061,-0.0454,0.0684,-0.085,1.7855,1.4346,0.0741,Control
Utah__A05,-0.1019,1.4685,0.1072,0.122,-0.0839,0.1039,-0.0691,-0.038,-0.129,-0.0699,0.9733,0.029,-0.0114,-0.0929,1.8915,1.7165,-0.0076,Control
Utah__A06,-0.2354,1.2219,0.097,0.0561,-0.0689,9e-04,-0.0814,0.035,-0.0442,-0.2396,0.5069,0.0052,0.0668,-0.0692,1.8258,1.5421,-0.0313,Control
Utah__A07,-0.2003,1.3295,0.1554,0.083,-0.0358,0.0501,-0.0949,-0.0043,-0.1337,-0.2036,0.5178,0.0554,-0.008,-0.0844,1.7069,1.6134,-0.0138,Control
Utah__A08,-0.1196,1.4206,0.051,0.0481,-0.0102,-0.0121,-0.1047,0.07,-0.1942,-0.21,0.5198,0.2282,-0.0393,-0.1101,1.4403,1.3911,-0.0798,Control
Utah__A09,-0.1879,1.3744,0.1373,0.1125,-0.0367,0.1161,-0.0756,0.1014,-0.198,-0.1437,0.4341,0.0814,0.0243,-0.0515,1.6756,1.4999,0.0433,Control
Utah__A10,-0.1161,1.3446,0.0687,0.1061,-0.065,0.0322,-0.0817,0.0826,-0.081,-0.1478,0.491,0.0382,-0.0229,-0.0838,1.7117,1.5842,-0.0463,Control
Utah__A11,-0.2601,1.1996,0.0341,0.0487,-0.1073,0.0682,-0.1035,0.1026,-0.0121,-0.2686,0.5369,0.0096,-0.2022,-0.0584,1.6941,1.3304,-0.1031,Control
Utah__A12,-0.0038,1.1228,0.2012,0.0177,-0.0389,-0.0549,-0.0093,0.239,-0.1921,-0.3227,0.2217,0.0147,-0.0561,0.0449,1.3431,1.1077,-0.0388,Control
Utah__B01,-0.3273,1.656,0.0052,-0.0306,0.1787,-0.1508,-0.0579,0.1856,-0.239,-0.406,0.2852,0.1281,-0.0083,-0.0751,1.2358,1.3466,-0.277,Control
Utah__B02,-0.215,1.6129,0.1199,0.1321,0.0557,0.0168,-0.0462,0.0453,-0.1286,-0.0767,0.5796,0.0198,0.0899,-0.0746,1.7738,1.6102,0.0085,Control
Utah__B03,-0.1415,1.3451,0.0399,0.1085,0.0966,0.0603,-0.0609,0.1522,-0.1735,-0.257,0.5309,0.0197,-0.0733,-0.0916,1.5751,1.4631,-0.1512,BRCACancer
Utah__B04,-0.1886,1.3749,0.1262,0.1125,-0.0071,-0.0033,-0.0954,0.1137,-0.1961,-0.2025,0.4683,-0.0251,0.0066,-0.1634,1.3644,1.1935,-0.1326,BRCACancer
Utah__B05,-0.1375,0.9456,0.1331,0.106,0.0057,0.041,-0.0101,-0.0086,-0.0848,-0.2079,0.3112,-0.064,-0.0785,-0.0106,1.5752,1.1097,-0.0844,BRCACancer
Utah__B06,-0.304,0.7855,-0.0223,-0.0272,0.149,-0.1783,-0.0246,0.0882,-0.2302,-0.4669,0.1373,0.0045,-0.0649,-0.059,1.086,0.9933,-0.2444,BRCACancer
Utah__B07,-0.1145,1.3694,0.1377,0.1477,0.046,0.1026,-0.047,0.1231,-0.2365,-0.0993,0.4893,-0.058,-0.0089,-0.0421,1.7078,1.5762,-0.0111,BRCACancer
Utah__B08,-0.1066,1.327,0.0821,0.1851,-0.0679,0.0774,-0.0695,0.1124,-0.0217,0.0481,0.4496,0.0815,0.0445,-0.1024,1.8291,1.5575,-0.0067,Control
Utah__B09,-0.1298,1.2113,0.0602,0.0578,-0.0358,0.0392,-0.0976,0.1702,-0.0826,-0.0745,0.3292,0.0977,-0.059,-0.0971,1.2438,0.9682,-0.1717,Control
Utah__B10,-0.2951,1.1228,0.1057,0.1467,-0.0206,0.0089,-0.1116,-0.0068,-0.1938,-0.0715,0.4821,0.019,0.0771,-0.0837,1.4481,1.2912,-0.0697,Control
Utah__B11,-0.097,1.2889,0.1232,0.2204,0.018,0.0395,-0.0297,0.0268,-0.0686,-0.2234,0.5289,0.077,-0.0642,-0.0541,1.565,1.2401,-0.0165,Control
Utah__B12,-0.2606,1.1363,0.1205,0.1386,-0.041,-0.0104,-0.0968,-0.1442,-0.0927,-0.1149,0.189,-0.0291,-0.0497,-0.0886,0.9797,0.7391,-0.0693,Control
Utah__C01,-0.137,1.2623,0.1647,0.0446,-0.0493,-0.0183,-0.0737,0.126,-0.0633,-0.1621,0.786,-0.034,-0.0017,-0.1149,1.8008,1.3873,-0.0529,BRCACancer
Utah__C02,-0.1903,1.6199,0.1744,0.1146,-0.0572,0.0348,-0.051,0.0418,-0.157,-0.0902,0.4909,-0.021,-0.0016,-0.0279,1.771,1.4945,0.0432,BRCACancer
Utah__C03,-0.1602,1.6092,0.1783,0.0634,-0.0441,-0.0081,-0.0522,-0.0299,-0.1697,-0.1545,0.7029,-0.0273,0.0509,-0.0176,1.9121,1.6137,0.0202,BRCACancer
Utah__C04,-0.0784,1.3127,0.1184,0.0835,0.0169,0.0611,-0.0808,0.1416,0.0038,-0.0274,0.3171,-0.0346,-0.0271,-0.1077,1.655,0.7304,0.0039,Control
Utah__C05,-0.1364,1.2938,0.1417,0.1343,-0.0741,0.0564,-0.0178,0.0637,0.0121,-0.0192,0.4053,-0.0277,-0.048,-0.0438,1.7208,1.0731,0.0529,BRCACancer
Utah__C06,-0.039,0.3036,0.0797,0.237,-0.0499,0.1674,-0.013,0.281,-0.0909,-0.3373,0.2184,0.0083,-0.2139,-0.0315,0.7282,0.0925,0.0483,Control
Utah__C07,-0.1894,1.2732,0.1207,0.0202,2e-04,0.0928,-0.0694,-0.0343,-0.1384,-0.0622,0.3262,-0.0275,-0.023,-0.0716,1.7168,1.2847,0.0224,Control
Utah__C08,-0.026,1.5807,0.1487,0.0611,-0.1181,0.0851,-0.0984,0.1629,-0.1617,-0.1448,0.5991,-0.0445,-0.1069,-0.0711,1.733,1.3669,-0.0198,Control
Utah__C09,-0.2029,1.4199,0.1369,0.1284,-0.1518,0.1034,-0.0842,0.2009,-0.1236,-0.0715,0.3934,0,0.0833,-0.0692,1.7458,1.3692,-0.0557,Control
Utah__C10,-0.117,1.7582,0.1673,0.1709,-0.0253,3e-04,-0.0635,0.0257,-0.1061,-0.0374,0.3676,-0.0398,-0.0299,-0.0435,1.6761,1.4365,0.0064,BRCACancer
Utah__C11,-0.0404,1.6951,0.1293,0.1701,0.0186,0.0859,-0.0848,0.1852,-0.0992,-0.1229,0.855,0.0843,-0.1142,-0.1297,1.7527,1.2617,-0.0417,Control
Utah__C12,-0.1008,1.1263,0.1256,0.1119,0.0126,0.1422,-0.0421,0.019,-0.1649,-0.0369,0.4095,0.0388,-0.0459,-0.0493,1.6106,0.7511,0.0695,BRCACancer
Utah__D01,-0.0424,1.2791,0.1076,-0.0023,-0.0226,0.0983,-0.0653,0.0935,-0.081,-0.1867,0.3007,0.0479,-0.0509,-0.1231,1.2785,0.9713,0.0026,BRCACancer
Utah__D02,-0.1035,1.444,0.114,0.1245,-0.0657,0.1426,-0.0863,-0.1096,-0.0547,-2e-04,0.3539,0.0382,-0.072,-0.0963,1.7171,1.1843,-0.0529,BRCACancer
Utah__D03,-0.1254,1.2593,0.1554,0.1148,-0.0832,0.0627,-0.0698,-0.0781,-0.0168,-0.0327,0.455,0.0362,0.0891,-0.0581,1.7032,1.0419,0.0584,BRCACancer
Utah__D04,-0.1294,1.3121,0.1112,0.0776,-0.1399,0.1687,-0.1186,0.0416,-0.0872,-0.1936,0.4586,-0.0292,-0.107,-0.0997,1.7758,1.3235,-0.0297,BRCACancer
Utah__D05,-0.1536,1.2314,0.1733,0.0988,-0.039,0.1172,-0.0338,-0.1506,-0.1609,-0.141,0.4759,0.0015,0.3111,-0.0625,1.8296,1.3308,0.0542,BRCACancer
Utah__D06,-0.0999,1.5193,0.1287,0.1776,0.043,0.0425,-0.0952,0.0397,-0.1265,-0.0847,0.6801,0.0254,-0.0166,-0.0779,1.789,1.3274,0.0146,BRCACancer
Utah__D07,-0.0148,1.4691,0.1355,0.1968,-0.0791,0.1295,-0.0777,-0.085,-0.1093,-0.0346,0.5361,0.0364,-0.0228,-0.0683,1.8543,1.3886,0.0855,Control
Utah__D08,-0.0793,1.3062,0.1625,-0.0133,-0.0022,0.0558,-7e-04,0.1363,-0.0608,-0.1772,0.5162,0.0456,-0.0865,-0.0392,1.5793,1.116,0.0166,Control
Utah__D09,-0.0969,1.4935,0.1623,0.1829,0.0589,0.06,-0.0976,-0.0189,-0.0231,-0.2295,0.4262,-0.0297,-0.0316,-0.1111,1.6854,1.4279,-0.0077,Control
