@relation data

@attribute id string
@attribute 2914 numeric
@attribute 2915 numeric
@attribute 2912 numeric
@attribute 2550 numeric
@attribute 2913 numeric
@attribute 222545 numeric
@attribute 2918 numeric
@attribute 83756 numeric
@attribute 2916 numeric
@attribute 2917 numeric
@attribute 9568 numeric
@attribute 846 numeric
@attribute 2911 numeric
@attribute 80834 numeric
@attribute 80835 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.0561,-0.133,-0.0586,0.8506,-0.1101,-0.1677,-0.1228,0.053,-0.1216,-0.1361,-0.1075,-0.0883,-0.1684,0.0296,-0.0614,Control
A02,0.1233,-0.1801,0.1067,0.785,-0.0659,-0.0932,-0.0731,0.0956,-0.0269,-0.0768,-0.0975,-0.0582,-0.1016,0.0567,0.0494,Control
A03,0.1376,-0.1616,0.1362,0.8902,-0.0765,-0.1089,-0.1033,0.1232,-0.1333,-0.102,-0.1154,-0.0053,-0.0954,0.0503,0.042,Control
A04,0.1237,-0.1059,0.0258,0.7102,-0.0624,-0.1071,-0.0876,0.1751,0.01,-0.0955,-0.0974,0.0021,-0.1004,-0.0116,-0.0261,Control
A05,0.0874,-0.0921,0.0893,0.8694,-0.0742,-0.0894,-0.09,0.115,-0.0142,-0.0946,-0.0942,-0.062,-0.103,-0.0381,0.0034,Control
A06,0.0889,-0.1561,-0.0551,0.7606,-0.1097,-0.1069,-0.095,0.0718,-0.1285,-0.0785,-0.1279,-0.0504,-0.1162,-0.0317,-0.0552,Control
A07,0.1481,-0.1378,0.0461,0.8811,-0.0736,-0.0491,-0.0865,0.1354,0.0119,-0.0992,-0.1218,-0.0405,-0.0906,0.0411,0.025,Control
A08,0.0841,-0.1396,-0.061,0.7069,-0.1257,-0.1719,-0.1149,0.0106,-0.126,-0.1164,-0.1373,-0.0045,-0.1814,-0.0601,-0.0762,Control
A09,0.1455,-0.139,0.0122,0.6751,-0.105,-0.1001,-0.0939,0.1355,-0.061,-0.068,-0.0929,0,-0.0978,0.0903,-0.0587,Control
A10,0.1088,-0.0982,9e-04,0.6258,-0.102,-0.1026,-0.1152,0.1036,-0.1039,-0.1101,-0.0964,-0.0911,-0.1043,-0.0672,-0.0325,Control
A11,0.0593,-0.1251,-0.0395,0.3618,-0.1579,-0.1375,-0.1138,-0.0106,-0.119,-0.0727,-0.0839,-0.1058,-0.1354,-0.0252,-0.0203,Control
A12,0.2442,-0.2088,0.1295,0.4277,-0.0245,-0.0673,-0.022,0.1412,-0.0724,-0.0321,-0.1133,-0.0459,-0.084,0.1588,0.0911,Control
B01,0.0319,-0.1874,0.0134,0.7788,-0.149,-0.083,-0.0503,-0.0935,-0.1836,-0.0682,-0.0698,-0.1202,-0.1399,0.1425,-0.0087,Control
B02,0.1176,-0.1431,0.0905,0.851,-0.0959,-0.1145,-0.0898,0.0901,-0.0763,-0.0978,-0.0632,-0.031,-0.1298,0.0067,0.0346,Control
B03,0.0701,-0.1145,-0.0442,0.8154,-0.0911,-0.1366,-0.1137,0.0063,-0.1132,-0.0996,-0.0095,-0.1323,-0.1609,0.0816,-0.0208,BRCACancer
B04,0.1018,-0.1443,-0.056,0.9227,-0.1302,-0.1846,-0.0989,0.0351,-0.1789,-0.1192,-0.1332,-0.0738,-0.1226,0.0717,-0.0234,BRCACancer
B05,0.1287,-0.1889,0.0897,0.6672,-0.1103,-0.0292,-0.0487,0.0592,-0.1223,-0.049,-0.1276,0.041,-0.1066,0.0498,0.021,BRCACancer
B06,-0.0269,-0.1938,-0.1604,0.6889,-0.047,0.0403,0.0524,-0.1337,-0.2985,0.02,-0.073,-0.0423,-0.0587,0.0212,-0.0962,BRCACancer
B07,0.1093,-0.1218,0.1213,0.9453,-0.0556,-0.1137,-0.0767,0.1368,-0.0385,-0.0876,-0.1288,-0.0265,-0.1122,-0.0151,-0.0014,BRCACancer
B08,0.1136,-0.1075,-0.0378,0.5995,-0.1317,-0.1143,-0.1144,0.0621,-0.1061,-0.0896,-0.0585,-0.0561,-0.1071,0.0179,-0.1078,Control
B09,0.0628,-0.1351,-0.0772,0.8551,-0.181,-0.1615,-0.1254,-0.0206,-0.2124,-0.1175,-0.0944,-0.061,-0.1637,0.0018,-0.0769,Control
B10,0.1254,-0.1498,-0.0229,0.7179,-0.1171,-0.1162,-0.0618,0.0993,-0.0844,-0.1015,-0.0723,-0.0609,-0.1336,-0.0135,0.0347,Control
B11,0.0699,-0.135,-0.1039,0.588,-0.0434,-0.1077,-0.0537,0.0644,-0.057,-0.099,-0.0856,0.0675,-0.134,0.0436,0.0081,Control
B12,0.0696,-0.182,0.056,0.8393,-0.066,-0.0818,-0.0688,0.1037,-0.1405,-0.0669,-0.1271,0.0615,-0.0883,-0.0096,-0.014,Control
C01,0.1031,-0.186,0.0793,0.8495,-0.0655,-0.1048,-0.0745,0.1046,-0.1257,-0.1081,-0.1172,-0.0204,-0.1332,0.0628,-0.0174,BRCACancer
C02,0.1425,-0.1236,0.016,0.8003,-0.0757,-0.0285,-0.0735,0.1565,-0.0147,-0.0568,-0.0924,-0.0314,-0.105,0.0456,0.0608,BRCACancer
C03,0.1327,-0.1471,0.135,1.1552,-0.1082,-0.0817,-0.055,0.1998,-0.0404,-0.0752,-0.1095,0.0098,-0.0901,-0.0128,0.0686,BRCACancer
C04,0.108,-0.1008,0.036,0.5468,-0.0818,-0.0232,-0.0307,0.1161,-0.0865,-0.0992,-0.0641,0.0285,-0.1326,0.0297,0.076,Control
C05,0.1465,-0.0526,-0.0587,0.4169,-0.0982,-0.1116,-0.0611,0.1151,0.0438,-0.0689,-0.0742,0.0211,-0.1347,0.0308,0.0148,BRCACancer
C06,0.1208,-0.1775,-0.189,0.1822,-0.1392,-0.1082,-0.0222,0.0577,-0.1277,-0.1173,-0.0339,-0.0244,-0.1721,0.1692,0.1232,Control
C07,0.1042,-0.1301,-0.0877,0.467,-0.0808,0.0031,-0.0328,0.1207,-0.0073,-0.051,-0.0672,-0.0125,-0.1299,0.1186,-0.0165,Control
