@relation data

@attribute id string
@attribute 4331 numeric
@attribute 2072 numeric
@attribute 2071 numeric
@attribute 2073 numeric
@attribute 57804 numeric
@attribute 2068 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 5887 numeric
@attribute 6117 numeric
@attribute 1643 numeric
@attribute 10714 numeric
@attribute 6119 numeric
@attribute 6118 numeric
@attribute 5111 numeric
@attribute 1642 numeric
@attribute 5427 numeric
@attribute 2067 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5981 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 7508 numeric
@attribute 7507 numeric
@attribute 2965 numeric
@attribute 1022 numeric
@attribute 3978 numeric
@attribute 2968 numeric
@attribute 902 numeric
@attribute 2967 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3161,0.8897,0.9639,1.8812,0.9153,0.3536,0.9032,0.7518,1.029,1.4243,0.9284,0.937,0.3897,0.8764,0.9035,1.7191,0.321,0.6365,0.2617,0.382,0.5743,1.486,0.4542,1.1096,0.9389,1.0285,0.9361,0.5741,0.6555,0.3109,1.626,1.2507,Control
A02,0.1346,0.6126,0.7176,1.6434,0.7812,0.2581,0.6426,0.5097,0.7982,1.2092,0.6554,0.5755,0.2466,0.7208,0.7473,1.6122,0.2286,0.5973,0.099,0.285,0.3491,1.215,0.2866,0.9707,0.5743,0.7114,0.5947,0.3587,0.4502,0.1316,1.2003,0.9149,Control
A03,0.2105,0.7144,0.9385,1.7519,0.9344,0.3958,0.6376,0.6849,1.0839,1.3513,0.8853,1.036,0.2993,0.8257,0.9707,1.7007,0.2738,0.6674,0.2106,0.3595,0.5142,1.3855,0.3673,1.1352,0.7903,0.9247,0.7758,0.5493,0.5046,0.235,1.5333,1.0688,Control
A04,0.1798,0.5935,0.7658,1.6039,0.8265,0.3302,0.6101,0.4767,0.9122,1.3715,0.7467,0.6365,0.2713,0.8193,0.8223,1.6787,0.1775,0.5678,0.2655,0.371,0.4075,1.3284,0.2206,1.1213,0.8211,0.818,0.5436,0.5533,0.5296,0.2444,1.4337,0.8439,Control
A05,0.1989,0.7061,0.8599,1.6721,1.0764,0.4459,0.7925,0.5598,0.9598,1.3842,0.825,0.9697,0.2845,0.8622,0.8848,1.7921,0.2964,0.7223,0.3148,0.3664,0.4979,1.4057,0.3186,1.2556,0.8779,0.8832,0.6282,0.5475,0.535,0.3158,1.4419,1.0253,Control
A06,0.1536,0.768,0.7976,1.6779,0.8032,0.301,0.7451,0.4897,0.8774,1.287,0.7299,0.9507,0.2325,0.8196,0.6592,1.7046,0.1922,0.6778,0.1924,0.2252,0.4418,1.3568,0.4412,1.161,0.7207,0.7522,0.6772,0.4938,0.4429,0.2892,1.421,1.0165,Control
A07,0.3843,0.8271,0.8856,1.7194,0.8621,0.3376,0.7404,0.5836,1.0076,1.3544,0.7342,0.9639,0.3008,0.8758,0.8629,1.6973,0.2586,0.6844,0.2018,0.3551,0.4592,1.3942,0.4477,1.0976,0.7872,1.0967,0.8017,0.5297,0.4896,0.2985,1.7099,1.0785,Control
A08,0.5743,0.8076,0.9227,1.7679,0.716,0.2761,0.673,0.5327,1.0377,1.3442,0.9396,0.9739,0.2751,0.7175,0.6613,1.5335,0.1634,0.5925,0.136,0.351,0.4898,1.4589,0.4018,0.8865,0.8427,0.97,0.7686,0.5947,0.5175,0.1543,1.8094,0.9915,Control
A09,0.3797,0.6822,0.8179,1.7704,0.8269,0.2396,0.5381,0.5367,0.8992,1.3771,0.7418,0.8879,0.2256,0.8179,0.7883,1.6557,0.197,0.5485,0.1834,0.3534,0.4228,1.3819,0.4023,0.9568,0.6945,0.9075,0.634,0.5279,0.4678,0.1649,1.6033,1.139,Control
A10,0.3731,0.6982,0.9627,1.6955,0.8239,0.331,0.6957,0.5879,0.9067,1.4058,0.7828,0.8958,0.2379,0.8841,0.7576,1.6911,0.3155,0.5777,0.238,0.2448,0.4739,1.4796,0.3815,1.0653,0.7079,1.0156,0.6367,0.6165,0.4365,0.1928,1.8899,0.9752,Control
