@relation data

@attribute id string
@attribute 1292 numeric
@attribute 64096 numeric
@attribute 782 numeric
@attribute 1293 numeric
@attribute 783 numeric
@attribute 1290 numeric
@attribute 784 numeric
@attribute 1291 numeric
@attribute 785 numeric
@attribute 1297 numeric
@attribute 5894 numeric
@attribute 8128 numeric
@attribute 9048 numeric
@attribute 2675 numeric
@attribute 2674 numeric
@attribute 1289 numeric
@attribute 1287 numeric
@attribute 7903 numeric
@attribute 1280 numeric
@attribute 5747 numeric
@attribute 1281 numeric
@attribute 1282 numeric
@attribute 5605 numeric
@attribute 9252 numeric
@attribute 1284 numeric
@attribute 375790 numeric
@attribute 57731 numeric
@attribute 1285 numeric
@attribute 775 numeric
@attribute 1286 numeric
@attribute 5604 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 1385 numeric
@attribute 2260 numeric
@attribute 2668 numeric
@attribute 51332 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 1277 numeric
@attribute 5595 numeric
@attribute 1278 numeric
@attribute 5786 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute 3265 numeric
@attribute 4684 numeric
@attribute 3845 numeric
@attribute 6708 numeric
@attribute 6709 numeric
@attribute 4902 numeric
@attribute 6900 numeric
@attribute 6714 numeric
@attribute 7529 numeric
@attribute 6712 numeric
@attribute 6710 numeric
@attribute 1298 numeric
@attribute 1299 numeric
@attribute 1463 numeric
@attribute 6711 numeric
@attribute 256076 numeric
@attribute 5623 numeric
@attribute 5621 numeric
@attribute 8912 numeric
@attribute 8913 numeric
@attribute 8911 numeric
@attribute 131873 numeric
@attribute 2534 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1438,-0.1438,0.2216,0.0562,-0.0667,-0.1147,0.1901,0.0442,-0.0412,-0.0721,1.7841,-0.0278,-0.1603,-0.0645,-0.0764,-0.1111,-0.1484,1.4757,-0.0279,0.2595,-0.0427,-0.0622,0.4307,0.959,-0.0749,0.0828,-0.0963,-0.0686,-0.0944,-0.0921,0.7341,0.05,-0.0594,1.8356,0.1451,-0.1367,0.0243,2.7938,1.6355,-0.1778,1.0952,-0.1137,0.7564,1.1256,1.76,0.4236,0.1149,1.5967,-0.0879,1.9609,-0.1289,-0.0425,0.3755,2.4175,-0.0067,0.0321,-0.0327,0.0024,-0.0664,0.7944,-0.0261,0.0111,0.8624,-0.0909,-0.0729,0.2709,-0.143,1.6042,Control
A02,0.1976,-0.1664,0.245,0.0666,-0.0984,-0.0796,0.0615,0.0754,-0.061,-0.0042,1.5394,-0.0771,-0.0223,-0.0429,-0.1156,-0.0832,-0.1384,1.1994,0.0183,0.1285,0.0431,-0.06,0.3006,0.5224,-0.0687,0.0631,-0.0661,-0.0368,-0.098,-0.0476,0.48,-0.0458,-0.007,1.527,0.0074,-0.0165,-0.0114,2.9993,1.481,-0.179,1.0379,-0.0554,0.6356,0.9005,1.6579,0.3716,0.0639,1.3547,0.0371,1.6381,-0.2127,-0.019,0.3775,2.3201,-0.0027,0.0517,0.0125,0.0294,-0.0953,0.5777,-0.0731,-0.0289,0.7648,-0.0078,-0.0395,0.1766,-0.0881,1.263,Control
A03,0.2129,-0.1912,0.2836,0.0719,-0.0769,-0.0918,0.1448,0.0411,-0.0057,-0.0098,1.7337,-0.0443,-0.0164,0.1171,-0.0901,-0.0921,-0.154,1.4874,0.003,0.1567,0.0346,-0.0744,0.4986,0.7076,-0.0571,0.1156,-0.0739,-0.0708,-0.0937,-0.0708,0.7059,0.004,0.0189,1.7022,0.0802,-0.0401,0.0084,3.0903,1.7658,-0.1707,1.0752,-0.1078,0.7198,1.1275,1.9065,0.3757,0.2185,1.6527,0.1269,1.8363,-0.1555,-0.0116,0.6195,2.5593,-0.0437,0.1186,0.0329,0.0285,-0.074,0.6914,-0.0626,-0.0074,1.0647,-0.0753,-0.0185,0.075,-0.0869,1.4626,Control
A04,0.3071,-0.0366,0.276,0.1037,-0.0715,-0.0499,0.149,0.167,-0.0394,-0.0145,1.6705,-0.0574,0.0378,-0.0541,-0.0896,-0.0315,-0.1421,1.2145,0.0331,0.158,0.0076,-0.0438,0.4277,0.5985,-0.0397,0.1434,-0.0044,-0.0399,-0.0914,-0.06,0.5113,-0.0284,-0.0234,1.6873,3e-04,0.064,0.0905,3.0364,1.4795,-0.0843,1.0602,-0.0804,0.6037,1.028,1.7434,0.3609,0.1167,1.1951,-0.0668,1.7384,-0.0146,-0.0515,0.414,2.4235,0.0482,0.046,0.0758,0.1819,-0.0604,0.6914,-0.0775,-0.0476,1.0785,0.0507,-0.0058,0.2162,-0.0708,1.4429,Control
A05,0.2713,-0.0055,0.2728,0.1648,-0.0801,-0.0934,0.1243,0.1347,-0.0071,-0.0322,1.8077,-0.0343,-0.0097,0.1065,-0.084,-0.0497,-0.1174,1.4415,0.053,0.2684,-0.0106,-0.055,0.5021,0.7351,-0.0396,0.1389,0.0097,-0.071,-0.0855,-0.0753,0.726,-0.001,-0.0374,1.7772,0.053,3e-04,0.0708,3.3113,1.8562,-0.0414,1.2157,-0.0986,0.7499,1.0464,1.9721,0.4772,0.2082,1.4096,-0.015,1.627,0.0144,-0.0431,0.6469,2.404,0.0037,0.2307,0.0626,0.1538,-0.0056,0.6658,-0.0516,-0.0204,0.896,0.0584,0.0061,0.1907,-0.0895,1.4763,Control
A06,0.2155,-0.1621,0.1174,0.0812,-0.115,-0.0872,0.0798,0.004,0.0072,-0.0436,1.7479,-0.0634,-0.1281,0.0364,-0.1011,-0.1074,-0.164,1.2527,-0.0727,0.1239,0.0123,-0.0736,0.3564,0.6021,-0.0836,0.0107,-0.0828,-0.0454,-0.0996,-0.0378,0.6824,-0.0139,-0.0336,1.6188,0.0711,0.0106,-0.0302,2.8748,1.5705,-0.1574,1.0037,-0.0653,0.6551,0.8852,1.8749,0.2467,0.2437,1.4336,-0.072,1.5381,-0.305,-0.0161,0.4253,2.4712,-0.0612,-0.0029,-0.0359,-0.0334,-0.1297,0.6715,-0.0252,0.1039,0.8625,-0.1302,-0.0618,0.0575,-0.0786,1.3895,Control
A07,0.2314,-0.0812,0.1921,0.0704,-0.1109,-0.0519,0.0211,0.0619,-0.0043,-0.0306,1.7697,-0.0724,0.0059,0.0443,-0.1309,-0.1187,-0.1697,1.7008,-0.0883,0.2112,0.0176,-0.0772,0.4096,0.8635,-0.1098,0.0344,-0.0753,-0.0419,-0.1374,-0.0317,0.8669,-0.0348,-0.0223,1.8387,0.0527,0.0393,0.0089,2.9085,1.8609,-0.1837,0.9863,-0.0867,0.7579,1.1765,1.9127,0.364,0.2544,1.7064,-0.0297,1.6699,-0.1296,0.003,0.359,2.4695,-0.0034,8e-04,0.08,0.0308,-0.0953,0.6525,0.0291,-0.0715,0.8561,-0.0575,-0.0572,0.1856,-0.1075,1.8589,Control
A08,0.1886,-0.2063,0.1797,0.0264,-0.0906,-0.0951,0.1044,0.0159,0.031,-0.0339,1.7375,-0.0432,-0.1527,-0.071,-0.0908,-0.1312,-0.1504,1.5867,-0.036,0.2145,-0.0341,-0.0576,0.3414,1.0676,-0.0954,0.0323,-0.0898,-0.0946,-0.0768,-0.082,0.8829,0.0145,-0.0907,1.919,0.0863,-0.063,0.0063,2.6904,1.7198,-0.1908,1.0102,-0.1185,0.848,1.467,1.9432,0.2967,0.3766,1.6216,-0.0951,1.8304,-0.3294,-0.065,0.3481,2.3332,-0.0105,-0.0464,-0.0795,-0.0051,-0.0984,0.9,-0.0625,0.0465,0.7731,-0.0826,-0.0179,0.1314,-0.1604,1.9941,Control
A09,0.2328,-0.1223,0.1652,0.0699,-0.1048,-0.0809,0.1476,-0.0194,-0.0269,-0.0244,1.637,-0.069,-0.0154,0.0065,-0.0984,-0.1185,-0.1795,1.4121,-0.0189,0.2051,0.0173,-0.0901,0.356,0.8757,-0.0914,0.0048,-0.0645,-0.0144,-0.0921,-0.0649,0.7767,-0.0462,0.0108,1.7005,0.033,0.0215,0.0566,2.8883,1.8278,-0.1356,1.0062,-0.0989,0.74,0.9988,1.8616,0.349,0.1138,1.5553,-0.0895,1.8398,-0.0971,0.0101,0.4569,2.5884,-0.0442,0.0376,0.0333,0.0186,-0.0843,0.6626,-0.0573,-0.0237,0.9493,-0.0638,-0.0146,0.2182,-0.0642,1.7212,Control
A10,0.4474,-0.1116,0.3265,0.0595,-0.085,-0.1042,0.1458,0.0665,0.0032,-0.0457,1.7832,-0.0231,-0.051,-0.0279,-0.0826,-0.0833,-0.1381,1.8137,0.011,0.2446,-0.0233,-0.0651,0.4749,0.8235,-0.0298,0.0681,-0.0283,-0.0649,-0.0951,-0.0402,0.8171,-0.005,-0.0769,1.9569,0.05,0.0121,0.0591,2.9966,1.802,-0.143,0.9394,-0.1011,0.8013,1.3316,1.9537,0.398,0.1254,1.4415,-0.0833,1.7329,-0.0732,-0.088,0.4388,2.4465,-0.008,0.0986,0.033,0.1089,-0.0331,0.6642,-0.0698,0.058,0.8187,0.022,-0.0336,0.1532,-0.1163,1.9662,Control
