@relation data

@attribute id string
@attribute 1571 numeric
@attribute 4129 numeric
@attribute 4128 numeric
@attribute 5743 numeric
@attribute 5742 numeric
@attribute 1579 numeric
@attribute 54498 numeric
@attribute 6916 numeric
@attribute 5740 numeric
@attribute 1543 numeric
@attribute 1544 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.0195,0.0532,-0.0563,2.2485,1.2655,-0.2567,0.7681,0.5728,-0.0301,-0.1587,0.119,Control
A02,-0.1358,-0.0636,-0.0403,0.6403,1.1049,-0.1966,0.56,0.4712,-0.0478,-0.0599,0.0835,Control
A03,-0.0955,0.0012,-0.0854,0.7037,1.2097,-0.2037,0.7445,0.742,-0.0444,-0.0917,0.209,Control
A04,-0.0482,-0.0213,-0.0593,0.5118,1.3391,-0.2152,0.8181,0.4682,-0.0693,-0.2164,0.0805,Control
A05,-0.0068,0.1138,-0.0743,0.8173,1.7705,-0.199,1.1165,0.7464,-0.0574,-0.1308,0.1053,Control
A06,-0.0578,-0.0534,-0.0341,0.7996,1.4101,-0.1187,0.6808,0.6877,-0.0362,-0.1332,0.0432,Control
A07,-0.0495,-0.0514,-0.1011,0.945,1.2392,-0.1427,0.6475,0.9579,-0.1017,-0.1748,0.1924,Control
A08,-0.055,-0.0649,-0.0562,0.4725,0.7891,-0.2163,0.5571,0.9692,-0.0205,-0.1257,0.1546,Control
A09,-0.0268,-0.0313,-0.0972,0.6659,1.5086,-0.0905,0.6875,0.901,-0.0959,-0.1674,0.0644,Control
A10,-0.0598,0.0685,-0.0556,1.1847,1.6665,-0.1573,0.7787,0.959,2e-04,-0.1687,0.058,Control
A11,-0.0298,-0.0115,-0.0069,0.6984,1.1264,-0.199,0.5499,0.5595,-0.1359,-0.2335,0.1301,Control
A12,-0.0128,0.0144,-0.0711,0.234,1.3124,0.0785,0.622,0.4365,-0.1149,-0.0891,0.1297,Control
B01,-0.0426,0.0745,-0.0295,0.4798,0.964,-0.2553,0.3402,0.6123,-0.0288,-0.0428,0.1472,Control
B02,-0.0085,-0.0237,-0.0604,1.0292,1.0825,-0.187,0.64,0.5494,-0.0099,-0.1333,0.0773,Control
B03,-0.0478,-0.013,-0.0046,0.9794,0.5417,-0.0536,0.2936,0.6151,-0.0679,-0.0771,0.1292,BRCACancer
B04,-0.0522,-0.0431,-0.0969,0.5505,1.0606,-0.145,0.4901,1.1472,-0.0469,-0.152,0.0829,BRCACancer
B05,-0.093,-0.0725,-0.0941,0.5485,0.9804,-0.1758,0.4018,0.6597,-0.1646,-0.2345,-0.0336,BRCACancer
B06,-0.014,-0.0174,0.0327,0.2156,0.6378,0.0842,0.1644,0.5729,-0.0381,-0.1661,0.1239,BRCACancer
B07,-0.0376,-0.0019,-0.0685,0.5084,1.027,-0.1664,0.5624,0.6478,-0.1098,-0.1644,0.11,BRCACancer
B08,0.0297,0.0558,-0.017,0.7447,1.8683,-0.2282,1.2159,0.4867,0.0104,-0.1359,0.1236,Control
B09,-0.1074,0.0041,-0.069,0.2501,1.4117,-0.2083,0.8104,0.9005,-0.0179,-0.2526,0.1229,Control
B10,-0.1448,-0.0055,-0.0235,0.4845,0.9545,-0.1274,0.493,0.875,-0.0671,-0.1307,0.132,Control
B11,-0.0477,0.0029,-0.0528,0.5699,1.5783,-0.1249,0.7175,0.6914,-0.0157,-0.1626,0.1542,Control
B12,-0.1207,-0.0409,-0.1234,0.3542,0.6988,-0.1886,0.3518,0.7557,0.038,-0.1424,0.1662,Control
C01,-0.0734,-0.0436,-0.0718,0.8488,1.4971,-0.0742,0.779,1.0409,-0.0608,-0.1604,0.0459,BRCACancer
