@relation data

@attribute id string
@attribute 5427 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5981 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 57804 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6117 numeric
@attribute 6119 numeric
@attribute 10714 numeric
@attribute 5111 numeric
@attribute 6118 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.321,0.2617,0.382,0.5743,1.486,0.4542,1.1096,0.9153,0.9032,0.7518,1.4243,0.3897,0.937,0.9035,0.8764,Control
A02,0.2286,0.099,0.285,0.3491,1.215,0.2866,0.9707,0.7812,0.6426,0.5097,1.2092,0.2466,0.5755,0.7473,0.7208,Control
A03,0.2738,0.2106,0.3595,0.5142,1.3855,0.3673,1.1352,0.9344,0.6376,0.6849,1.3513,0.2993,1.036,0.9707,0.8257,Control
A04,0.1775,0.2655,0.371,0.4075,1.3284,0.2206,1.1213,0.8265,0.6101,0.4767,1.3715,0.2713,0.6365,0.8223,0.8193,Control
A05,0.2964,0.3148,0.3664,0.4979,1.4057,0.3186,1.2556,1.0764,0.7925,0.5598,1.3842,0.2845,0.9697,0.8848,0.8622,Control
A06,0.1922,0.1924,0.2252,0.4418,1.3568,0.4412,1.161,0.8032,0.7451,0.4897,1.287,0.2325,0.9507,0.6592,0.8196,Control
A07,0.2586,0.2018,0.3551,0.4592,1.3942,0.4477,1.0976,0.8621,0.7404,0.5836,1.3544,0.3008,0.9639,0.8629,0.8758,Control
A08,0.1634,0.136,0.351,0.4898,1.4589,0.4018,0.8865,0.716,0.673,0.5327,1.3442,0.2751,0.9739,0.6613,0.7175,Control
A09,0.197,0.1834,0.3534,0.4228,1.3819,0.4023,0.9568,0.8269,0.5381,0.5367,1.3771,0.2256,0.8879,0.7883,0.8179,Control
A10,0.3155,0.238,0.2448,0.4739,1.4796,0.3815,1.0653,0.8239,0.6957,0.5879,1.4058,0.2379,0.8958,0.7576,0.8841,Control
A11,0.1637,0.142,0.2633,0.3314,1.0996,0.32,0.8866,0.697,0.5605,0.5635,1.3033,0.2224,0.7237,0.8315,0.7719,Control
A12,0.0746,-0.0257,0.3393,0.1281,1.0406,0.1092,0.7314,0.3974,0.6485,0.3494,0.8703,0.2135,0.3692,0.3719,0.7697,Control
B01,0.1554,-0.1261,0.3431,0.3749,1.3136,0.5584,0.9186,0.5295,0.6382,0.594,1.1711,0.3664,0.7251,0.5904,0.5696,Control
B02,0.2244,0.2407,0.3949,0.5041,1.5136,0.4206,1.173,0.9974,0.7698,0.7038,1.4325,0.343,0.7124,0.8469,0.9138,Control
B03,0.1247,0.1531,0.3608,0.4335,1.3912,0.4417,1.0551,0.6931,0.5835,0.5675,1.2712,0.3227,0.648,0.7796,0.7349,BRCACancer
B04,0.2035,0.0479,0.3682,0.4285,1.2478,0.3429,0.7844,0.6053,0.4637,0.3491,1.0246,0.1981,0.6668,0.4042,0.7201,BRCACancer
B05,0.202,0.0822,0.3508,0.3747,1.1211,0.3221,0.9255,0.7444,0.6565,0.462,1.0899,0.2809,0.5448,0.663,0.8936,BRCACancer
B06,-0.1099,-0.2722,0.2249,0.1725,1.1228,0.4755,0.7214,0.3233,0.5054,0.3939,0.7113,0.1391,0.6612,0.2721,0.2559,BRCACancer
B07,0.1673,0.1765,0.4154,0.5489,1.5327,0.4495,1.086,0.8623,0.8639,0.6971,1.2793,0.3385,0.8804,0.8344,0.9212,BRCACancer
B08,0.4267,0.2304,0.2872,0.4409,1.1471,0.3861,0.9663,0.9029,0.6221,0.5112,1.4528,0.2123,0.7336,0.9135,0.7583,Control
B09,0.1026,0.1699,0.1833,0.4785,1.1065,0.3735,0.6955,0.5429,0.4023,0.298,0.9856,0.1203,0.5042,0.2216,0.4445,Control
B10,0.0697,0.0176,0.248,0.31,1.1214,0.2004,0.8861,0.4936,0.5402,0.3014,1.0861,0.2062,0.5476,0.4409,0.6674,Control
B11,0.2871,0.1395,0.3725,0.3183,1.2192,0.2309,0.8874,0.7574,0.8068,0.4873,1.0332,0.2628,0.6521,0.7684,0.9558,Control
B12,-0.0673,0.0358,0.0641,0.2742,0.7943,0.265,0.4518,0.3948,0.1736,0.08,0.5146,0.0947,0.442,-0.109,0.1422,Control
