@relation data

@attribute id string
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 7702 numeric
@attribute 5435 numeric
@attribute 6621 numeric
@attribute 661 numeric
@attribute 171568 numeric
@attribute 55290 numeric
@attribute 6619 numeric
@attribute 6908 numeric
@attribute 11178 numeric
@attribute 55814 numeric
@attribute 55703 numeric
@attribute 5440 numeric
@attribute 11128 numeric
@attribute 10621 numeric
@attribute 5451 numeric
@attribute 10302 numeric
@attribute 55718 numeric
@attribute 6618 numeric
@attribute 5441 numeric
@attribute 6617 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.1046,0.9985,1.0034,0.7216,0.2211,0.6942,0.5943,0.7255,1.502,1.2445,-0.0888,1.2891,0.5558,1.1193,0.8227,0.7686,0.5898,1.0848,1.244,0.507,0.8237,0.6347,Control
A02,0.9106,0.873,0.7449,0.4074,0.1338,0.5829,0.3696,0.5571,1.4247,1.0213,-0.0681,0.9602,0.3259,0.925,0.5604,0.5533,0.3467,0.6755,0.8748,0.5088,0.6974,0.3815,Control
A03,0.9876,1.0436,0.8001,0.7004,0.1868,0.6475,0.5245,0.7151,1.6024,1.1671,-0.123,1.1472,0.4586,1.1115,0.7586,0.7461,0.5241,0.9572,1.029,0.6411,0.691,0.5608,Control
A04,1.0146,0.9307,0.64,0.5789,0.1771,0.6441,0.4573,0.5811,1.3098,1.1535,-0.0247,1.0666,0.3434,1.1223,0.6061,0.5477,0.4883,0.7997,0.9249,0.5861,0.7874,0.3953,Control
A05,1.0117,1.1613,0.9548,0.7281,0.201,0.6815,0.5821,0.7669,1.5651,1.2012,-0.0273,1.1514,0.4734,1.0206,0.8122,0.6436,0.5546,0.7442,0.971,0.7353,0.9355,0.6126,Control
A06,0.9888,1.0126,0.7916,0.634,0.1228,0.5789,0.5664,0.618,1.416,1.1019,-0.0916,1.147,0.5401,0.9865,0.7042,0.7047,0.423,0.9428,0.9722,0.4358,0.8716,0.6185,Control
A07,1.0136,0.9793,0.7693,0.7275,0.1432,0.6401,0.4404,0.7218,1.8001,1.1302,-0.1088,1.1618,0.5164,0.932,0.7325,0.6721,0.6078,0.8612,0.9838,0.5655,0.6767,0.6978,Control
A08,0.8421,0.6605,0.7181,0.5969,0.162,0.6311,0.412,0.6109,1.673,1.1619,-0.1373,1.3175,0.5946,0.9012,0.8512,0.7269,0.7573,0.7923,1.0464,0.356,0.6333,0.589,Control
A09,0.9198,0.9128,0.6907,0.5718,0.1386,0.5672,0.4983,0.6379,1.6862,1.0669,-0.1143,1.0613,0.499,0.8544,0.7237,0.6731,0.5536,0.7817,1.061,0.572,0.5969,0.6575,Control
A10,0.9751,0.9619,0.7415,0.6541,0.1772,0.607,0.3693,0.6924,1.3679,1.1655,-0.0426,1.2321,0.5495,1.0208,0.7856,0.7271,0.6075,0.7422,0.8831,0.5013,0.7347,0.6867,Control
A11,0.711,0.8973,0.6508,0.6742,0.1505,0.3683,0.4028,0.75,1.326,0.8241,-0.0435,0.815,0.4166,0.846,0.6219,0.6437,0.3751,0.7401,0.8524,0.4145,0.7589,0.5641,Control
A12,0.7826,0.6337,0.254,0.5294,-0.0225,0.4035,0.1792,0.3882,0.7714,0.75,-0.1755,0.6438,0.1153,0.9515,0.2271,0.3356,0.3287,0.4794,0.6196,0.1905,0.497,0.3224,Control
B01,0.8662,0.5247,0.5272,0.5571,-1e-04,0.5441,0.4282,0.5071,1.4237,1.161,-0.3276,1.0806,0.5031,1.0235,0.5155,0.8166,0.6005,0.8619,1.104,0.0228,0.3209,0.6944,Control
B02,1.0667,1.0367,0.7114,0.7054,0.178,0.641,0.5233,0.6653,1.4575,1.2269,-0.1221,1.0839,0.4512,1.2088,0.6657,0.7405,0.4691,1.0415,1.2397,0.5456,0.7714,0.544,Control
B03,0.9483,0.8148,0.642,0.595,0.0605,0.5871,0.4482,0.6188,1.3587,1.1622,-0.1085,1.1238,0.4274,1.1992,0.579,0.7246,0.5037,0.9068,1.0419,0.3186,0.6098,0.58,BRCACancer
B04,0.8338,0.6093,0.5473,0.4756,0.1851,0.5553,0.3529,0.4435,1.5453,1.0437,-0.1338,1.2832,0.3618,0.6159,0.6536,0.4443,0.7768,0.6372,0.8941,0.217,0.3947,0.5476,BRCACancer
B05,0.8989,0.7161,0.3575,0.6659,0.1066,0.4048,0.3036,0.3824,1.389,0.9768,-0.1868,0.8279,0.2473,0.6801,0.4579,0.5314,0.4778,0.6639,0.9565,0.426,0.6307,0.4124,BRCACancer
B06,0.7192,0.3441,0.2219,0.4378,-0.1288,0.3738,0.1119,0.2051,1.0371,0.9584,-0.4588,0.7741,0.2944,0.5665,0.3194,0.5747,0.4767,0.5063,0.7195,-0.1023,0.1865,0.4817,BRCACancer
B07,1.1566,0.9643,0.6661,0.519,0.2479,0.7575,0.5188,0.5653,1.5834,1.3332,-0.1049,1.2489,0.4965,0.9882,0.6726,0.8183,0.5464,0.8347,1.1979,0.5097,0.6016,0.6463,BRCACancer
B08,0.9479,1.0342,0.6359,0.7393,0.1703,0.4538,0.4797,0.8032,1.6769,0.9851,-0.0522,0.8317,0.455,0.7849,0.5541,0.62,0.313,0.8566,0.9537,0.6732,0.9357,0.6724,Control
B09,0.5953,0.5649,0.5117,0.4232,0.1553,0.6056,0.2754,0.4574,1.3439,1.0467,-0.0701,1.2313,0.3779,0.7082,0.593,0.4964,0.6775,0.5498,0.8672,0.1763,0.387,0.4486,Control
B10,0.8108,0.5254,0.4401,0.5061,0.0157,0.4513,0.2637,0.3462,1.2888,0.9035,-0.1609,1.0902,0.2372,0.6915,0.4774,0.4702,0.504,0.4248,0.6392,0.1831,0.3781,0.3595,Control
B11,0.8171,0.8894,0.5578,0.8273,0.1204,0.5039,0.3276,0.5472,1.369,0.9307,-0.1555,0.9643,0.3615,1.0406,0.4794,0.4632,0.4495,0.7065,0.7756,0.6525,0.755,0.4472,Control
B12,0.616,0.4045,0.2562,0.2059,0.1351,0.3935,0.245,0.0622,0.9968,0.7642,-0.1545,0.9419,0.099,0.2866,0.2927,0.198,0.5413,0.3772,0.6903,0.0201,0.2547,0.1641,Control
C01,1.0033,1.0894,0.701,0.6895,0.2826,0.6165,0.5858,0.6668,1.6465,1.1337,-0.0903,1.0149,0.3697,0.8537,0.6693,0.6607,0.5166,0.7421,1.0173,0.4923,0.8688,0.5277,BRCACancer
C02,1.0841,1.1473,0.6013,0.7028,0.2277,0.7777,0.5456,0.6972,1.2963,1.1442,-5e-04,1.0003,0.3665,1.0179,0.6431,0.5572,0.417,0.7878,0.9986,0.5868,0.984,0.4894,BRCACancer
C03,1.2054,1.2697,0.8248,0.7546,0.3679,0.7394,0.6734,0.7367,1.5354,1.3208,-0.054,1.1451,0.4354,1.0147,0.7973,0.6749,0.517,0.8721,1.1281,0.7559,1.1057,0.4897,BRCACancer
C04,0.7416,1.0875,0.4065,0.4103,0.1509,0.3497,0.4235,0.3414,0.8754,0.6322,0.0155,0.5545,0.1508,0.6635,0.3967,0.2963,0.2561,0.4784,0.6577,0.4282,0.7739,0.3978,Control
C05,0.6505,0.9064,0.2518,0.3906,0.1547,0.3726,0.2609,0.4791,0.9128,0.6765,-0.0178,0.6767,0.1407,0.5592,0.3366,0.2699,0.2768,0.4532,0.59,0.4063,0.8224,0.3556,BRCACancer
C06,0.3275,0.3542,0.0669,0.3575,0.0296,0.1401,0.1431,0.1457,0.0901,0.3379,0.0258,0.174,-0.082,0.2049,-0.1095,0.0837,0.1684,-0.045,0.3538,0.1274,0.5702,0.0406,Control
C07,0.7777,0.943,0.3457,0.5529,0.1007,0.4411,0.4104,0.5393,1.0243,0.8058,-0.0543,0.7834,0.1644,0.82,0.4139,0.4447,0.3803,0.5259,0.6476,0.4416,0.7846,0.3507,Control
C08,0.8713,0.9042,0.5452,0.6917,0.18,0.5029,0.5312,0.7647,1.3267,1.0012,-0.0596,0.943,0.3826,0.8703,0.551,0.6476,0.3453,0.8105,0.9993,0.4531,0.9318,0.5708,Control
C09,0.8793,0.8093,0.3361,0.5444,0.19,0.531,0.3188,0.5883,1.1113,0.7818,0.0048,0.8343,0.1974,0.7126,0.3983,0.4079,0.2947,0.5415,0.7468,0.4697,0.856,0.4198,Control
C10,0.8137,0.9478,0.3628,0.5362,0.118,0.6803,0.3795,0.4986,0.9845,0.9725,0.0141,0.9262,0.1707,0.8202,0.3977,0.3884,0.3583,0.5319,0.6693,0.4553,0.9446,0.3177,BRCACancer
C11,0.8979,1.1262,0.7016,0.6419,0.2397,0.7053,0.4855,0.6968,1.3795,1.0189,-0.0567,0.8854,0.348,0.8528,0.6967,0.7076,0.361,0.805,1.0161,0.6094,1.0046,0.3077,Control
C12,0.5745,0.8535,0.2887,0.3993,0.137,0.3758,0.2747,0.3852,0.8515,0.627,0.006,0.5154,0.0869,0.5692,0.2748,0.1302,0.2749,0.3758,0.6078,0.344,0.9139,0.1798,BRCACancer
D01,0.8592,0.7527,0.5525,0.4312,0.2412,0.5108,0.3988,0.352,1.5359,1.0801,-0.0361,1.0702,0.3787,0.4946,0.6171,0.56,0.6589,0.5982,1.1401,0.2782,0.4119,0.3626,BRCACancer
D02,0.8663,1.0343,0.5476,0.5519,0.1412,0.5734,0.4885,0.5871,1.2393,0.8509,0.0274,0.8565,0.2055,0.7561,0.5197,0.4568,0.3482,0.5833,0.8614,0.516,0.9663,0.3506,BRCACancer
D03,0.7285,1.0427,0.4805,0.3306,0.1632,0.4737,0.268,0.366,1.2149,0.7132,-0.0336,0.6647,0.1479,0.4906,0.3534,0.3677,0.3336,0.4915,0.7221,0.4437,0.8972,0.2579,BRCACancer
D04,0.7448,1.0373,0.5502,0.5696,0.1625,0.5682,0.4433,0.4815,1.2938,0.8972,0.0439,0.841,0.2737,0.642,0.5072,0.4185,0.3785,0.4983,0.7812,0.5095,0.9875,0.2694,BRCACancer
D05,0.8725,1.1353,0.5801,0.4707,0.1119,0.5797,0.4086,0.5128,1.1999,0.9507,-0.0283,0.7392,0.1521,0.6901,0.4351,0.3873,0.3739,0.5627,0.757,0.5615,0.9027,0.307,BRCACancer
D06,0.9856,1.0805,0.752,0.6526,0.2201,0.6068,0.5762,0.6707,1.3811,1.086,-0.0631,0.9798,0.3364,0.8725,0.6727,0.6424,0.4147,0.7479,0.6756,0.597,0.9889,0.3832,BRCACancer
D07,0.9298,1.1236,0.6436,0.5082,0.2008,0.6072,0.4795,0.5799,1.2077,1.0635,0.0052,0.825,0.2357,0.83,0.5971,0.4874,0.327,0.6507,0.9177,0.6073,1.0055,0.4238,Control
D08,0.5765,0.836,0.3632,0.4327,0.1253,0.4628,0.2751,0.4534,0.9141,0.7543,-0.0586,0.5904,0.1329,0.5707,0.3176,0.4293,0.2405,0.4184,0.7018,0.3837,0.4783,0.2778,Control
