@relation data

@attribute id string
@attribute 4799 numeric
@attribute 55746 numeric
@attribute 23511 numeric
@attribute 10482 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 10921 numeric
@attribute 53371 numeric
@attribute 11097 numeric
@attribute 1977 numeric
@attribute 9972 numeric
@attribute 8021 numeric
@attribute 23225 numeric
@attribute 4686 numeric
@attribute 9818 numeric
@attribute 4116 numeric
@attribute 51362 numeric
@attribute 57122 numeric
@attribute 8683 numeric
@attribute 23165 numeric
@attribute 9295 numeric
@attribute 7307 numeric
@attribute 11338 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 9785 numeric
@attribute 10762 numeric
@attribute 65109 numeric
@attribute 79023 numeric
@attribute 9883 numeric
@attribute 348995 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 6431 numeric
@attribute 9939 numeric
@attribute 6432 numeric
@attribute 6430 numeric
@attribute 8086 numeric
@attribute 5903 numeric
@attribute 22916 numeric
@attribute 6429 numeric
@attribute 6428 numeric
@attribute 10250 numeric
@attribute 129401 numeric
@attribute 10189 numeric
@attribute 81929 numeric
@attribute 6427 numeric
@attribute 6426 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.3442,1.2419,1.5289,2.5358,1.5168,0.9971,1.8436,1.7496,0.7073,1.0292,0.895,0.5757,1.6105,1.2132,1.4154,1.7929,1.4743,0.8425,1.6409,1.1804,1.0782,1.7144,1.7945,1.8998,1.3066,1.945,0.8618,0.8144,1.0072,0.4054,1.0329,0.811,1.6317,0.9549,1.7283,2.1735,0.548,2.2702,3.6756,1.1141,2.452,1.228,1.3063,2.5309,1.1419,0.6425,0.4804,1.4161,2.3095,2.8911,Control
A02,1.0425,0.9955,1.2201,2.5202,1.1289,0.6417,1.5725,1.4727,0.5438,0.7877,0.5684,0.4203,1.4192,0.9206,1.0995,1.5167,1.1092,0.619,1.5127,0.8661,0.9297,1.4101,1.5103,1.5474,1.0852,1.6106,0.7352,0.6984,0.8104,0.2237,0.809,0.4752,1.2561,0.7225,1.399,1.7474,0.3931,2.036,3.5592,0.8128,2.2136,0.9567,1.0108,2.2502,0.9041,0.3515,0.4908,1.0874,2.0165,2.6935,Control
A03,1.1606,1.1481,1.3946,2.6998,1.193,0.8563,1.6379,1.6045,0.7169,0.8978,0.7042,0.5343,1.5307,1.1383,1.4121,1.7126,1.3743,0.7777,1.6563,1.0615,1.2062,1.5938,1.5819,1.9327,1.2576,1.7618,0.9492,0.8183,1.0566,0.3055,0.978,0.772,1.2558,0.9636,1.6033,2.0116,0.808,2.1659,3.4398,0.93,2.2449,1.0935,1.2428,2.4355,1.0709,0.4565,0.6144,1.2242,2.1911,2.6791,Control
A04,1.1074,1.035,1.2536,2.5275,1.0541,0.6227,1.6343,1.4732,0.5609,0.8187,0.5424,0.4748,1.4693,0.9844,1.4402,1.4294,1.0963,0.7475,1.5477,0.8467,0.9992,1.512,1.6677,1.7213,1.1309,1.7391,0.7074,0.7169,0.6851,0.2363,0.6692,0.5746,1.3163,0.7955,1.5306,1.9063,0.4909,2.176,3.5266,0.7183,2.3982,1.0721,1.1892,2.6001,0.9977,0.49,0.6136,1.0452,1.9852,2.5789,Control
A05,1.1741,1.1659,1.3593,2.6852,1.2367,0.7381,1.5556,1.6416,0.5577,0.8454,0.7813,0.4721,1.5615,1.1592,1.3661,1.6256,1.3063,0.8149,1.6951,0.9353,1.035,1.5462,1.5973,1.8125,1.3121,1.7737,0.9123,0.8589,0.8725,0.3063,0.8713,0.7961,1.4202,0.9356,1.6259,1.9366,0.5318,2.1737,3.3041,0.9882,2.2948,1.0768,1.2392,2.5763,1.0799,0.4528,0.7394,1.2483,2.1671,2.6019,Control
A06,1.1404,1.1078,1.3159,2.5941,1.2251,0.7443,1.5054,1.5378,0.5757,0.7756,0.7055,0.3823,1.3944,1.1231,1.3027,1.6166,1.2543,0.6982,1.5114,0.9163,0.9994,1.4919,1.5957,1.8898,1.1412,1.5798,0.8566,0.7746,0.9123,0.3196,0.8027,0.5958,1.2779,0.8793,1.5196,2.0514,0.5457,2.0081,3.4836,0.9751,2.313,0.9676,1.1659,2.4064,1.0097,0.4388,0.6135,1.1832,2.0113,2.6824,Control
A07,1.2335,1.1496,1.2731,2.5673,1.3959,0.8955,1.6289,1.6678,0.6919,0.9338,0.8363,0.6261,1.5557,1.2234,1.4067,1.7605,1.5043,0.883,1.74,1.0076,0.9749,1.5675,1.7338,1.8376,1.2008,1.755,0.9018,0.7704,1.0027,0.311,0.8878,0.846,1.4804,0.9374,1.5739,2.0905,0.4499,2.2862,3.6463,0.9205,2.4385,1.1628,1.3609,2.3928,1.0354,0.5794,0.5476,1.3253,2.1291,2.8005,Control
A08,1.2312,1.1852,1.3273,2.3974,1.4199,0.8548,1.6442,1.6378,0.727,1.0399,0.6922,0.7036,1.6863,1.3728,1.4954,1.7461,1.5489,0.6894,1.659,1.0552,0.9403,1.5811,1.8441,1.9384,1.0599,1.9979,0.894,0.7111,0.9296,0.3091,0.8242,0.9343,1.3936,0.8151,1.6094,1.641,0.4619,2.1701,3.4789,0.8149,2.4634,1.045,1.529,2.3643,1.1762,0.7899,0.335,1.2046,1.8502,2.6332,Control
A09,1.1931,1.0035,1.342,2.5689,1.3134,0.7467,1.6649,1.6472,0.4772,0.7387,0.7076,0.5664,1.4396,1.2037,1.3511,1.6503,1.3796,0.6502,1.546,1.0641,0.8692,1.4523,1.5942,1.8016,1.2478,1.6888,0.8734,0.7428,0.9597,0.2664,0.8978,0.6472,1.2645,0.8881,1.4078,1.9394,0.4556,2.0113,3.7091,0.9079,2.2424,0.9815,1.1964,2.4784,1.0214,0.4829,0.4321,1.2531,2.2148,2.8913,Control
A10,1.2331,1.1941,1.3405,2.5311,1.2564,0.7982,1.5082,1.6437,0.6231,0.9486,0.7208,0.528,1.6661,1.2495,1.4825,1.665,1.5244,0.7495,1.693,1.0446,0.9021,1.6701,1.7626,1.8318,1.1824,1.8254,0.863,0.7575,0.9655,0.2609,0.838,0.7532,1.4598,0.8579,1.7036,1.8103,0.4926,2.2992,3.5536,0.819,2.5402,1.0572,1.3954,2.5872,1.1929,0.7237,0.5107,1.1348,1.955,2.6129,Control
