@relation data

@attribute id string
@attribute 121916 numeric
@attribute 1432 numeric
@attribute 2002 numeric
@attribute 23236 numeric
@attribute 2357 numeric
@attribute 2769 numeric
@attribute 2782 numeric
@attribute 2792 numeric
@attribute 3265 numeric
@attribute 4214 numeric
@attribute 4688 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5058 numeric
@attribute 5288 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 57172 numeric
@attribute 5879 numeric
@attribute 5894 numeric
@attribute 5970 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 8536 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.1374,1.4426,0.4312,0.4303,2.2261,1.2713,1.414,-0.1115,0.4247,2.2889,2.4812,0.4264,0.566,1.394,0.0372,1.6889,2.2235,1.1667,-0.1239,0.7188,1.2834,1.3861,1.7309,1.0783,0.718,0.4255,0.744,0.7028,0.0396,0.6432,1.7847,1.4148,2.3173,1.1595,2.0808,0.7481,Control
Utah__A02,-0.0466,1.1508,0.2767,0.2262,2.4052,1.2539,1.3774,-0.0107,0.3701,1.8995,2.6353,0.3561,0.399,1.1231,0.0966,1.279,2.0678,1.1756,-0.1304,0.5951,0.9381,1.0792,1.6299,1.0214,0.4692,0.2945,0.722,0.2931,0.0657,0.4992,1.5429,1.23,2.331,0.9813,2.1764,0.7215,Control
Utah__A03,-0.0784,1.3711,0.3461,0.3007,2.6536,1.4944,1.4718,-0.1264,0.3745,2.1356,2.6823,0.3954,0.6686,1.3459,0.0383,1.4481,2.7745,1.4289,-0.1393,0.7523,1.2109,1.1587,1.8758,1.0584,0.6904,0.494,1.0145,0.429,0.0639,0.7305,1.7349,1.459,2.5215,1.2374,2.1323,0.9102,Control
Utah__A04,-0.1799,1.2559,0.3725,0.1828,1.797,1.2238,1.4544,-0.0455,0.3589,2.278,2.7057,0.4685,0.4547,1.1899,0.0472,1.4307,2.2888,1.0247,-0.0782,0.6673,0.9279,1.2414,1.7145,1.0435,0.4999,0.4226,0.781,0.3654,-0.0138,0.4506,1.6725,1.4617,2.6061,1.0291,2.2841,0.6687,Control
Utah__A05,-0.0516,1.5137,0.4351,0.4625,2.7389,1.7829,1.553,-0.0806,0.4809,2.4514,3.0786,0.4397,0.4619,1.2552,0.0733,1.5153,2.4787,1.3702,-0.0785,0.7731,1.0818,1.1595,1.9408,1.1978,0.7099,0.4974,0.9779,0.5039,-0.0097,0.6788,1.808,1.5159,2.2755,0.994,2.3856,1.0292,Control
Utah__A06,-0.1283,1.2007,0.3874,0.3563,2.7154,1.4557,1.3984,-0.1084,0.2391,2.0424,2.8476,0.306,0.425,1.1824,0.0089,1.3528,2.4894,1.2955,-0.122,0.6198,0.9413,0.9185,1.8446,0.9874,0.6673,0.3508,0.8196,0.6103,0.0338,0.5315,1.7489,1.312,2.2293,1.154,2.1384,0.7867,Control
Utah__A07,-0.2206,1.592,0.2834,0.8391,2.54,1.4363,1.5046,-0.1539,0.3621,2.4121,2.8106,0.3424,0.6062,1.37,-4e-04,1.6808,1.9854,1.3668,-0.1366,1.0264,1.3182,1.183,1.882,0.9702,0.8479,0.4043,0.7471,0.5968,0.0264,0.7067,1.7704,1.2303,2.2849,1.4581,2.178,0.8547,Control
Utah__A08,-0.0587,1.6309,0.3073,0.6234,1.5529,1.0425,1.4784,-0.0861,0.2915,2.6664,2.3514,0.3838,0.8547,1.5498,0.0839,1.8517,1.9135,1.2078,-0.129,1.1569,1.4563,1.5413,1.9122,0.9939,0.8635,0.3356,0.6866,0.7273,-0.0259,0.7992,1.7386,1.2164,2.199,1.2592,1.9223,0.7207,Control
Utah__A09,-0.1353,1.435,0.3567,0.7121,1.5308,1.2229,1.3959,-0.1335,0.3464,2.4939,2.6372,0.3486,0.5867,1.2669,0.0085,1.6,2.2018,1.2824,-0.113,0.866,1.231,1.1713,1.8315,0.99,0.7596,0.3503,0.8065,0.5458,0.0335,0.5778,1.6393,1.304,2.2287,0.9544,2.3056,0.7426,Control
Utah__A10,-0.1257,1.7367,0.3201,0.9357,2.5469,1.2406,1.4977,-0.1431,0.3978,2.3914,2.8865,0.3484,0.7044,1.3997,0.0145,1.6339,2.1342,1.3673,-0.0953,1.0757,1.2426,1.4321,1.9225,0.9237,0.7992,0.4701,0.7525,0.6755,-0.024,0.709,1.7838,1.2969,2.2654,1.2719,2.2472,0.7489,Control
Utah__A11,-0.1231,1.1233,0.307,0.6182,1.8839,1.2014,1.2505,-0.1683,0.2849,1.7477,2.2493,0.3275,0.596,1.2591,0.1478,1.1125,2.0686,1.166,-0.0949,0.6176,1.0314,0.9854,1.8048,0.9765,0.5921,0.421,0.6863,0.5351,0.0775,0.4206,1.2871,1.1956,2.2432,0.7597,2.1929,0.4728,Control
