@relation data

@attribute id string
@attribute 10197 numeric
@attribute 10437 numeric
@attribute 115653 numeric
@attribute 1385 numeric
@attribute 1508 numeric
@attribute 1514 numeric
@attribute 1520 numeric
@attribute 2923 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3303 numeric
@attribute 3304 numeric
@attribute 3305 numeric
@attribute 3306 numeric
@attribute 3308 numeric
@attribute 3309 numeric
@attribute 3312 numeric
@attribute 3320 numeric
@attribute 3326 numeric
@attribute 3458 numeric
@attribute 3802 numeric
@attribute 3804 numeric
@attribute 3805 numeric
@attribute 3809 numeric
@attribute 3811 numeric
@attribute 3812 numeric
@attribute 3823 numeric
@attribute 3824 numeric
@attribute 4261 numeric
@attribute 4800 numeric
@attribute 4801 numeric
@attribute 4802 numeric
@attribute 5641 numeric
@attribute 567 numeric
@attribute 5720 numeric
@attribute 5721 numeric
@attribute 5993 numeric
@attribute 5994 numeric
@attribute 6890 numeric
@attribute 6891 numeric
@attribute 6892 numeric
@attribute 7124 numeric
@attribute 811 numeric
@attribute 821 numeric
@attribute 8302 numeric
@attribute 8625 numeric
@attribute 920 numeric
@attribute 925 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.8121,2.5757,0.0991,1.8416,1.2429,0.3682,3.18,0.5677,1.8408,2.2511,0.6301,3.0447,1.5255,0.064,3.1376,1.0901,3.4838,2.4201,0.2865,2.7134,0.7316,1.0983,0.1133,1.6619,2.0293,2.0163,0.7784,1.844,0.7344,-0.0288,-0.3881,0.1532,0.6662,-0.204,0.3751,0.7058,1.7048,1.1954,1.6094,0.9034,0.5647,0.3572,3.5854,0.9384,0.8762,1.2236,0.9027,2.0672,1.6749,1.832,0.4095,2.0077,0.9872,1.6153,0.4523,1.6895,1.2843,Control
Utah__A02,1.7681,2.9582,0.0891,1.5349,1.2189,0.3713,3.6499,0.3788,1.9724,2.3441,0.5394,3.2633,1.414,0.2722,3.6276,1.0826,3.5946,2.3937,0.7163,3.2789,0.7218,0.9013,0.1187,1.4566,1.886,1.8112,0.7066,1.5602,1.6345,0.2062,-0.315,0.0905,0.4171,-0.2758,0.6629,1.8072,2.6473,1.0974,1.2651,0.6421,0.4273,0.1695,3.99,0.9476,0.7827,0.9715,0.5304,2.1787,1.6356,1.7582,0.4322,2.1472,0.9536,2.6214,0.2962,1.432,1.5793,Control
Utah__A03,1.938,3.0601,0.1681,1.7089,1.4808,0.6485,3.4145,0.6474,2.2167,2.32,0.6168,3.2587,1.698,0.0989,3.3288,0.3109,3.4581,2.4933,0.5286,3.0646,0.9253,0.6683,0.1098,1.6212,2.1645,2.0553,0.9237,1.9531,2.2035,0.1427,-0.3719,0.181,0.8958,0.0445,0.4247,1.1519,2.6451,1.3705,1.4187,0.8583,0.5122,0.262,3.6523,1.0974,1.1476,1.23,0.739,2.3912,1.9026,1.8079,0.5375,2.3951,1.0077,2.2752,0.4139,1.5818,1.7609,Control
Utah__A04,1.7923,3.0621,0.0317,1.6942,1.0938,0.3227,3.5745,0.4666,1.9243,2.1154,0.7192,3.256,1.1807,0.1989,3.5778,0.0915,4.0306,2.478,0.6054,2.8085,0.5083,0.8469,0.1448,1.3863,1.9179,1.9347,0.7921,1.9273,0.6827,0.0995,-0.2388,0.0656,0.2887,0.0924,0.3831,1.1269,2.2125,1.0636,1.5509,0.6722,0.4337,0.2448,3.8348,1.0933,0.5664,1.1572,0.6385,2.0927,1.6614,1.8952,0.3432,2.277,1.0137,1.6032,0.4091,1.5443,1.5209,Control
Utah__A05,2.0018,3.2078,0.1577,1.7835,1.5539,0.5126,3.7436,0.4539,2.2998,2.5246,0.7657,3.3307,1.4126,0.2537,3.5296,1.1502,3.784,2.4677,0.5731,3.5058,0.8511,1.0551,0.185,1.6649,2.0695,1.7363,0.7053,1.4667,0.6381,0.476,-0.1079,0.1648,1.3877,0.3084,0.341,1.386,2.2383,1.3931,1.5422,0.76,0.545,0.356,3.4895,1.1844,0.8052,1.3169,0.6155,2.1858,1.764,1.8037,0.365,2.2769,1.0642,2.1078,0.5084,1.816,1.1566,Control
Utah__A06,1.8369,3.1534,0.1753,1.6261,1.478,0.3387,3.5063,0.545,1.9422,2.406,0.6325,3.1875,1.5093,0.1825,3.3593,0.2693,3.5927,2.3427,0.4794,3.2768,0.6016,0.7986,0.0522,1.4792,2.0495,1.6049,0.6908,1.7684,0.0789,0.0431,-0.0686,0.3083,1.15,0.031,0.4014,1.4864,2.5196,1.0407,1.4588,0.6089,0.4878,0.2977,3.4969,0.9662,0.623,1.0837,0.6184,1.8454,1.4762,1.6414,0.4132,2.0773,1.0434,2.1484,0.3794,1.6757,0.9341,Control
Utah__A07,1.8008,3.0016,0.059,1.8447,1.455,0.4695,3.5999,0.4139,1.8919,2.2993,0.7661,2.8594,1.3639,0.0756,3.3186,0.2407,3.4613,2.3214,0.3589,2.9021,0.984,0.8831,0.0574,1.5251,2.0332,1.6319,0.585,1.459,0.9899,0.6364,-0.3862,0.2317,1.3358,0.3542,0.3629,0.6661,2.3467,1.3059,1.5116,0.8505,0.609,0.3279,3.4167,0.9058,0.8558,1.124,0.8995,2.0043,1.5039,1.7224,0.4675,2.0365,1.0963,1.2353,0.3937,1.6541,1.0758,Control
Utah__A08,1.5886,2.5109,0.0428,1.9244,1.1681,0.5231,3.2744,0.5209,1.5099,1.9586,0.401,2.6,1.2623,0.1471,2.8904,0.2157,3.2931,2.3836,0.4545,2.5864,0.6166,0.8192,-0.0014,1.5488,1.6085,1.4499,0.7253,1.6332,0.8299,0.221,-0.2259,0.0633,1.3418,0.0854,0.4375,2.0878,2.134,1.0755,1.3717,0.6753,0.6816,0.1959,3.5632,0.9038,0.8432,0.982,0.7391,1.8894,1.5807,1.773,0.2445,1.8498,0.924,2.5102,0.3251,1.4489,0.855,Control
Utah__A09,1.7255,2.9743,0.1642,1.7073,1.2562,0.3218,3.4845,0.4052,1.4803,1.9645,0.3074,2.8203,1.109,0.1972,3.0509,0.2228,3.6744,2.3213,0.2869,2.7855,0.7525,0.8058,0.0919,1.465,1.9928,1.5211,0.6044,1.6033,0.813,0.0618,-0.1328,0.2101,0.5799,0.0024,0.3578,0.9886,2.3974,1.0828,1.3623,0.7435,0.5214,0.3068,3.7836,0.9756,0.7515,1.093,0.7451,1.9495,1.379,1.6474,0.3484,2.1404,0.948,1.6077,0.381,1.6131,1.2647,Control
Utah__A10,1.672,2.7835,0.1945,1.9621,1.262,0.2412,3.6783,0.3631,1.8458,2.3878,0.3703,2.9707,1.21,0.1049,3.2873,1.1195,3.7184,2.5081,0.3549,3.1214,0.692,0.9396,0.0964,1.6399,1.7867,1.4506,0.625,1.5068,1.5987,0.2592,-0.2633,0.0989,1.7306,0.2683,0.3261,1.5161,2.8776,1.1327,1.5117,0.7241,0.6614,0.2334,3.5202,0.9567,0.8228,1.202,0.6581,2.1748,1.7097,1.7139,0.4505,2.0103,1.0122,2.8413,0.4121,1.4859,1.8472,Control
Utah__A11,1.6732,2.9379,0.0824,1.3787,1.1477,0.2637,3.4333,0.2919,1.3249,1.7397,0.3657,2.8884,0.9221,0.1309,3.194,0.4223,3.0887,1.591,0.2203,2.435,0.6377,0.5513,0.1326,1.2246,1.9534,1.3448,0.6483,1.274,1.7846,0.29,0.0738,0.1644,1.2916,0.3504,0.8243,2.0517,3.0559,1.0151,1.1215,0.6695,0.3572,0.1835,3.4174,0.9025,0.6104,0.7581,0.6947,1.4528,1.0707,1.3467,0.1872,2.1968,0.9032,2.6518,0.3071,1.41,1.362,Control
Utah__A12,1.1673,2.2915,0.1901,1.2041,0.7548,0.2048,3.488,0.0934,1.2325,1.8084,0.4714,2.5652,0.6983,0.2554,3.2817,1.4399,3.242,2.0217,0.2354,3.4523,0.6829,0.5657,-0.1147,1.1992,1.4357,1.1457,0.5301,1.3925,0.728,0.1147,-0.2882,0.1443,0.2275,-0.2606,0.38,1.0203,2.4922,0.3955,1.0237,0.4533,0.2839,0.1198,2.9883,0.7963,0.2991,0.8198,0.2477,1.5405,0.9716,1.149,0.0949,1.6543,0.7514,1.7458,0.2348,0.8679,1.3631,Control
Utah__B01,1.5134,2.4841,0.1215,1.6376,1.1497,0.388,3.0807,0.6348,1.4892,2.0121,0.3667,2.5758,1.4735,0.2031,2.8593,0.2103,3.1579,2.1788,0.1784,2.4146,0.3613,0.7439,-0.2438,1.3969,1.6916,1.6022,0.7649,2.0831,0.1716,0.4834,-0.0257,0.3498,0.7805,-0.0104,0.393,0.2182,1.257,0.8434,1.2363,0.8008,0.5256,0.2626,3.6374,0.6443,0.8424,1.1433,0.7704,1.7249,1.3772,1.6297,0.221,1.7728,0.8768,1.3605,0.1556,1.2794,0.8578,Control
Utah__B02,1.7949,3.1572,0.2041,1.7428,1.4731,0.3413,3.5588,0.6802,2.049,2.4738,0.6907,3.3457,1.8712,0.1796,3.4823,0.1148,3.874,2.737,0.3699,2.7148,0.5505,0.8242,0.0213,1.6064,2.0956,2.0927,0.9047,2.1611,0.8544,0.1998,-0.0908,0.2212,0.8188,0.028,0.6629,2.0174,2.4236,1.1403,1.4904,0.8225,0.5243,0.2436,4.0267,1.0168,0.8104,1.3226,0.7832,2.2945,1.7657,2.0149,0.4265,2.3112,1.0409,2.3709,0.4293,1.5772,1.7737,Control
Utah__B03,1.7477,2.8655,0.2031,1.7274,1.3346,0.3716,3.5914,0.5816,1.77,2.2988,0.3318,2.9946,1.5317,0.1948,3.2169,1.0159,3.6205,2.446,0.3926,2.8591,0.3889,0.8038,-0.0601,1.5295,1.9905,1.833,0.9581,2.0034,0.7853,0.2858,-0.1952,0.1507,0.8421,-0.0585,0.4972,1.3744,2.3646,0.9365,1.4165,0.7484,0.5309,0.3019,3.8548,0.8725,0.7363,1.2425,0.7448,1.9558,1.56,1.8297,0.1629,2.0799,1.0117,2.0888,0.3093,1.3873,1.6341,BRCACancer
Utah__B04,1.2873,2.2591,0.0382,1.7233,1.0112,0.1189,3.0342,0.5297,1.5149,2.0217,0.265,2.5105,1.4969,0.2028,2.6632,0.2728,3.1845,2.2685,0.4309,2.3469,0.6549,0.7201,-0.0964,1.3469,1.2971,1.4056,0.6354,1.3061,0.8647,-0.1,-0.426,0.0056,1.173,-0.0782,0.2944,1.7992,2.2115,1.3138,1.296,0.5024,0.7026,0.1864,3.5051,0.6177,0.5474,0.8579,0.6335,1.7566,1.5694,1.8613,0.3204,1.5991,0.8614,2.8731,0.1892,0.9246,1.4828,BRCACancer
Utah__B05,1.6447,2.9095,0.2085,1.3547,1.3214,0.4767,3.1984,0.5542,1.7847,2.0999,0.6911,3.1847,1.4503,0.2273,3.3766,0.3128,3.2619,2.3974,0.4037,2.9191,0.4,0.7441,-0.0841,1.2342,1.7552,1.5598,0.7922,1.8732,0.2659,0.5398,-0.1708,0.2082,1.7544,0.0581,0.5039,1.2619,2.7841,0.8511,1.1766,0.5849,0.415,0.3916,3.9417,0.9717,0.6399,0.8125,0.6473,1.8351,1.3381,1.7211,0.3651,1.9048,0.8326,2.1666,0.3751,1.3034,1.0818,BRCACancer
Utah__B06,1.0758,2.1139,0.2276,1.416,0.855,0.0734,3.3037,0.1779,1.5006,2.2572,0.2648,2.6002,1.2863,0.1632,2.8845,0.5698,2.9835,2.0611,0.2035,2.3772,0.5097,0.5113,-0.3396,1.1363,1.2606,1.4812,0.6655,1.671,0.4188,0.3697,-0.0209,0.2991,-0.0335,-0.1064,0.3518,0.9583,2.0668,0.7892,1.0077,0.5728,0.3657,0.1223,3.7194,0.468,0.8288,0.854,0.5955,1.5212,1.2761,1.3697,0.0826,1.34,0.7126,1.9372,-0.0327,0.754,1.0415,BRCACancer
Utah__B07,1.7154,2.7653,0.011,1.8168,1.3869,0.307,3.5061,0.5893,1.9731,2.577,0.6642,3.0748,1.726,0.2885,3.16,0.2174,3.7881,2.7488,0.5969,3.1853,0.5144,0.8484,0.0059,1.6523,2.016,2.1918,0.8132,1.9274,1.4515,-0.0573,-0.3179,0.0054,0.1494,-0.2304,0.2868,0.7039,2.7798,1.2834,1.5756,0.863,0.5992,0.1536,4.0345,0.9766,1.083,1.3196,0.8862,2.4496,1.9073,2.1244,0.1916,2.2575,0.9932,2.6698,0.3652,1.4072,2.0111,BRCACancer
Utah__B08,1.8284,3.0555,0.2714,1.5686,1.3853,0.4023,3.644,0.3945,1.5852,2.0538,0.362,2.9688,1.0878,0.1909,3.2387,0.2997,3.6373,2.3487,0.5467,3.3246,0.9491,0.8409,0.0708,1.2619,2.0129,1.8175,0.6412,1.4091,0.8862,0.3529,-0.3314,0.1628,1.324,0.1851,0.468,1.3838,2.3298,1.0777,1.2735,0.8322,0.3674,0.3032,3.6745,0.9009,0.6912,0.9109,0.7841,1.9404,1.3579,1.5843,0.1785,2.1044,1.0202,1.6694,0.4934,1.6462,0.871,Control
Utah__B09,1.2311,1.9079,0.1494,1.4345,1.0085,0.0594,2.4236,0.7055,1.4025,1.8479,0.1847,1.9231,1.5196,0.1451,2.3797,0.2759,3.3146,1.7988,0.172,2.4491,0.3512,0.3986,0.069,0.9386,1.5199,1.3225,0.9921,1.9846,0.568,0.0976,-0.2883,0.1321,0.8766,-0.226,0.4831,1.5599,1.8631,1.1232,0.9177,0.4609,0.5598,0.1641,3.7909,0.5713,0.6109,0.7374,0.5446,1.4957,1.2016,1.6079,0.0635,1.6693,0.7646,2.5273,0.1563,0.8165,0.892,Control
Utah__B10,1.3615,2.4362,0.1812,1.5664,1.0501,0.2035,3.5353,0.2851,1.1074,1.6522,0.1971,2.3555,0.9421,0.1689,2.8399,1.0361,3.586,1.9561,0.4646,3.6264,0.6576,0.6145,-0.0287,1.1948,1.5734,1.101,0.5125,1.3386,0.699,0.8384,-0.3247,0.0923,2.1623,0.3331,0.4458,1.8025,2.7676,0.8406,1.132,0.5575,0.5131,0.0383,3.5945,0.6934,0.3893,0.7613,0.4581,1.6677,1.2648,1.4833,0.0864,1.8537,0.9352,2.5043,0.0981,0.8982,1.2255,Control
