@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 1605 numeric
@attribute 1636 numeric
@attribute 1674 numeric
@attribute 1756 numeric
@attribute 2010 numeric
@attribute 22801 numeric
@attribute 27091 numeric
@attribute 27092 numeric
@attribute 3479 numeric
@attribute 3569 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3674 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3679 numeric
@attribute 3680 numeric
@attribute 3685 numeric
@attribute 3688 numeric
@attribute 3690 numeric
@attribute 3691 numeric
@attribute 3693 numeric
@attribute 3694 numeric
@attribute 3695 numeric
@attribute 3696 numeric
@attribute 3908 numeric
@attribute 4000 numeric
@attribute 4607 numeric
@attribute 4624 numeric
@attribute 4625 numeric
@attribute 4633 numeric
@attribute 4634 numeric
@attribute 488 numeric
@attribute 51422 numeric
@attribute 53632 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 5564 numeric
@attribute 5565 numeric
@attribute 5571 numeric
@attribute 55799 numeric
@attribute 59283 numeric
@attribute 59284 numeric
@attribute 59285 numeric
@attribute 60 numeric
@attribute 6262 numeric
@attribute 6442 numeric
@attribute 6443 numeric
@attribute 6444 numeric
@attribute 6445 numeric
@attribute 6546 numeric
@attribute 70 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 71 numeric
@attribute 7124 numeric
@attribute 7134 numeric
@attribute 7137 numeric
@attribute 7139 numeric
@attribute 7168 numeric
@attribute 7169 numeric
@attribute 7170 numeric
@attribute 7171 numeric
@attribute 7273 numeric
@attribute 775 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 781 numeric
@attribute 782 numeric
@attribute 783 numeric
@attribute 784 numeric
@attribute 785 numeric
@attribute 786 numeric
@attribute 8515 numeric
@attribute 8516 numeric
@attribute 9254 numeric
@attribute 93589 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.1159,-0.0854,0.4027,0.0717,-0.0782,-0.1055,1.3365,-0.1096,-0.0405,-0.0995,-0.0902,0.0682,1.6468,0.1684,0.2992,1.1768,0.1067,2.6951,1.4811,-0.0347,0.0046,0.7309,2.4355,2.1043,-0.0339,0.3067,-0.0655,1.9691,0.0792,-0.0861,0.0793,0.0915,-0.0482,-0.1823,-0.1341,0.0302,1.6859,0.3976,0.1036,1.3738,-0.117,1.2388,1.1575,1.351,-0.0186,0.1744,-0.1148,0.1022,2.0546,-0.108,-0.0063,0.4298,-0.0749,-0.1377,0.4815,-0.0236,2.0162,0.063,0.0717,1.4479,0.4095,0.1813,-0.0874,-0.0787,0.4337,0.3329,0.6489,0.8043,0.7234,-0.0953,0.045,-0.0528,-0.1469,0.2081,-0.0619,0.1804,-0.0405,-0.135,0.0012,-0.1123,0.0172,0.0714,Control
Utah__A02,-0.1908,-0.1415,0.3437,0.0078,0.0986,-0.1329,1.0491,-0.1378,0.0139,-0.1129,-0.0978,-0.0126,0.9234,0.1934,0.1676,1.2473,0.0432,2.442,1.1969,-0.0523,0.011,0.6041,2.1547,2.2228,-0.0112,0.2963,-0.0088,1.9565,0.0911,-0.041,0.1723,0.1139,-0.048,-0.1711,-0.12,0.1471,1.5564,0.2947,0.1232,1.2086,-0.0836,0.9662,0.9426,1.1982,0.0455,0.1479,-0.1734,0.1128,1.7714,-0.042,-0.0384,0.3364,-0.0067,-0.103,0.417,-0.0775,2.0252,0.0756,0.0059,1.1003,0.4322,0.1101,-0.1403,0.0022,0.2931,0.0218,0.5487,0.49,0.2588,-0.0989,-0.0492,-0.0015,-0.0585,0.2312,-0.1007,0.0527,-0.065,-0.0906,-0.0017,-0.1259,0.1639,0.043,Control
Utah__A03,-0.1723,-0.1196,0.3991,0.0485,0.0279,-0.1301,1.1927,-0.136,-0.086,-0.0489,-0.0914,-0.024,0.646,0.1447,0.3777,1.3982,0.0069,2.7204,1.5823,0.0447,0.0079,0.8144,2.3137,2.238,0.0021,0.38,-0.0401,2.1589,0.0538,-0.0528,0.2179,0.148,-0.066,-0.2209,-0.0413,0.092,1.8144,0.3798,0.0606,1.2768,-0.0867,1.1472,1.0291,1.3648,0.023,0.2418,-0.1783,0.0683,2.074,-0.0386,0.0266,0.4749,-0.0571,-0.1302,0.7169,-0.0236,2.2099,0.1594,0.0396,1.1474,0.5375,0.2212,-0.1317,0.0492,0.3848,0.0086,0.7821,0.6082,0.3606,-0.0946,-2e-04,0.0239,-0.0818,0.2692,-0.0743,0.1354,0.0034,-0.0992,0.0063,-0.138,0.179,0.0826,Control
Utah__A04,-0.1132,-0.1736,0.3502,0.122,0.2528,-0.1017,1.3388,-0.0842,0.1119,-0.1404,-0.0829,0.0645,1.1087,0.1736,0.1812,1.5397,0.0839,2.7132,1.323,-0.017,-0.0085,0.6126,2.3772,2.722,0.0308,0.3613,-0.0422,2.0566,0.0873,-0.0294,0.2038,0.1474,-0.0425,-0.1646,-0.033,0.0705,1.418,0.3259,0.1424,1.2704,-0.1014,1.1062,1.0656,1.197,-0.0051,0.2281,-0.0769,0.1831,1.9573,-0.0515,0.0413,0.3172,-0.0501,-0.1228,0.3264,-0.0796,2.16,0.0673,0.1117,1.216,0.3432,0.176,-0.0248,-0.0801,0.3413,0.1423,0.5337,0.6094,0.3227,-0.0924,-0.0321,-0.0175,-0.063,0.2617,-0.0677,0.1396,-0.0383,-0.0787,-0.0481,-0.1257,0.2106,0.0498,Control
Utah__A05,-0.1368,-0.1167,0.53,0.0443,0.1263,-0.07,1.3288,-0.1079,0.0228,-0.0794,-0.0227,0.0647,0.9234,0.1386,0.1694,2.1079,0.0297,2.5696,1.6547,0.0343,-0.0203,0.8229,2.205,2.9516,0.0139,0.5367,-0.0202,1.8699,0.0908,-0.041,0.2249,0.1117,-0.008,-0.147,-0.0671,0.0033,1.7778,0.4287,0.0516,1.3214,-0.0981,1.2425,1.2047,1.4345,-0.0126,0.2162,-0.1292,0.1716,2.0522,-0.0574,0.1064,0.2929,-0.0474,-0.1293,0.6438,0.0368,2.5111,0.0423,0.0054,1.2712,0.365,0.0695,-0.0212,-0.0409,0.5343,0.1174,0.6424,0.6532,0.3798,-0.0865,-0.0051,-0.0313,-0.0788,0.2586,-0.0783,0.115,0.0017,-0.0523,-0.0179,-0.1184,0.1637,0.1171,Control
Utah__A06,-0.1241,-0.0802,0.3291,-0.0945,-0.004,-0.1281,1.1739,-0.1165,0.0647,-0.0957,-0.0934,-0.0902,1.1302,0.0491,0.1296,1.6891,-0.0304,2.2539,1.4798,-0.0294,0.0912,0.6964,2.008,2.5793,-0.0496,0.361,-0.0741,1.5703,-0.0251,-0.0481,0.0905,0.1014,-0.0609,-0.2278,1e-04,0.0889,1.6649,0.3681,0.0896,1.2028,-0.1108,1.0399,1.0346,1.3816,0.0221,0.1325,-0.1466,-0.0062,1.849,-0.0658,0.0205,0.3449,-0.0637,-0.1286,0.4011,-0.0189,2.0528,0.0753,0.0395,1.1909,0.4132,0.1286,-0.186,-0.0342,0.2876,0.1532,0.6099,0.57,0.3093,-0.1004,-0.0178,-0.0275,-0.0738,0.1053,-0.1211,0.0708,0.0194,-0.0733,-0.0143,-0.1674,0.0999,0.044,Control
Utah__A07,-0.134,-0.1459,0.3756,-0.0409,0.1133,-0.1397,1.1235,-0.1272,0.0215,-0.0936,-0.063,0.2398,1.1863,0.1003,0.1898,1.3185,-0.0033,2.7415,1.481,-0.057,0.0316,0.7783,2.4902,2.3097,-0.0695,0.362,-0.0167,1.8871,0.0629,-0.0314,0.1921,0.0929,-0.0656,-0.1939,-0.0715,0.0898,1.6698,0.5911,0.1877,1.3566,-0.0574,1.2614,1.0969,1.3542,0.0487,0.1078,-0.222,0.0674,1.8057,-0.0593,-0.0478,0.4039,-0.0175,-0.1146,1.173,-0.1451,2.0773,0.0633,-0.043,1.1428,0.4675,0.1709,-0.0964,0.043,0.3922,0.1818,0.7273,0.5471,0.374,-0.1378,-0.0384,-0.0165,-0.0798,0.179,-0.116,0.0126,0.0052,-0.1682,0.0329,-0.1543,0.1718,0.0565,Control
Utah__A08,-0.1557,-0.161,0.2695,0.0144,-0.1412,-0.1235,0.9367,-0.0995,0.029,-0.0759,-0.0671,0.1354,1.6648,0.0515,0.1121,0.6522,0.0337,3.0939,1.3509,-0.0065,-0.0205,0.7522,2.3245,1.4367,-0.0085,0.2363,-0.0876,1.6837,0.0558,-0.0499,0.0637,0.0833,-0.0557,-0.1536,-0.0384,0.1182,1.6462,0.5935,0.1577,1.4406,-0.1312,0.9565,1.1546,1.1326,-0.0019,0.0993,-0.1764,0.0381,1.5955,-0.0984,-0.0226,0.3385,-0.0887,-0.1472,1.2146,-0.1069,1.7626,0.0473,0.0996,0.8676,0.2445,0.19,-0.1655,-0.0739,0.466,0.0487,0.7703,0.6564,0.7594,-0.0779,0.0101,-0.0834,-0.1292,0.1668,-0.0911,0.0953,0.0489,-0.1323,0.0026,-0.1218,0.0992,0.012,Control
Utah__A09,-0.0783,-0.0989,0.3212,0.0235,0.1348,-0.1174,1.1499,-0.0991,-0.0926,-0.0923,-0.0981,0.1209,1.3439,0.0454,0.2051,1.489,0.0438,2.8372,1.3169,0.0147,-0.0072,0.622,2.6012,2.6555,-0.0281,0.397,-0.0393,1.9831,0.0406,-0.0497,0.1991,0.0458,-0.0904,-0.1738,-0.0611,0.073,1.6413,0.4881,0.2012,1.2888,-0.0639,1.0518,0.9803,1.2257,0.0357,0.1054,-0.1711,-0.0119,1.7708,-0.0571,-0.037,0.2621,-0.0604,-0.1071,1.0269,-0.0943,2.061,0.0666,0.0242,1.0416,0.3484,0.2079,-0.0862,0.0016,0.4098,-0.0496,0.6174,0.5764,0.3865,-0.093,-0.0496,0.0159,-0.1062,0.1524,-0.1086,0.1382,-0.0227,-0.108,0.021,-0.1527,0.1206,0.0546,Control
Utah__A10,-0.1367,-0.1238,0.3419,0.0157,0.0294,-0.0921,1.207,-0.0851,0.0526,-0.0542,-0.0628,-0.076,0.9891,0.1402,0.2798,1.768,0.034,2.9398,1.4915,-0.0043,-0.0325,0.7986,2.7505,2.8242,-0.02,0.4358,-0.0279,1.949,0.0123,-0.0468,0.0935,0.0916,-0.068,-0.1327,-0.0445,0.004,1.6626,0.5295,0.1245,1.456,-0.1561,1.1366,1.2655,1.2199,0.0081,0.2039,-0.1663,0.1158,1.8249,-0.0647,0.0146,0.5892,0.0042,-0.1021,1.1089,-0.013,2.1105,0.0925,0.0419,1.1141,0.4505,0.1799,-0.0809,-0.0526,0.5168,0.1009,0.7447,0.6605,0.3842,-0.096,-0.0091,-0.0699,-0.0891,0.3116,-0.0843,0.1364,0.0145,-0.1123,0.0013,-0.1229,0.2677,0.0644,Control
