@relation data

@attribute id string
@attribute 107 numeric
@attribute 109 numeric
@attribute 114 numeric
@attribute 1385 numeric
@attribute 1742 numeric
@attribute 27330 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 3265 numeric
@attribute 4747 numeric
@attribute 5170 numeric
@attribute 5567 numeric
@attribute 5594 numeric
@attribute 5894 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 84254 numeric
@attribute 88 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0192,0.3841,-0.1513,1.8416,0.3915,-0.079,-0.0962,-0.1511,-0.1052,-0.1056,-0.0859,-0.1633,-0.1108,-0.1634,0.4247,0.5656,0.7691,1.1308,1.7309,1.7847,-0.0662,0.7063,0.9065,0.1026,1.8816,2.3173,1.1595,2.0808,1.3522,0.0866,0.0146,0.8699,0.6253,0.2201,-0.0417,Control
Utah__A02,0.0821,0.2867,-0.1765,1.5349,0.2389,-0.0784,-0.0841,-0.0765,-0.1305,-0.1277,-0.145,-0.1543,-0.1299,-0.0956,0.3701,0.3904,0.6471,0.9731,1.6299,1.5429,-0.1058,0.2933,0.9246,0.1045,1.6266,2.331,0.9813,2.1764,0.6933,0.2548,0.1389,0.6234,0.4398,0.1234,-0.0217,Control
Utah__A03,0.0731,0.3348,-0.1891,1.7089,0.4019,-0.1442,-0.0862,-0.0819,-0.1426,-0.1317,-0.1039,-0.1832,-0.069,-0.0885,0.3745,0.1442,0.777,0.9868,1.8758,1.7349,-0.0954,0.1586,1.0222,0.1148,1.8238,2.5215,1.2374,2.1323,0.7663,0.2066,0.1141,0.7986,0.5013,0.2719,-0.0262,Control
Utah__A04,0.0545,0.3642,-0.1467,1.6942,0.3167,-0.1044,-0.0994,-0.04,-0.0878,-0.0382,-0.1311,-0.1303,-0.0465,0.0365,0.3589,0.767,0.7264,1.1682,1.7145,1.6725,-0.0558,0.4507,1.0052,0.112,1.7883,2.6061,1.0291,2.2841,1.0155,0.1188,0.1004,0.6924,0.4688,0.1869,-0.0176,Control
Utah__A05,0.0309,0.3725,-0.1501,1.7835,0.4794,-0.0466,-0.081,-0.0889,-0.0899,-0.0388,-0.0886,-0.1205,-0.0569,0.0478,0.4809,0.473,0.8704,1.0421,1.9408,1.808,-0.0807,0.3031,1.1126,0.1047,1.7933,2.2755,0.994,2.3856,0.8251,0.1783,0.0961,0.7731,0.5309,0.2715,-0.0468,Control
Utah__A06,0.0369,0.2447,-0.2133,1.6261,0.322,-0.0888,-0.0731,-0.0765,-0.1053,-0.1525,-0.0784,-0.1435,-0.179,-0.1929,0.2391,0.0845,0.7642,0.8643,1.8446,1.7489,-0.1056,0.3986,0.9801,0.1159,1.6432,2.2293,1.154,2.1384,0.8016,0.2193,0.0668,0.5826,0.4753,0.2823,-0.0135,Control
Utah__A07,0.0671,0.3432,-0.1774,1.8447,0.3883,-0.1131,-0.0667,-0.072,-0.1486,-0.0926,-0.1392,-0.1642,-0.104,-0.1209,0.3621,0.3903,0.7972,1.1382,1.882,1.7704,-0.0814,0.5278,0.9852,0.1706,1.9955,2.2849,1.4581,2.178,1.264,0.2253,0.1203,0.9004,0.5806,0.1605,-0.0435,Control
Utah__A08,0.0084,0.2198,-0.1798,1.9244,0.2333,-0.0893,-0.1273,-0.1384,-0.1427,-0.1079,-0.1323,-0.1544,-0.1041,-0.2233,0.2915,0.361,0.8157,1.1867,1.9122,1.7386,-0.0812,0.8429,0.8456,0.1698,1.9428,2.199,1.2592,1.9223,1.7568,0.1563,0.0455,1.2546,0.5916,0.2426,-0.0501,Control
Utah__A09,0.0396,0.3145,-0.1879,1.7073,0.2885,-0.0849,-0.0632,-0.0576,-0.111,-0.1162,-0.1105,-0.16,-0.1135,-0.1044,0.3464,0.6178,0.8094,1.096,1.8315,1.6393,-0.0684,0.539,0.827,0.1382,1.9167,2.2287,0.9544,2.3056,1.2499,0.2061,0.1087,0.8152,0.5451,0.2391,-0.0362,Control
Utah__A10,-0.0054,0.2785,-0.149,1.9621,0.3303,-0.0519,-0.0954,-0.0799,-0.0971,-0.0598,-0.1253,-0.1136,-0.1116,-0.0326,0.3978,0.4512,0.8424,1.2565,1.9225,1.7838,-0.0778,0.4228,0.9676,0.0611,1.7865,2.2654,1.2719,2.2472,1.1602,0.0703,0.0281,1.1071,0.5944,0.2483,-0.0463,Control
