@relation data

@attribute id string
@attribute 506 numeric
@attribute 509 numeric
@attribute 9551 numeric
@attribute 498 numeric
@attribute 513 numeric
@attribute 522 numeric
@attribute 521 numeric
@attribute 10476 numeric
@attribute 10632 numeric
@attribute 539 numeric
@attribute 516 numeric
@attribute 515 numeric
@attribute 514 numeric
@attribute Class {Control,BRCACancer}

@data
A01,2.1331,1.3568,0.6334,1.678,0.8213,0.792,1.1195,0.5104,1.1693,0.7039,0.4445,1.0145,0.6532,Control
A02,2.1782,1.1089,0.5555,1.6666,0.6469,0.6318,0.9441,0.1543,1.0395,0.54,0.247,0.7365,0.4658,Control
A03,2.3327,1.2007,0.687,1.6712,0.8277,0.7153,1.1395,0.2049,1.3012,0.7339,0.3748,0.9164,0.8299,Control
A04,2.4665,0.9852,0.5391,1.6238,0.8152,0.6407,1.1368,0.2017,0.9768,0.5155,0.2073,0.8512,0.5294,Control
A05,2.3474,1.0816,0.6213,1.7126,0.9205,0.9079,1.1765,0.3356,1.1054,0.6727,0.3079,0.921,0.7552,Control
A06,2.3056,1.1781,0.6712,1.6203,0.7609,0.6935,1.0234,0.4507,1.1131,0.6216,0.3147,0.8155,0.4895,Control
A07,2.1916,1.276,0.7693,1.7984,0.7953,0.7668,0.9926,0.3843,1.1108,0.618,0.3895,0.9494,0.4523,Control
A08,1.8587,1.2429,0.5713,1.5834,0.6603,0.6488,0.9789,0.3255,1.079,0.6808,0.3613,0.8938,0.3146,Control
A09,2.2104,1.185,0.5243,1.6414,0.7693,0.7633,0.8789,0.3011,1.0756,0.634,0.2682,0.7364,0.346,Control
A10,2.2402,1.2335,0.5805,1.6411,0.8215,0.7447,1.0553,0.3207,1.0623,0.7269,0.2793,0.8091,0.3278,Control
A11,2.118,1.123,0.302,1.6219,0.7186,0.6128,0.6894,0.2635,0.9409,0.6326,0.2957,0.6563,0.2822,Control
A12,1.8288,0.7368,0.4409,1.312,0.3832,0.6468,0.9192,0.0379,0.7061,0.4596,0.1803,0.4356,0.0397,Control
