@relation data

@attribute id string
@attribute 1601 numeric
@attribute 2697 numeric
@attribute 1211 numeric
@attribute 1212 numeric
@attribute 1213 numeric
@attribute 4646 numeric
@attribute 1785 numeric
@attribute 1759 numeric
@attribute 8218 numeric
@attribute 1173 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.5893,-0.1335,0.9448,0.9195,1.9669,0.1664,1.0152,0.06,0.1069,1.4197,Control
A02,0.5641,-0.0972,0.802,0.9615,1.9209,0.3726,0.8626,0.0046,0.0346,1.4253,Control
A03,0.4743,-0.0192,1.0299,1.1097,2.0945,0.383,1.0364,0.1068,0.0187,1.4715,Control
A04,0.5144,0.0065,0.7059,1.0773,1.8087,0.2461,0.908,0.0885,-0.0299,1.5759,Control
A05,0.7594,-0.0331,0.9876,1.1536,2.0745,0.1616,1.0371,0.1451,0.1578,1.677,Control
A06,0.4906,-0.0515,0.9732,0.9335,1.9669,0.1026,0.9383,0.0466,0.1556,1.4828,Control
A07,0.6317,-0.0353,1.2808,0.999,2.1148,0.1715,0.9993,-0.02,0.0512,1.5403,Control
A08,0.5353,-0.0823,1.0975,0.8547,2.0249,0.2318,1.0323,-0.0293,0.0187,1.337,Control
A09,0.5141,-0.0141,1.1982,0.9546,2.0337,0.1398,0.9636,0.0622,0.027,1.4405,Control
A10,0.5949,-0.1103,1.223,1.0311,2.1067,0.5744,0.9809,0.0876,0.1505,1.5258,Control
A11,0.2944,-0.2329,1.0455,0.7904,1.9482,0.4032,0.8289,-0.0121,0.0164,1.2025,Control
A12,0.5138,-0.164,0.5815,0.7931,1.3152,0.2283,0.5783,-0.0045,-0.0827,1.4352,Control
B01,0.4529,-0.2695,1.1125,0.8376,1.7508,0.0257,0.8325,-0.1627,-1e-04,1.2487,Control
B02,0.5041,-0.0688,1.0493,1.1079,1.8539,0.334,0.9871,0.0408,0.0607,1.6282,Control
B03,0.3105,-0.1156,1.0877,0.853,1.8632,0.3349,0.9388,-0.0585,0.0739,1.4103,BRCACancer
B04,0.6564,-0.1176,1.1026,0.8423,1.8285,0.5129,1.0543,-0.0088,-0.0138,1.2639,BRCACancer
B05,0.5152,-0.0063,0.9147,0.9284,1.8285,0.2632,0.9398,-0.0768,-0.1296,1.4382,BRCACancer
B06,0.3761,-0.2534,0.9759,0.5182,1.4849,0.2329,0.7167,-0.2293,-0.0516,1.0996,BRCACancer
B07,0.4801,-0.1487,0.9958,0.9993,2.0164,0.6053,1.1079,0.0469,0.1458,1.5414,BRCACancer
B08,0.6362,-0.1109,0.9739,0.8519,1.9742,0.0982,0.9136,0.1593,0.1139,1.4769,Control
B09,0.619,-0.0781,1.0324,0.733,1.6578,0.2221,1.048,0.0172,-0.0604,1.0239,Control
B10,0.4667,-0.0629,0.9602,0.8265,1.713,0.2553,0.8029,0.0048,-0.0557,1.2688,Control
B11,0.5649,0.0208,0.9697,1.0414,1.921,0.1273,0.821,0.0842,0.0302,1.6355,Control
B12,0.2954,-0.0857,0.7945,0.6374,1.2218,0.1104,0.7963,-0.024,-0.0766,0.7413,Control
C01,0.6189,-0.0495,1.1222,1.1262,2.03,0.2167,1.1723,0.0187,0.1397,1.5085,BRCACancer
C02,0.6758,0.0649,0.8901,1.0462,1.7602,0.2379,0.9692,0.0779,0.0508,1.568,BRCACancer
C03,0.4941,-0.0299,1.0899,1.1965,1.8988,0.5265,1.2029,0.1023,0.0717,1.5693,BRCACancer
C04,0.3829,-0.0593,0.6186,0.7896,1.5147,0.071,0.7561,0.1146,-0.0144,1.1538,Control
C05,0.3536,-0.0779,0.6253,0.8277,1.6214,0.0982,0.7316,-0.0016,-0.0108,1.1847,BRCACancer
C06,0.1067,-0.0505,0.4475,0.3482,0.5638,-0.1405,0.3999,-0.0466,-0.1193,0.339,Control
C07,0.4419,-0.0424,0.6797,0.9359,1.7352,0.3286,0.7852,0.0496,-0.002,1.3345,Control
C08,0.6205,-0.1452,0.8232,0.9698,1.804,0.1932,0.9127,0.024,-0.04,1.3618,Control
C09,0.5277,-0.2432,0.7123,0.9807,1.606,0.1297,0.7991,0.0388,-0.0104,1.3655,Control
C10,0.5695,0.0363,0.66,1.0694,1.5657,0.0563,0.7768,0.0314,-0.0671,1.6411,BRCACancer
C11,0.6242,0.1095,0.9906,1.0655,1.8548,0.1598,1.0543,0.0903,0.0236,1.3945,Control
