@relation data

@attribute id string
@attribute 805 numeric
@attribute 5257 numeric
@attribute 5256 numeric
@attribute 5255 numeric
@attribute 801 numeric
@attribute 178 numeric
@attribute 55276 numeric
@attribute 5260 numeric
@attribute 5834 numeric
@attribute 5837 numeric
@attribute 5836 numeric
@attribute 2992 numeric
@attribute 5236 numeric
@attribute 808 numeric
@attribute 8908 numeric
@attribute 5261 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.1595,1.4916,0.7802,-0.1068,2.3173,1.1797,1.5579,0.0298,0.9188,0.3022,1.4412,0.8768,0.4521,2.0808,-0.2117,0.5286,Control
A02,0.9813,1.2568,0.5763,-0.1826,2.331,0.851,1.5161,0.0509,0.7715,0.1399,1.4179,0.8849,0.3841,2.1764,-0.181,0.3646,Control
A03,1.2374,1.4834,0.7304,-0.1586,2.5215,0.9153,1.5774,0.1332,0.8679,0.1234,1.5151,1.0032,0.527,2.1323,-0.1796,0.5144,Control
A04,1.0291,1.2902,0.5892,-0.0889,2.6061,0.9868,1.5256,0.1338,0.8859,0.1051,1.2964,0.9069,0.4171,2.2841,-0.1109,0.4072,Control
A05,0.994,1.6027,0.7596,-0.1265,2.2755,1.025,1.7357,-0.0164,1.1806,0.1385,1.7523,0.9531,0.5451,2.3856,-0.1394,0.6385,Control
A06,1.154,1.4205,0.7218,-0.1538,2.2293,0.9095,1.5319,0.1007,0.9067,0.0786,1.6228,0.952,0.459,2.1384,-0.2393,0.4333,Control
A07,1.4581,1.5991,0.7218,-0.1604,2.2849,0.9895,1.6913,0.1127,0.8979,0.2063,1.5252,1.0531,0.4877,2.178,-0.193,0.4867,Control
A08,1.2592,1.6242,0.7667,-0.1414,2.199,1.1454,1.3056,0.024,0.7388,0.1952,1.1233,0.9084,0.5337,1.9223,-0.1671,0.3306,Control
A09,0.9544,1.6305,0.6986,-0.1168,2.2287,0.9226,1.2965,0.0678,0.9483,0.174,1.4085,0.8943,0.4402,2.3056,-0.1646,0.4145,Control
A10,1.2719,1.6996,0.7564,-0.1081,2.2654,1.0855,1.6694,0.0302,0.9871,0.1454,1.6545,1.2277,0.5985,2.2472,-0.1513,0.5194,Control
A11,0.7597,1.4155,0.6175,-0.1342,2.2432,0.7284,1.1759,-0.043,0.8208,0.0832,1.3409,0.9056,0.2925,2.1929,-0.2072,0.4312,Control
A12,0.6016,0.9735,0.3371,-0.1938,1.7425,0.5997,1.0386,0.1101,0.5263,0.0818,1.0478,0.7787,0.4684,1.9669,-0.2031,0.1495,Control
B01,1.5624,1.2631,0.6679,-0.1436,2.4417,0.9039,1.2756,-0.1501,0.5864,0.1786,1.1,0.9342,0.4445,1.8282,-0.1902,0.2545,Control
B02,1.4678,1.2766,0.7211,-0.1505,2.7387,0.9367,1.6225,0.027,0.8542,0.1904,1.3462,1.0698,0.5199,2.1911,-0.1385,0.5867,Control
B03,1.5039,1.1784,0.6894,-0.1499,2.6709,0.9203,1.5722,-0.0072,0.6693,0.189,1.2286,1.0517,0.4759,2.044,-0.0895,0.3926,BRCACancer
B04,1.4742,1.528,0.6408,-0.1736,2.1272,0.9039,1.2164,-0.0384,0.6979,0.1594,0.9472,0.9694,0.5181,1.8986,-0.1713,0.3185,BRCACancer
B05,1.2093,1.1337,0.5181,-0.2235,2.5476,0.6895,1.1304,0.1067,0.6671,0.0517,0.7465,0.8964,0.4129,2.0601,-0.233,0.3206,BRCACancer
B06,1.2963,1.0044,0.4435,-0.1405,2.1606,0.6697,1.0654,-0.0604,0.3206,-0.1032,1.1907,0.8528,0.2956,1.547,-0.1184,0.107,BRCACancer
B07,1.3503,1.3051,0.747,-0.1642,2.7136,1.0691,1.6352,0.0706,0.809,0.2358,1.4027,1.1391,0.5343,2.1078,-0.1706,0.6323,BRCACancer
B08,1.1764,1.5017,0.644,-0.114,2.4386,0.8147,1.4704,-0.0135,1.0281,0.1226,1.6516,0.8887,0.4083,2.4655,-0.157,0.5413,Control
B09,1.1587,1.5135,0.5937,-0.1737,2.5275,0.6823,0.8986,0.0342,0.7265,0.2098,0.9655,0.6964,0.4465,2.1265,-0.1977,0.2358,Control
B10,1.1797,1.2224,0.4766,-0.1696,2.1629,0.7632,1.0925,-0.0317,0.6507,0.0818,0.8248,0.8099,0.3679,2.0692,-0.1446,0.2441,Control
B11,1.0879,1.3609,0.59,-0.1478,2.0921,0.7917,1.3528,0.0585,0.8193,0.0565,1.4665,0.8181,0.4354,2.2936,-0.137,0.3516,Control
B12,1.085,0.9535,0.4722,-0.0932,2.0707,0.4405,0.6371,-0.0414,0.4163,0.2179,0.7762,0.5448,0.219,1.8559,-0.2166,0.17,Control
C01,1.3344,1.4602,0.7538,-0.2301,2.2681,0.7917,1.5253,0.0901,0.8898,0.2511,1.4978,1.0344,0.4583,2.1066,-0.2029,0.6351,BRCACancer
C02,0.8973,1.2556,0.6554,-0.1501,2.3119,0.9476,1.4337,0.1355,0.9475,0.1753,1.3972,0.8656,0.4649,2.326,-0.15,0.6857,BRCACancer
C03,1.2008,1.2519,0.8017,-0.1668,2.6196,1.0039,1.4259,0.1534,1.0105,0.3325,1.3604,1.0234,0.5463,2.2604,-0.2046,0.7556,BRCACancer
C04,0.6558,1.0751,0.4204,-0.1446,2.2006,0.3559,0.8439,0.1454,0.8314,0.1039,1.291,0.6061,0.1889,2.7061,-0.142,0.425,Control
C05,0.7238,0.7905,0.4542,-0.1229,1.9028,0.4719,1.1427,0.0482,0.7716,0.1029,1.0879,0.7283,0.3036,2.268,-0.0979,0.3767,BRCACancer
C06,0.2412,0.243,0.1774,-0.165,0.8072,0.1196,0.0921,-0.1852,0.1315,0.1802,0.1591,0.2137,0.0896,1.2797,-0.1203,0.0158,Control
C07,0.4905,1.0768,0.4282,-0.1816,2.1872,0.6004,1.2115,0.0807,0.8893,0.0662,1.1201,0.7604,0.3946,2.3526,-0.1965,0.3831,Control
C08,0.6443,1.266,0.6205,-0.1387,2.1154,0.8053,1.2768,0.033,0.8769,0.2289,1.2987,0.8007,0.4102,2.1934,-0.1231,0.4276,Control
C09,0.6773,0.8978,0.4673,-0.0921,2.1194,0.7218,1.2204,-0.0494,0.9485,0.1224,1.0877,0.6963,0.3656,2.34,-0.1302,0.3844,Control
C10,0.749,0.9203,0.4565,-0.1214,2.0484,0.7214,1.3775,0.1724,0.6652,0.1,1.2007,0.7951,0.4338,2.5271,-0.0957,0.3626,BRCACancer
C11,0.814,1.2885,0.6234,-0.1103,2.5202,0.7681,1.2412,0.0311,0.9676,0.2981,1.3463,0.6893,0.4676,2.48,-0.1502,0.4901,Control
C12,0.4871,0.935,0.3759,-0.0914,2.088,0.4569,0.7379,0.0071,0.8753,0.1157,0.8907,0.3951,0.26,2.7461,-0.0875,0.3121,BRCACancer
D01,1.2673,1.3258,0.733,-0.1269,2.1724,0.6445,0.9423,-0.0036,0.5519,0.2678,1.213,0.6847,0.3071,1.8206,-0.126,0.3636,BRCACancer
D02,0.713,1.2999,0.5031,-0.0781,2.2717,0.712,1.0668,0.0239,0.8756,0.1485,1.2157,0.6663,0.3531,2.6239,-0.0525,0.3581,BRCACancer
D03,0.7323,1.1773,0.4804,-0.1374,2.2836,0.5802,1.0504,0.0634,0.971,0.1481,1.4029,0.6445,0.344,2.7264,-0.1747,0.3526,BRCACancer
D04,0.9005,1.2441,0.5969,-0.0736,2.2062,0.5944,1.3415,-0.0765,0.9594,0.1059,1.4132,0.765,0.4088,2.435,-0.1071,0.3995,BRCACancer
D05,0.9038,1.3069,0.5703,-0.133,2.2459,0.6348,1.382,0.075,0.9943,0.1205,1.5266,0.8692,0.4697,2.4276,-0.1663,0.4781,BRCACancer
