@relation data

@attribute id string
@attribute 3265 numeric
@attribute 7529 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 5604 numeric
@attribute 3845 numeric
@attribute 8660 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4247,2.4348,0.4255,1.7847,0.718,1.5983,0.4781,2.847,1.6544,0.254,1.0783,1.1294,1.7309,Control
A02,0.3701,2.3385,0.2945,1.5429,0.4692,1.3547,0.2271,3.0554,1.493,0.2228,1.0214,0.9018,1.6299,Control
A03,0.3745,2.5751,0.494,1.7349,0.6904,1.6547,0.3895,3.1476,1.7906,0.1815,1.0584,1.1313,1.8758,Control
A04,0.3589,2.4407,0.4226,1.6725,0.4999,1.1941,0.4794,3.093,1.4914,0.1153,1.0435,1.0307,1.7145,Control
A05,0.4809,2.4214,0.4974,1.808,0.7099,1.41,0.644,3.3716,1.8851,0.2302,1.1978,1.0492,1.9408,Control
A06,0.2391,2.4879,0.3508,1.7489,0.6673,1.4342,0.726,2.9291,1.5864,0.1823,0.9874,0.8863,1.8446,Control
A07,0.3621,2.4863,0.4043,1.7704,0.8479,1.7087,0.5981,2.9633,1.89,0.1599,0.9702,1.1809,1.882,Control
A08,0.2915,2.3514,0.3356,1.7386,0.8635,1.6234,0.4333,2.7421,1.7425,0.0951,0.9939,1.4746,1.9122,Control
A09,0.3464,2.6039,0.3503,1.6393,0.7596,1.5566,0.5301,2.9428,1.8554,0.1435,0.99,1.0011,1.8315,Control
A10,0.3978,2.4635,0.4701,1.7838,0.7992,1.4421,0.6594,3.0526,1.8284,0.155,0.9237,1.3376,1.9225,Control
A11,0.2849,2.4022,0.421,1.2871,0.5921,1.415,0.5538,2.524,1.5674,0.1501,0.9765,0.7411,1.8048,Control
A12,0.1934,1.7834,0.184,1.1725,0.3092,0.869,0.2125,2.6251,1.1338,0.1526,0.6537,0.5264,1.2884,Control
B01,0.1464,2.4564,0.1378,1.6457,0.6422,1.5378,0.2877,2.6035,1.513,0.1695,0.7649,0.9155,1.5393,Control
B02,0.3374,2.6982,0.4073,1.8628,0.6051,1.5353,0.5391,3.2009,1.6209,0.0848,1.0793,0.8818,1.7139,Control
B03,0.2578,2.6786,0.3033,1.7257,0.6391,1.6324,0.4452,2.9618,1.5833,0.0753,0.9322,0.9292,1.7231,BRCACancer
B04,0.1672,2.053,0.3598,1.725,0.7937,1.3972,0.3533,2.4663,1.6575,0.237,0.7103,1.4407,1.892,BRCACancer
B05,0.23,2.5809,0.3612,1.4207,0.4861,1.274,0.5362,2.3855,1.5074,0.1117,0.8091,0.7814,1.7712,BRCACancer
B06,-0.0263,2.1886,-0.0139,1.4508,0.5274,1.0432,0.0148,2.1283,1.1253,0.1387,0.5053,0.7812,1.2783,BRCACancer
B07,0.3789,2.5831,0.486,1.951,0.6798,1.5847,0.3436,2.9543,1.6451,0.1864,1.0321,1.1794,1.792,BRCACancer
B08,0.3671,2.5998,0.444,1.5728,0.667,1.4566,0.4616,3.0594,1.6528,0.1724,1.0572,0.7595,1.6981,Control
B09,0.2529,2.1615,0.3163,1.5204,0.7209,1.1871,0.4013,2.2033,1.6703,0.1595,0.6103,1.2234,1.8255,Control
B10,0.2365,2.0657,0.1761,1.466,0.6102,1.2219,0.3729,2.7107,1.5222,0.0836,0.6316,1.057,1.7394,Control
B11,0.4132,2.3984,0.3957,1.3773,0.5357,1.3353,0.4412,2.7007,1.7628,0.2195,0.9134,0.9509,1.6375,Control
B12,0.2142,1.8274,0.2992,1.2915,0.613,0.9353,0.3179,1.1689,1.3374,0.1607,0.4982,1.0116,1.4211,Control
C01,0.4401,2.4782,0.5529,1.7093,0.7845,1.5,0.4838,2.7689,1.8228,0.2353,1.0379,1.0359,1.903,BRCACancer
C02,0.5316,2.3894,0.5078,1.7086,0.5194,1.2035,0.4106,3.0103,1.5148,0.271,1.072,0.9083,1.6208,BRCACancer
C03,0.5973,2.4479,0.6919,1.8787,0.6452,1.3543,0.51,2.8765,1.5281,0.2068,1.1353,1.1329,1.816,BRCACancer
C04,0.409,2.157,0.3579,1.0573,0.4421,0.862,0.5045,1.8067,1.2653,0.1286,0.963,0.4567,1.4351,Control
C05,0.2915,2.1878,0.2775,1.2742,0.3541,0.8806,0.4153,2.1495,1.157,0.0683,0.8555,0.4931,1.4746,BRCACancer
C06,0.1733,0.7662,0.1565,0.3849,0.1726,0.3181,0.0157,0.5165,0.5373,0.1675,0.3,0.0625,0.6234,Control
C07,0.3587,2.2772,0.291,1.4035,0.354,1.0205,0.3809,2.6705,1.2729,0.1282,0.7808,0.6257,1.5948,Control
C08,0.4274,2.3396,0.3765,1.4509,0.4706,1.2848,0.3625,2.94,1.422,0.2303,0.9573,0.8111,1.5956,Control
C09,0.3039,2.2225,0.3748,1.3951,0.4155,0.9616,0.3215,2.8642,1.2543,0.1827,0.8657,0.6941,1.4942,Control
C10,0.3144,2.2034,0.3093,1.5473,0.3739,1.0131,0.4731,2.9712,1.2466,0.1483,0.8389,0.7272,1.5345,BRCACancer
C11,0.5154,2.3297,0.4616,1.5501,0.5591,1.346,0.4806,3.118,1.5471,0.1599,1.0236,0.8182,1.6696,Control
C12,0.3067,1.8426,0.3217,0.951,0.2591,0.842,0.2604,2.3528,1.142,0.1517,0.8239,0.4133,1.3945,BRCACancer
D01,0.3705,2.1472,0.3833,1.628,0.8608,1.0924,0.3113,2.0213,1.5919,0.1619,0.7443,1.1326,1.6488,BRCACancer
D02,0.4595,2.2367,0.408,1.3323,0.4283,1.0392,0.4788,3.0284,1.405,0.194,0.9003,0.7378,1.6835,BRCACancer
D03,0.3398,2.44,0.3551,1.3704,0.4051,0.9939,0.3293,2.5073,1.4209,0.1362,0.8992,0.5983,1.6203,BRCACancer
D04,0.4751,2.4617,0.3882,1.3615,0.5809,1.0957,0.4673,2.9967,1.6436,0.1789,0.9744,0.832,1.6468,BRCACancer
D05,0.3408,2.3371,0.3742,1.6094,0.4972,1.1538,0.5367,3.2833,1.5329,0.1835,0.8024,0.7056,1.6712,BRCACancer
D06,0.5254,2.4228,0.4335,1.6458,0.6032,1.2325,0.4719,3.1241,1.5268,0.251,1.0468,0.8872,1.6859,BRCACancer
D07,0.4486,2.4065,0.4509,1.6109,0.5068,1.0634,0.4761,2.9513,1.4392,0.2247,0.9191,0.8114,1.6863,Control
D08,0.3274,2.1503,0.3464,1.2191,0.3761,1.118,0.2938,2.5412,1.2707,0.1223,0.7999,0.548,1.507,Control
D09,0.4255,2.1612,0.4112,1.51,0.4795,1.1808,0.2762,3.0452,1.436,0.2033,1.0233,0.7366,1.5424,Control
D10,0.399,2.2712,0.3425,1.2569,0.4352,1.0884,0.3871,2.6488,1.5974,0.2094,0.8307,0.6156,1.6398,Control
D11,0.2093,1.4967,0.1403,0.6585,0.4496,0.6976,0.03,1.5629,0.8122,0.2083,0.3696,0.2578,0.9269,Control
D12,0.3495,2.2828,0.3542,1.0621,0.4131,1.0578,0.3835,2.7418,1.4241,0.0757,0.9396,0.4705,1.4606,Control
