@relation data

@attribute id string
@attribute 22974 numeric
@attribute 3837 numeric
@attribute 4926 numeric
@attribute 56992 numeric
@attribute 5901 numeric
@attribute 5905 numeric
@attribute 6790 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.2508982817,2.3536647187,0.2469235983,0.2609318150,3.3409077062,0.2663919034,2.3390612877,BRCA
GSM480985,0.2561781472,2.1634807624,0.3514763170,-0.1371058170,2.8404286438,0.0894873324,1.0868779604,BRCA
GSM480986,1.0790976917,2.3916749247,0.2916952178,0.0360186071,3.3059428532,0.2266702914,2.2035584816,BRCA
GSM480987,0.7044918114,2.6441825219,0.2119094323,-0.0153703384,3.7002783086,0.1429179571,1.9012766987,BRCA
GSM480988,1.1243700486,2.2289448325,0.2475287636,0.1222173237,3.2048869663,0.1148193197,2.5191878092,BRCA
GSM480989,1.0458318028,2.0772467871,0.2991239973,-0.1773644119,2.8934994141,0.4082691085,2.0389452531,BRCA
GSM480990,0.8832265272,2.1777327023,0.2585018284,-0.0779187884,3.2827595340,0.3580428582,2.3325213835,Control
GSM480991,0.3675353626,1.8644463290,0.3081528060,-0.1958697837,3.2374715274,0.2967241008,1.4037622031,Control
GSM480992,0.9702735743,1.9721125551,0.3710603786,-0.1381068371,2.9594998624,0.3714684534,1.8732539508,Control
GSM480993,1.2125623359,2.1503201872,0.2813471717,-0.0266084322,3.2373407947,0.2933489696,2.3205154125,Control
GSM480994,1.1102480092,1.7486894912,0.3129381128,-0.0616886626,3.1412946382,0.2687060780,2.3464273948,Control
GSM480995,0.3676618324,2.0190488547,0.2418721769,-0.1787653376,3.4172865020,0.3472895771,1.4036525625,Control
GSM480996,0.9986026437,1.8308323473,0.2963030845,-0.1206249661,3.1983373430,0.4689771598,2.0727336132,BRCA
GSM480997,0.2261449450,2.2061489187,0.4027906389,-0.1617531694,3.0286147063,0.2836376908,1.0709068248,BRCA
GSM480998,1.4589958652,2.1626619734,0.2452638528,0.1269026354,3.4597641892,0.3649159446,2.7029435635,BRCA
GSM480999,0.4873354064,2.3520613685,0.3736519978,-0.1437596719,3.0941485298,0.1515222725,1.4648299034,BRCA
GSM481000,0.5295266691,2.0740958303,0.5052207993,-0.0763981867,3.2683227856,0.2281233587,1.5000543092,BRCA
GSM481001,0.1916805054,1.9759936333,0.3443448957,-0.1978651574,3.3734064632,0.2587482220,1.0020545539,BRCA
