@relation data

@attribute id string
@attribute 1387 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 3001 numeric
@attribute 3002 numeric
@attribute 3148 numeric
@attribute 328 numeric
@attribute 5551 numeric
@attribute 6418 numeric
@attribute 8125 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.6728254087,0.8219632786,1.3562898702,-0.1196015914,-0.0980125262,1.0936645028,2.0626833836,-0.0737931601,3.0923169554,0.6892206363,BRCA
GSM480985,0.6472114695,0.4940670051,1.0382587114,-0.1194912155,-0.0900072862,0.7430713554,1.8622734016,-0.0413435920,2.9141935409,0.6392531557,BRCA
GSM480986,0.7199448316,0.8810630536,1.0956824224,-0.1630242364,-0.0444491689,0.8612492047,1.9960090386,-0.0744782160,3.1695881186,0.6398513750,BRCA
GSM480987,0.6522740087,0.7898034717,0.9964570336,-0.1591565474,-0.0959783561,0.7871696349,2.1383192671,-0.0917332178,3.4038118124,0.4928583026,BRCA
GSM480988,0.6896800634,0.7003005376,0.9722278052,-0.1173302429,-0.0758203932,0.7596594302,2.1994630363,-0.0673862337,3.1781287491,0.4547040504,BRCA
GSM480989,0.5010443183,0.7707026811,1.4159827828,-0.1241901511,-0.1182184828,0.7183932239,2.2644122972,-0.0275269422,3.0931396781,0.4854328044,BRCA
GSM480990,0.6429370626,0.8894835735,1.0432805152,-0.1146117012,-0.0905509926,0.6415780199,2.0210802556,-0.0333159728,3.2317016720,0.5353153920,Control
GSM480991,0.7013037075,0.8289711413,0.9980369673,-0.1420457971,-0.0645297521,0.3491076426,1.9055157369,-0.0416413261,3.0596888065,0.4528116299,Control
GSM480992,0.7777832307,0.8639072258,0.8184984393,-0.1361653845,-0.0531262704,0.6202057500,1.7728845343,0.0074094109,2.9250347018,0.5230035844,Control
GSM480993,0.7884631976,0.9237758369,1.0230447188,-0.1687982860,-0.0910372453,0.8297604001,2.0759521988,-0.0474629456,3.0717049838,0.4900243758,Control
GSM480994,0.5578947932,0.8490771372,0.9892657267,-0.1547757021,-0.0138422018,0.7961389758,2.0502378544,-0.0742714900,3.1797229646,0.5160850758,Control
GSM480995,0.6620837791,0.7040689876,1.0995412602,-0.1569081797,-0.0651288372,0.4707479394,1.7682248486,-0.0457203537,3.0236792862,0.5661309996,Control
GSM480996,0.4845428244,1.0630304212,1.1402477292,-0.1137368018,-0.0802634774,0.7076496498,2.0698413848,-0.0846887577,3.0880782905,0.4407371697,BRCA
GSM480997,0.5778867382,0.9218187156,0.8212507333,-0.1215584571,-0.1226376340,0.3138543076,2.1315796840,-0.0264099377,2.6950762274,0.3858952456,BRCA
GSM480998,0.4364675880,1.1466768182,1.2322990000,-0.1116579125,0.0105987141,1.2360374944,2.5073293711,-0.0315110315,2.6910401582,0.9187634155,BRCA
GSM480999,0.8025368920,0.7384988723,0.8821421431,-0.1207228841,-0.1547151049,0.5957335264,1.7863472434,-0.0523254788,2.9084389210,0.7083179609,BRCA
GSM481000,0.6212919541,0.9496515665,1.0548359388,-0.1322170681,-0.1350694650,0.6812998448,2.0285828578,-0.0817460951,2.8310338260,0.5715690189,BRCA
GSM481001,0.6472209337,0.6817269156,0.7532224964,-0.1721743512,-0.0963050733,0.3743216255,1.6050502391,-0.0462405051,3.0052095949,0.5897254604,BRCA
