@relation data

@attribute id string
@attribute 1869 numeric
@attribute 1870 numeric
@attribute 1871 numeric
@attribute 23595 numeric
@attribute 4998 numeric
@attribute 4999 numeric
@attribute 5000 numeric
@attribute 5001 numeric
@attribute 51053 numeric
@attribute 81620 numeric
@attribute 990 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8789772263,0.3679832782,0.8807553522,0.8791963657,0.5549384468,1.5400457291,1.3579724659,0.3267498687,1.8463265151,0.6817223376,0.8104688178,BRCA
GSM480985,0.0818430733,-0.0582422595,0.7686965417,0.6842736007,-0.0440001544,1.1292166882,0.9880057346,0.2193341339,1.3146293312,-0.0266633678,0.0094452356,BRCA
GSM480986,0.3414531027,0.1541607173,1.1564793678,0.4364681643,0.3006181142,1.4037100283,0.9499224950,0.3449784663,1.4054410755,0.5245128386,0.4188582972,BRCA
GSM480987,0.4329001224,0.0970260880,1.2174741342,0.3747971260,0.3179577874,1.0423067970,0.7834857352,0.2964313886,1.0645465924,0.4920183620,0.4455796608,BRCA
GSM480988,0.2557647115,0.1310622132,0.5887156453,0.6582257350,0.4079725579,1.0918431122,0.8406549964,0.2886495519,1.6201997547,0.3898979847,0.4772084771,BRCA
GSM480989,0.6630024992,0.4397809910,0.7955051377,0.0431882983,0.2733726352,0.9103897145,0.4962596271,0.1616830429,0.9485957921,0.7220828517,0.2576770852,BRCA
GSM480990,0.4578135087,0.1768650903,0.8675610779,0.1304717187,0.2982221197,1.0234662261,0.5144111839,0.2123258120,0.8148227743,0.5513091742,0.2656607394,Control
GSM480991,0.2786995493,0.0592000450,1.0681867261,0.5699715713,0.0889896469,0.9371337671,0.6741360988,0.2044146519,0.8444131837,0.2379688147,0.1121864724,Control
GSM480992,0.5189908397,0.3776853123,0.9394119481,0.1949512140,0.2454735442,1.0247392775,0.4455925808,0.1157809587,0.8215317615,0.8659412200,0.2286991815,Control
GSM480993,0.7052419788,0.5689452010,1.1960502010,0.2439083853,0.4953490368,1.1828509866,0.6681712095,0.1734232856,1.2555693684,1.1068584707,0.6276240052,Control
GSM480994,0.5327108407,0.3562615500,0.7505319801,0.1035027093,0.3640101330,0.7944431510,0.5632118012,0.1715380964,0.9878870474,0.8319924109,0.3536953124,Control
GSM480995,0.2847148575,-0.1272368307,1.1728273865,0.3862112213,0.0972886697,1.2397688794,0.7322267794,0.2525020170,0.5476007650,-0.0100233940,0.0663353266,Control
GSM480996,0.6467501357,0.1810247320,0.8116169761,0.2943296780,0.5273663103,1.2247062554,0.8137767406,0.1812650358,1.0451734884,0.5529512747,0.5451219403,BRCA
GSM480997,0.3578723763,0.0221409876,0.6294376741,0.2186193567,-0.1210879447,0.6293239610,0.5498642045,0.1886493313,0.3523331731,-0.0611089530,-0.0251988401,BRCA
GSM480998,0.9194724611,0.2735298979,0.7433807752,0.6071939270,0.7260117732,1.3769772258,0.7477664536,0.2327208528,1.5468588172,0.7969876747,0.7252184078,BRCA
GSM480999,0.2494339945,0.0728155822,0.9084556022,0.8620225790,-0.0175674161,1.2437564145,1.1993815478,0.3349349777,1.1605563164,0.1205313338,0.1511289459,BRCA
GSM481000,0.3163991596,0.0092840629,0.9577287860,1.0081385173,0.1339162451,1.3894035678,1.0630593808,0.2085675395,1.3063719496,0.0935645635,0.2834400782,BRCA
GSM481001,0.0434197502,-0.0702954600,0.9449485789,0.5927089650,-0.0998127240,1.1681746685,1.1524256924,0.2498475887,0.4161737281,-0.1108700965,0.0041757229,BRCA
