@relation data

@attribute id string
@attribute 23385 numeric
@attribute 23421 numeric
@attribute 4803 numeric
@attribute 4804 numeric
@attribute 51107 numeric
@attribute 55851 numeric
@attribute 5599 numeric
@attribute 5663 numeric
@attribute 5664 numeric
@attribute 83464 numeric
@attribute 8878 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.2999577661,1.8590415186,-0.1472829417,0.1028337865,0.6832488424,0.1200577291,0.7139937217,0.4306773639,0.2940756359,0.5108656904,0.3549069063,BRCA
GSM480985,0.3510751394,2.0540524323,-0.1080499572,0.1248554666,0.5374009993,0.1387706436,0.7487222366,0.4775120358,0.2073089417,1.0063822530,0.6305238222,BRCA
GSM480986,0.3242400648,1.7610949410,-0.1034840642,-0.0515953347,0.6256229197,0.3406218310,0.7966307569,0.4260402334,0.4096347002,0.8533294125,0.4313466385,BRCA
GSM480987,0.2334768176,1.4231408438,0.0772469334,-0.1142703091,0.4480984137,0.1590228739,0.7170214796,0.3273552372,0.3864956428,0.6550846640,1.0558273989,BRCA
GSM480988,0.4132997250,1.8114462694,-0.0620756386,0.2525387860,0.3462867279,-0.0470390906,0.6912962379,0.2225401956,0.1904675350,0.8834853526,0.3686685013,BRCA
GSM480989,0.4883826412,1.1773555676,-0.0762286128,0.0640462163,0.9608786262,0.3227041837,0.5911021925,0.4050124762,0.3592420754,1.2440986224,0.3976841190,BRCA
GSM480990,0.3568122026,1.1254070599,-0.0433772932,0.0951365499,0.8257227093,0.2574754970,0.5124700949,0.2569054178,0.2532056378,0.8353856290,0.4063528978,Control
GSM480991,0.4409174623,0.9275614287,-0.1841129842,0.0719107018,0.6955867127,0.4321573778,0.7236467786,0.3933905798,0.4332083487,1.2202700152,0.6901227102,Control
GSM480992,0.5047747411,1.0150151781,-0.1251400337,0.0331385645,0.9498860009,0.3880352750,0.4097217267,0.3361732716,0.2220148885,1.2297113462,0.3986313752,Control
GSM480993,0.3810258958,1.1704211100,-0.0431781644,0.0994669689,0.7254536961,0.2294018507,0.7140314231,0.4258051752,0.3069662438,1.1917420254,0.4394630354,Control
GSM480994,0.4978168910,1.3038810360,-0.1910128100,0.1442428216,0.7745573635,0.2611552410,0.3175909795,0.2946995948,0.2054852302,1.1917113549,0.3805292302,Control
GSM480995,0.3391091749,0.3901845232,-0.0541586333,-0.0319183744,0.9603927526,0.2171040215,0.8682190766,0.6229883127,0.5744457645,0.8676962965,1.0880866972,Control
GSM480996,0.4019072353,0.9792468217,-0.1965174687,0.1429467446,0.8345589669,0.1814151635,0.6656352630,0.3495249370,0.6367142663,0.9229199661,0.5061357078,BRCA
GSM480997,0.4888668721,0.8271003961,0.6806209386,0.0953169929,0.9017164027,0.2075191876,0.6271673251,0.2738831307,0.5002970990,1.6604959183,1.2603819382,BRCA
GSM480998,0.5461118682,0.9958133299,-0.0733141016,0.1378435676,0.7943814539,0.2770234420,0.6147042501,0.1627573622,0.5995037005,1.0883541743,0.3649756463,BRCA
GSM480999,0.3534942105,1.1987231441,-0.1409254161,0.0393878842,0.5398263388,0.1349924009,0.6894101039,0.5055319428,0.3330786673,1.0351783595,0.4925719463,BRCA
GSM481000,0.2795278860,1.2211317686,-0.1388408774,-0.0221785148,0.4907017419,0.1605039435,0.6225341240,0.4106613422,0.4181544762,1.0692150203,0.4941283238,BRCA
GSM481001,0.3273250812,0.6052313183,-0.1122713208,-0.0516873195,0.6170002923,0.2059574463,0.7868789858,0.5843610956,0.4816426161,1.0515931547,0.7774909408,BRCA
