@relation data

@attribute id string
@attribute 10154 numeric
@attribute 1020 numeric
@attribute 10371 numeric
@attribute 10398 numeric
@attribute 10507 numeric
@attribute 10570 numeric
@attribute 1072 numeric
@attribute 1400 numeric
@attribute 1808 numeric
@attribute 1809 numeric
@attribute 2064 numeric
@attribute 2242 numeric
@attribute 23129 numeric
@attribute 23365 numeric
@attribute 23396 numeric
@attribute 2534 numeric
@attribute 27289 numeric
@attribute 2909 numeric
@attribute 2932 numeric
@attribute 3320 numeric
@attribute 3672 numeric
@attribute 3688 numeric
@attribute 387 numeric
@attribute 388 numeric
@attribute 389 numeric
@attribute 391 numeric
@attribute 3984 numeric
@attribute 3985 numeric
@attribute 4233 numeric
@attribute 4627 numeric
@attribute 4628 numeric
@attribute 4629 numeric
@attribute 4637 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5361 numeric
@attribute 5362 numeric
@attribute 5364 numeric
@attribute 5365 numeric
@attribute 54209 numeric
@attribute 55558 numeric
@attribute 56896 numeric
@attribute 57556 numeric
@attribute 5788 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 6093 numeric
@attribute 6237 numeric
@attribute 64218 numeric
@attribute 7094 numeric
@attribute 7305 numeric
@attribute 79784 numeric
@attribute 80031 numeric
@attribute 8482 numeric
@attribute 8829 numeric
@attribute 8851 numeric
@attribute 9037 numeric
@attribute 91584 numeric
@attribute 9475 numeric
@attribute 971 numeric
@attribute 9723 numeric
@attribute 9855 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0554727952,0.2358186120,-0.0380599454,0.2969153779,0.6657805243,-0.0725784349,2.3185293673,-0.0135238876,1.4082182420,0.0375545068,0.1590662479,-0.1007230258,0.1242797532,0.1632467478,1.2757258794,-0.0119043016,-0.1231173135,0.2518036054,1.2060972602,3.7246808213,0.1426907652,0.1778868698,1.9894220193,0.6165560097,0.9301475826,0.8636585772,1.3786196138,0.5842101655,0.8759700277,0.6054723690,0.7028468182,-0.0429488101,1.7103786407,0.3334267199,1.9176566821,0.6036850862,-0.0145549048,0.0412885012,0.1672752520,-0.0975331913,0.0539899325,-0.1343939601,0.0901100781,-0.1653921105,2.7923812542,0.8595501635,0.0312767470,0.9069557834,0.0563007886,0.3349262315,-0.0403560555,0.7512541385,-0.0847925051,-0.0264936422,0.0749716201,0.2938635393,-0.0962255459,-0.0866579753,-0.0796944764,-0.0994866779,0.1787568146,0.3954843936,0.2693405723,BRCA
GSM480985,-0.0429903583,0.2468691167,-0.0164963959,1.2289843920,0.6563523198,-0.0352639184,1.9290970167,-0.0354361336,1.6160694801,0.1450361600,0.2177298777,-0.0462862588,0.0244641747,0.1718886270,1.3927584953,0.0315317513,-0.1358093637,0.3546478246,0.8787267861,3.8482525347,0.0353192445,0.1802411383,1.8852531751,0.5974614277,1.0273490289,0.6624230724,1.2969016295,0.6262552267,0.7798522333,0.7874288579,0.6033202015,-0.0002440825,2.1384148449,0.5376056928,1.5525041097,0.4199118129,-0.0731537505,0.0454981351,0.2241805513,-0.0675412076,0.0702674328,-0.1780149506,0.0569228581,-0.1566653691,2.9129755730,0.7016111224,0.0755929606,1.2491402654,0.0159034591,0.3543325623,-0.1356768269,0.8070768496,-0.1171113138,-0.0010073269,0.0225656420,0.0583396936,-0.1140113862,-0.0762782211,-0.0687286226,-0.0273120499,1.1429877547,0.2582431258,0.2437138550,BRCA
GSM480986,0.0414546452,0.4068633393,-0.0524168771,0.4599690320,0.5631120363,-0.0074951461,2.6057420970,-0.0130479606,1.4754170368,0.1218463703,0.1366518380,-0.0927910407,0.0860994741,0.1408613691,1.5559316410,0.0265829566,-0.0808872352,0.3488900970,1.3099040800,3.6994577250,-0.0074317108,0.1151252413,2.0062507787,0.6216550779,1.1761525160,1.0836358103,1.4918706133,0.6974703977,0.9021996147,0.7197230915,0.7200583908,-0.0195645827,1.7225560608,0.5214103467,2.0052070367,0.6475244149,0.0065424755,0.0574876073,0.0997199853,-0.1030171272,0.0597239584,-0.1519558381,0.0815614118,-0.1054329170,3.0052631994,1.0316260259,0.0069230790,1.1826723013,-0.0235604371,0.3472165334,-0.0621800834,0.6448676464,-0.1073379437,-0.0628131912,0.0546909084,0.2624568431,-0.1021153950,-0.0698736805,-0.0732849970,0.0383061700,0.3728399184,0.3640871997,0.2337614380,BRCA
GSM480987,0.0095837318,0.1170820677,-0.1128140558,1.0110833760,0.0254366783,0.6499851665,2.3601241903,0.0245200613,1.5738688387,0.3470697148,-0.0431674495,-0.0717900882,0.8072811236,0.1640715872,1.4418686050,0.6367091207,-0.0791339095,0.2890557646,1.1273281686,3.8704057537,0.0280109981,0.0755187708,1.8972162525,1.1497283200,0.8754420244,0.9918239647,1.4120813263,0.1690645660,0.2276951068,0.5801111171,0.4762625232,-0.0211480159,1.4454860794,0.4951465396,1.8267602669,0.6206423380,0.0987792814,-0.0307267610,0.0263848447,-0.0805553598,0.0067777652,-0.1376569498,-0.0189353020,-0.1104806915,3.1002503070,0.6193592016,0.0234027272,1.0603703884,-0.0691396854,0.5924646768,0.0068698870,-0.0643232254,-0.0038890448,-0.1094209184,0.3437698573,0.1755684758,0.0000762908,-0.0449629097,-0.0519221399,-0.0379317693,0.0276815373,0.3494633513,0.2226472523,BRCA
GSM480988,0.0126619597,0.0976537560,-0.0615038776,0.3045283796,0.6577655178,0.0106158772,1.7501517537,0.0073076760,1.6144806998,0.0272406390,0.1687270667,-0.1479131978,0.1752706014,0.1365992489,1.5323834520,-0.0273392516,-0.0793759370,0.3516025900,1.5309302174,3.7638259730,0.0697572162,0.1863922891,1.6231118301,0.5981451998,0.5195344424,1.3473093178,1.3669745201,0.7069888865,0.6423381358,0.6299032599,0.7929137182,-0.0497399413,1.5444896289,0.4710813121,1.9803916247,0.6412986221,-0.0278619124,-0.0243218509,0.1508085593,-0.1234686440,0.0771782055,-0.0857871084,0.1158020385,-0.1545460956,3.0203843170,1.0542960657,0.0022991031,0.6718537006,0.0061450238,0.3568265384,-0.0573013577,0.6945372537,-0.0618644791,-0.0522438588,-0.0292331753,0.0890686572,-0.0648947758,-0.0864929846,-0.0317350667,-0.0085334479,0.0205271706,0.2677084334,0.1930281139,BRCA
GSM480989,-0.1105571028,0.5341739923,-0.1359274458,0.8889694709,0.7947321832,-0.0448942811,2.9739281333,-0.0140524072,1.5850449884,0.0930148059,0.1614523797,-0.1828133873,-0.0052291726,0.0371562667,2.0667102402,-0.0600568494,-0.1959806438,0.3362449299,1.3318944331,3.6763444743,0.0137452483,0.1971728543,2.4842128198,0.7875744868,1.3430468402,1.3220341570,1.5982619581,0.6407319855,0.7024636094,0.8591087276,0.4037427439,-0.0121064893,1.8242748629,0.5198385118,1.8099314634,0.5250731271,-0.0386486631,-0.0270672734,0.1261068587,-0.1344953707,0.0711280443,-0.1080605324,0.0631829343,-0.1792231008,3.3091132243,1.1131860649,0.0616616788,1.6598733813,0.0489653377,0.4247063940,-0.1510295816,1.0513680278,-0.0697747974,-0.0077019200,-0.0544582841,0.1635457416,-0.0738011054,-0.0113784422,-0.1349797046,0.0041638184,0.0347856136,0.3156086569,0.2852107126,BRCA
GSM480990,-0.1122420788,0.3835640923,-0.0924397538,0.2422347792,0.5164224818,0.0942474023,3.1392434437,0.0457489076,1.6254735086,0.2069082336,0.1174184632,-0.1501012322,0.0702830258,0.0654089239,2.0407628848,0.2139598701,-0.1117620180,0.2518712170,1.3889006043,4.0356965860,-0.0386362766,0.2156330049,2.3151370526,1.0136741233,1.3185693025,1.5110026861,1.8377779026,0.4901056147,0.5615265150,1.0478738931,0.5725622977,0.0250319629,1.5152356646,0.6607572544,2.1385234782,0.8129826577,0.1130000483,0.0310892427,-0.0090165266,-0.0829225869,-0.0115719779,-0.0717137678,0.2010526119,-0.1299618400,3.4219261243,2.0059911716,0.0384436129,1.6624534299,-0.0275813757,0.4164225238,-0.0588782404,0.5793148260,-0.0269653077,-0.0861880121,0.1747390068,0.3299616234,-0.0578287852,-0.0525901028,-0.1541326487,-0.0668583379,-0.0682514792,0.2514480362,0.1617002876,Control
GSM480991,-0.0867278488,0.4622921833,-0.0021874508,1.1277292678,0.6909240906,0.3621212323,2.8201174737,-0.0651909915,1.4481090342,0.0997445141,0.2442998450,-0.1864134322,0.0280218383,0.0983325845,1.9069757064,0.0233230338,-0.0768579735,0.2927795558,1.2929992116,3.8149829707,-0.0280346625,0.1428165244,2.0687043151,0.7681240774,1.3193309977,1.2558291883,1.6326199131,0.7292224874,0.7570488190,0.9240376616,0.3752272930,-0.0248104563,1.6892192651,0.5980931108,1.9004271532,0.7585464375,-0.0188882129,0.0036257326,0.2522848226,-0.1024739528,0.0778013507,-0.1246680651,0.0740611656,-0.1069804765,3.2534763878,1.3671808253,0.0374511476,1.5513520110,0.0136739781,0.4066644799,-0.0449670081,1.0225958146,-0.0794542744,-0.0303671310,0.0701053542,0.2467182452,-0.0572528855,-0.0610292743,-0.0669590193,0.0440798897,0.3825124261,0.2942492560,0.2150321878,Control
GSM480992,-0.0655826434,0.5325466043,-0.1197728904,0.2078117866,1.0020094441,-0.0137176411,3.1759457587,-0.0303934546,1.5704875454,0.1576391399,0.2473429202,-0.1614125238,0.3999053719,0.1196216665,2.3501764933,0.0886958316,-0.0910015225,0.3473255169,1.5241501815,3.8272416590,-0.0197452026,0.0501170250,2.4234709023,0.9088240689,1.2202002483,1.7381100919,1.9263710032,0.7821918625,0.4905067957,0.9937500046,0.6302910071,0.0062219746,1.3391235184,0.4647197556,2.0045540961,0.8813837547,0.0251684229,0.0333482831,0.1782952064,-0.1705210516,0.1510299486,-0.1208613742,0.2095060216,-0.1197716071,3.4460021522,1.7252863166,-0.0010797481,1.4353452269,0.0530432304,0.4696601534,-0.0017623576,1.1428444305,-0.0947218308,-0.1099436460,0.0710969103,0.3799952923,-0.0473508147,-0.0264164948,-0.1714860920,0.0336761444,-0.1280017932,0.2524711868,0.2135051408,Control
GSM480993,0.0073746058,0.3221832017,-0.0839912122,0.5250836669,0.7098028266,0.1524505599,2.6895048220,-0.0715869789,1.5810912282,0.1757033125,0.1737629565,-0.1289446918,0.1118799934,0.1102057849,1.7888530658,0.0776393937,-0.0401934836,0.3063729352,1.3381779529,3.7825589180,0.0337283848,0.0346996909,2.1975401044,0.7746387680,1.2202000319,1.3296855590,1.6787058631,0.7514535646,0.6604025472,0.8153305236,0.7928329793,-0.0120349590,1.4032285638,0.5712389041,1.9982736738,0.7086470452,-0.0035190753,-0.0634310031,0.1893348045,-0.0241504708,0.1036309079,-0.1048696181,0.1745172915,-0.1061867289,3.0886874926,1.2646617638,0.0340418489,1.3477740354,0.0203239555,0.4063588533,-0.0374159531,0.9183471080,-0.0927537647,-0.0085996164,0.0260177059,0.2608289001,-0.0778478299,-0.0515897514,-0.1117413986,0.0637097426,0.2490339720,0.2980508415,0.2080415856,Control
