@relation data

@attribute id string
@attribute 10005 numeric
@attribute 10998 numeric
@attribute 11001 numeric
@attribute 1109 numeric
@attribute 1581 numeric
@attribute 1582 numeric
@attribute 1593 numeric
@attribute 23600 numeric
@attribute 3295 numeric
@attribute 570 numeric
@attribute 6342 numeric
@attribute 6718 numeric
@attribute 80270 numeric
@attribute 8309 numeric
@attribute 8647 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.2005460244,0.4732009415,0.4536354874,-0.0603850419,-0.1544413325,-0.1257529047,0.0827052529,0.2204577298,0.5121318598,-0.1039827502,1.6474101823,-0.1656120817,1.3844643882,0.0970783673,-0.1098288949,BRCA
GSM480985,0.1332052716,0.3026447457,0.1125169401,-0.1008843696,-0.1390370326,-0.1358111336,0.9721574185,0.1643583178,0.4998827064,-0.0788189772,1.7188576495,-0.1166585766,0.9002115603,-0.0900201139,-0.0806230918,BRCA
GSM480986,0.1245128317,0.5061001109,0.1838126041,-0.1126963974,-0.1350079182,-0.1038942073,0.1870853779,0.3330737351,0.4177752157,-0.0872652922,1.3991157552,-0.1731365281,1.2428257638,0.0261544572,-0.0849128895,BRCA
GSM480987,0.0823298471,0.3140809181,-0.1367080629,0.0270504221,-0.0826320147,-0.0953085799,0.2668292613,0.1659381919,0.3299822877,-0.1032722484,0.8280340398,-0.0503693871,1.7752535708,0.0829175309,-0.0993046031,BRCA
GSM480988,0.1742091004,0.3366798059,0.1276493341,-0.0918342666,-0.1273434198,-0.1113271977,0.1537195443,0.1829655876,0.7515428386,-0.0452212076,1.1775287372,-0.0842867750,0.6131784138,0.1547978283,-0.1097020723,BRCA
GSM480989,0.2635583303,0.8310205770,-0.0198834524,0.0076348343,-0.1256726845,-0.1929920531,0.4667257686,0.0571603439,0.4461944626,-0.0328773668,1.0369834970,-0.1216344851,1.6430569327,0.2939728828,-0.1067064402,BRCA
GSM480990,0.1059385006,0.4743824331,-0.1093994278,-0.1060551690,-0.1488304301,-0.2142020464,0.1435606516,0.0652200635,0.2938667585,-0.0435397670,0.9327234854,-0.1358257774,1.5803347529,0.0999626331,-0.1242406111,Control
GSM480991,0.1735177236,0.5365256367,0.1069107673,-0.0503578847,-0.1028993103,-0.1761730472,0.4899383191,0.3359514892,0.4310497078,-0.0768788428,1.2589701729,-0.0881593771,1.8337562350,0.0167411723,-0.1200158579,Control
GSM480992,0.3035666776,0.5677276943,0.1897362529,-0.1083797440,-0.0901375347,-0.1149665894,0.2777332394,0.1185469039,0.3601751156,-0.1204136663,1.0345205839,-0.0956189347,1.8329831098,0.1046201518,-0.0772120737,Control
GSM480993,0.2157649967,0.7603304386,0.2909564059,-0.0765873460,-0.1405898641,-0.1103986067,0.2399686668,0.1876959675,0.3505771477,-0.0779142717,1.2678796018,-0.1441562103,1.3186519908,0.2231144259,-0.1119062092,Control
GSM480994,0.2096095252,0.6653239969,0.0329559155,-0.1019420414,-0.2192992969,-0.1648513087,0.4654317530,0.0172401300,0.3855854247,-0.1938796944,1.2374025234,-0.1061503896,1.4829610353,0.1146603334,-0.0806691967,Control
GSM480995,0.2215104672,0.2290438795,0.0745068778,-0.0634833344,-0.1147699256,-0.1221913647,0.3847972602,0.2232593990,0.2963196897,-0.1052333443,1.2562748649,-0.0867152466,1.0520129080,0.1411037496,-0.0997480114,Control
GSM480996,0.2111265945,0.4667836583,0.1157517762,-0.0169027220,-0.0928653879,-0.1706686999,0.1156908048,0.3234388951,0.4199764678,-0.1061036681,1.0775236872,-0.1414537578,0.8766809933,-0.0116605183,-0.0365651199,BRCA
GSM480997,0.1617645967,0.3575691934,-0.1297623246,-0.0964728153,-0.2016788860,-0.1978709367,0.3580295016,0.1568532754,0.4283408943,-0.0346879282,1.3782257612,-0.0653248742,1.7179725007,0.9853553473,-0.1574243422,BRCA
GSM480998,0.2136365959,0.4038458119,0.0243749129,-0.0875737470,-0.1174534609,-0.1646466720,0.4056878594,0.1447112196,0.4814547874,-0.1399369066,1.3997276812,-0.1242722103,0.7504333492,0.2400252612,-0.0759949404,BRCA
GSM480999,0.1615736763,0.3346888779,0.3761525834,-0.0376198383,-0.1459056539,-0.1672470876,0.4610653251,0.3305081945,0.5498845859,-0.1719786338,1.6643416636,-0.1747863010,1.2272494289,-0.0087398400,-0.1486282638,BRCA
GSM481000,0.1551309263,0.4730539834,0.1736038655,-0.1500015063,-0.1331055671,-0.1041820064,0.7350646389,0.2072946545,0.4614366709,-0.0901145420,1.6694852078,-0.0495986912,1.0618052550,0.0093154519,-0.0984224489,BRCA
GSM481001,0.0806855798,0.1466819561,0.6037919678,-0.0212248156,-0.1348303064,-0.1450074316,0.5742854160,0.1814458803,0.4611424518,-0.0915909928,1.4724617916,-0.1009307557,1.4570802648,-0.0953277280,-0.0854113147,BRCA
