@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 163 numeric
@attribute 1739 numeric
@attribute 1742 numeric
@attribute 2036 numeric
@attribute 23426 numeric
@attribute 27092 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 2893 numeric
@attribute 4193 numeric
@attribute 4646 numeric
@attribute 4905 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 9463 numeric
@attribute 9495 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0682296526,-0.1343526023,1.1524037090,1.3559700908,0.2606576234,0.4948697878,0.5647716359,0.5818749392,0.1665452991,1.2538793809,-0.0494699089,-0.0750350634,-0.1189617532,-0.1057068686,-0.0878230903,-0.1500293526,-0.0070708373,1.8432836640,1.3583514206,0.1474579691,-0.1072664774,-0.0825690696,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,0.3596765864,-0.0692524781,BRCA
GSM480985,0.0433697406,-0.1062390212,1.0972410342,1.0621682248,0.1905879892,0.4369097236,0.6130065929,0.5661799941,0.1851502992,1.7248317022,-0.0716634425,0.0840710815,-0.1287743736,0.0240851168,-0.0782820407,-0.1717130259,-0.0835794543,2.2744193030,1.5010695189,0.0900841358,-0.0931613796,-0.0522140021,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,0.3101372704,-0.1118187895,BRCA
GSM480986,-0.0618462150,-0.1000677477,1.3037325410,1.5079112994,0.2831735210,0.5527757206,0.6778581731,0.4299439512,0.0373472180,1.5900066203,-0.0138933146,-0.0204037532,-0.0995415323,-0.0902023388,-0.0782341801,-0.1381295376,0.0441754822,1.8071364569,1.4772161901,0.1559347632,-0.1167993353,-0.0710934066,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,0.4744428752,-0.0253976056,BRCA
GSM480987,-0.0526175533,-0.1063510068,1.3146498003,1.5145772255,0.2687426848,0.8254703291,0.3246971715,0.2913734570,0.1237357168,0.4980374474,-0.1025872924,-0.0699285825,-0.0716288448,-0.1308166077,0.1477903988,-0.1401504259,0.0336754173,0.8569654733,1.0836961991,0.0835026311,-0.1432857454,-0.0616863377,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,0.0840688510,-0.0021112746,BRCA
GSM480988,-0.0411565130,-0.0393296510,0.9602763783,0.6505456722,0.1485788541,0.5611294274,0.4339244361,0.4063194740,0.0792691462,1.9428356040,-0.0156353994,-0.0744747072,-0.0650744193,-0.0325215318,-0.0565929220,-0.1000051503,-0.0762924356,2.1805479097,1.6950709760,0.0817065693,-0.0806064152,-0.0384889170,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,0.5219293121,-0.0409776725,BRCA
GSM480989,0.1079419554,-0.0767798814,1.5578947200,1.7629687284,0.3444870630,0.4892268392,0.5308351245,0.2111612193,0.2458340079,1.9400826520,-0.0850661143,0.0544453836,-0.0548027214,-0.1140418602,-0.0573807171,-0.1755770770,-0.0633361472,1.5394107586,1.2401829392,0.0811992555,-0.1211765001,-0.1123442115,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,0.4388755611,-0.0270289825,BRCA
GSM480990,0.0546465477,-0.1600094848,1.2710338862,1.6323857997,0.3784631827,0.7273199062,0.4113983666,0.3276433839,0.2119237644,1.2418024781,-0.0909719125,-0.0964546505,-0.0741489506,-0.1340680596,-0.0680713484,-0.1179290985,-0.0377953903,1.4622726395,0.7803548574,0.1371517299,-0.1211324487,-0.0606057024,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,0.3617107752,-0.0077445229,Control
GSM480991,0.0257418429,-0.0583783093,1.3845505780,1.6801313789,0.4264603429,0.6834902414,0.4659834468,0.3763607248,0.1213872813,1.6636432831,-0.0669985092,0.0554954631,-0.0886032136,-0.1649963296,-0.0625367364,-0.1425649745,-0.0037197388,1.8450772846,1.2567977992,0.0569693500,-0.0960165404,-0.0531655469,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,0.5400675154,-0.0269643025,Control
GSM480992,0.0310889002,-0.0578705474,1.4126932023,1.9441385897,0.4744916590,0.8376964311,0.4312054103,0.2851011068,0.2280438674,1.7252059661,-0.0624663409,-0.0606748974,-0.0981577248,-0.1126769885,-0.0596054570,-0.1320523696,-0.0464381419,1.5374248025,1.1221307751,0.1225340664,-0.1356904655,-0.0742785615,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,0.4806095212,-0.0383531876,Control
GSM480993,-0.0569667482,-0.0373075461,1.3460859921,1.6546143043,0.3253226646,0.6623232290,0.6197645098,0.4119260958,0.1730288758,1.6933351169,-0.0675154184,-0.0383842061,-0.1233562875,-0.1076846812,-0.0835757837,-0.0930643304,0.0065748730,1.6948885482,1.3218134940,0.1051260916,-0.1144585606,-0.1054423138,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,0.4690016607,-0.0312457905,Control
