@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1387 numeric
@attribute 2033 numeric
@attribute 3551 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7133 numeric
@attribute 8717 numeric
@attribute 8737 numeric
@attribute 8772 numeric
@attribute 8841 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2841429040,0.6553813652,1.5206031688,0.2679063242,0.0372776528,0.8098630121,1.2157194917,-0.1203307158,1.4667636421,0.0407503399,1.0991232922,0.1502289322,1.1454639601,0.6625436882,BRCA
GSM481003,0.2877502063,0.6896365619,1.5765347331,0.4162924297,0.0608519517,1.4016762564,1.5458108518,0.3678463830,1.3210169064,-0.0150242090,1.2488890655,0.0927192407,1.3959826067,0.6515898791,BRCA
GSM481004,0.3929689074,0.7104525116,1.4211680973,0.4565757285,0.1890115326,1.3433312625,1.4715695732,-0.0368083989,1.4022095196,0.8039232566,1.2252235113,0.1418394002,1.4400380619,0.7827821134,BRCA
GSM481005,0.7559128657,0.6607257612,1.5339801088,0.3903404364,0.0661443981,0.7793831442,1.2129281088,-0.1027448054,1.3140131507,0.1196174981,1.0535859416,0.1484226488,1.2396340239,0.8078041228,BRCA
GSM481006,0.5505344721,0.4717476930,1.9997731411,0.2354427614,0.1223146532,1.0869957842,1.3122026393,-0.0591356744,1.1998099668,0.3729235640,0.8621735083,0.1076701371,1.1236223613,0.6549511686,BRCA
GSM481007,0.2756707471,0.6012359342,1.4547199384,0.2572633833,0.0016019143,1.3999506757,1.4910032429,0.1398046748,1.5900844355,0.1503481193,0.9311149749,0.0681875506,1.3381449249,0.7129076130,BRCA
GSM481008,0.9329660580,0.6167750674,1.5937150419,0.3088421996,0.2086261566,1.2762110606,1.3571830794,-0.0821399172,1.2373752406,1.1995626164,1.3610299529,0.0933854235,1.3797544043,0.7612597543,Control
GSM481009,0.4141671401,0.5215228253,1.3526445291,0.1725846681,0.0623427681,0.6739098801,0.9630623995,-0.1245508698,1.0942457432,0.3269099770,0.5619953670,0.0010559037,0.7153020533,0.3790128891,Control
GSM481010,0.8322192047,0.6855350051,1.6499485337,0.3174347172,0.1809599443,1.1876550054,1.2152642781,-0.0689478631,1.2312859525,0.1169206984,1.1540054709,0.2645242032,1.3444891074,0.7826129434,Control
GSM481011,0.2562781054,0.4229259233,1.0696674976,0.2600992171,0.0443784665,1.0963865406,1.4994342731,-0.0423061008,1.2472988190,0.4780643796,1.4445699183,0.1111272328,1.3676190143,0.7212472755,Control
GSM481012,0.5080775619,0.6765523788,1.7425010057,0.4779004869,0.1195168558,1.0682685711,1.1187853771,-0.0311700639,1.4204823094,0.6699163205,1.0606842966,0.2251819701,1.1537734513,0.4584128176,Control
GSM481013,0.4805216451,0.4842584514,1.4858982488,0.2342290882,0.2367984392,1.1585673729,1.5556905367,-0.0627147092,1.1602775286,1.2977037133,1.5755671661,0.0473983577,1.7014235457,0.6453116285,Control
GSM481014,1.1938015563,0.6785546905,1.5772262514,0.4391812867,0.3497016751,1.7298833281,1.1714154971,-0.0723417840,1.0337367212,0.8985677025,0.8500642005,0.0510836801,0.9474871756,0.5423474605,BRCA
GSM481015,0.4266784830,0.5045228371,1.6954124608,0.4624862845,0.1032914892,1.7167509645,1.3739821009,-0.0646013246,1.5024561775,0.7171469181,1.4685288234,0.1198736366,1.4547775587,0.7962507462,BRCA
GSM481016,0.8205403303,0.4943826854,1.4582582964,0.2666076076,0.0883782635,1.3441841190,1.1017041531,-0.0621314616,1.3481743960,0.3093695964,1.0801549642,0.2604883399,1.3155696971,0.5765465002,BRCA
GSM481017,1.4483107159,0.5270512915,1.7544407136,0.3823814951,0.1718103302,0.5404151384,0.8351121861,-0.1499083621,0.9211265244,0.0495729831,0.5356492494,0.2862196747,1.0333712837,0.5147009275,BRCA
GSM481018,0.1831822459,0.4967212536,1.1853656675,0.7476205934,-0.0151011771,1.3200290201,1.2476541475,-0.0238405286,1.5005533980,1.4134982526,1.1049905870,0.0606727524,1.4888467808,0.5779858422,BRCA
GSM481019,0.7841421493,0.4617265635,1.5947603248,0.4987236189,0.1585245694,1.3647546135,1.1705218292,-0.0762645153,1.1889668928,0.1968713579,1.2704723208,0.2809851860,1.6588469677,0.7265289760,BRCA
