@relation data

@attribute id string
@attribute 1109 numeric
@attribute 119391 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 1543 numeric
@attribute 1544 numeric
@attribute 1545 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1571 numeric
@attribute 1645 numeric
@attribute 1646 numeric
@attribute 2052 numeric
@attribute 218 numeric
@attribute 220 numeric
@attribute 221 numeric
@attribute 222 numeric
@attribute 27294 numeric
@attribute 2938 numeric
@attribute 2940 numeric
@attribute 2941 numeric
@attribute 2947 numeric
@attribute 2948 numeric
@attribute 2949 numeric
@attribute 2950 numeric
@attribute 2952 numeric
@attribute 2954 numeric
@attribute 29785 numeric
@attribute 373156 numeric
@attribute 4257 numeric
@attribute 4258 numeric
@attribute 4259 numeric
@attribute 64816 numeric
@attribute 7363 numeric
@attribute 7367 numeric
@attribute 79799 numeric
@attribute 8644 numeric
@attribute 9446 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1123335787,0.2871968024,-0.0524310057,-0.1347198700,0.0613976857,-0.1346931132,0.6253889886,-0.0707705465,-0.0907943317,-0.0348658793,-0.0460826877,1.5490698931,0.1585659757,0.0271161102,-0.0862011614,-0.0757955666,-0.1442158234,0.3184088073,0.3843571468,0.3215354069,1.3244071471,-0.2854896040,1.2724361456,0.4390143225,-0.1159840439,-0.2264306039,-0.0645749750,-0.1674627581,0.7235316092,1.2900987227,0.0754495595,0.5898664068,3.0324918032,0.4365172578,0.9395131395,-0.0399019847,0.8027391701,0.6833649149,1.4313971996,0.8491748477,-0.0790467571,-0.2121124591,-0.0962539443,0.0985704417,0.3684823076,3.0878336827,BRCA
GSM481003,-0.0203369019,0.6053804811,-0.0628011676,-0.0588399746,-0.2279347480,-0.1010824245,0.5544932642,-0.1061360456,-0.1076664133,-0.0768039503,-0.0091044840,1.3042658552,0.1722779573,-0.0056316560,-0.0496677926,-0.0982124244,-0.1283854654,0.0888888314,0.5549287473,0.3557359704,2.0123524134,-0.2035900616,2.3741602134,0.3642119825,-0.0836361832,-0.0317825146,1.5765786022,-0.1301341234,0.5812151789,1.3475071891,0.0777414320,-0.1665700966,3.2733086745,-0.1354123021,1.1483629123,0.1368045252,0.9910572724,0.7216033130,2.1507091524,0.9791663661,-0.0795240324,-0.1256563828,-0.0842307139,0.2728698711,0.6167109014,3.3585660988,BRCA
GSM481004,-0.0677419299,0.5861253571,-0.0942149338,-0.0325418087,-0.0818094390,-0.0825328696,0.6702453066,-0.0472293821,-0.0060980176,-0.0553187507,-0.0421962722,1.3608925111,0.2313475910,-0.0731946221,-0.0818093957,-0.0435855907,-0.0464546807,0.1783724768,0.9620511905,0.4538362788,1.3822710184,-0.2686957158,2.1709424416,0.5950805777,-0.0865501958,-0.0848936792,-0.1565946837,-0.1730953976,0.3957744540,1.1279311243,0.1614834163,0.0373933017,2.5708290735,0.2778376603,0.7132488500,0.0187203556,0.9127013914,0.6514737495,1.5372133926,0.9231776259,-0.0542486840,-0.1349669725,-0.0850919253,0.1950047462,0.7629036049,3.2913744979,BRCA
GSM481005,-0.1019843727,0.2515850984,-0.1359807491,-0.0978901217,0.1046764377,-0.1295259394,0.6667113444,-0.0822802793,0.0134372121,-0.0380769480,-0.0620816253,2.2189430910,0.1046610113,-0.0065029429,-0.0992456471,-0.0325022561,-0.1331450652,0.0761728937,0.2903789380,0.1757063484,1.3988923233,-0.2333305496,1.3321897744,0.2255821759,-0.1352569876,-0.1392349951,-0.0337624953,-0.0900181431,0.6689937415,1.2629191918,0.0141258122,0.7389497161,2.9548474550,0.2918841280,0.6578700376,-0.0212265808,0.8504860158,1.1099973139,1.5855797456,0.8683534997,-0.0932976830,-0.1150697751,-0.0451880510,0.1358078589,0.5152974397,2.8794106643,BRCA
GSM481006,-0.0572566260,0.4445812414,-0.2108166909,-0.0805793162,-0.1030335463,-0.1095244659,0.4597174816,-0.1015294299,-0.0258435596,-0.0841182099,-0.0674216570,1.4740580786,-0.1440608303,0.0111786044,-0.0387587958,-0.0438407126,-0.1012677014,0.1763603556,0.2200799362,0.0492121342,1.9048059118,-0.3008817545,2.0070518163,0.4114961186,-0.1216376777,-0.1172550087,0.0379432075,-0.1321361279,0.5336723185,1.2691511857,0.0898171258,-0.0496254207,3.5155734023,-0.1378100211,1.0643834956,0.0860403579,0.8411193122,1.2837436007,1.6803067921,0.8798222710,-0.0890974073,-0.0919221442,-0.1436340136,0.0190791620,0.2609349255,2.7503366602,BRCA
GSM481007,-0.0667885333,0.1206142091,-0.0505406322,-0.0999831486,-0.0483416160,-0.0626799167,0.4754699913,-0.0399487634,0.0323586727,-0.1304849890,-0.1068105597,1.4006102977,0.1385402210,0.0354357037,-0.0065737251,-0.0776154143,-0.1151327348,0.2498509929,1.0538405030,0.5224951802,1.9861107800,-0.3107484635,1.7591606010,0.5989918505,-0.1305413990,-0.0790142020,0.1914886362,-0.0660563426,0.6273536583,1.0136418911,0.2195099760,-0.0565266959,3.3267954192,0.3234848400,0.9248790181,0.1435573767,0.9599149746,1.1558250193,2.3467192351,1.0506644813,-0.0537126830,-0.0882182437,-0.0111406069,0.2616688719,0.9547280744,2.4736842313,BRCA
GSM481008,-0.0499466189,0.0735217189,-0.1226232383,-0.1182529541,-0.1074391420,-0.0697250808,0.5187395788,-0.0369367304,-0.0538307900,0.0096362956,-0.0424204741,0.9722351016,0.1209009113,-0.0603472893,-0.0438651082,-0.0740819126,-0.0450347919,-0.0637183877,0.6067184062,0.1025766038,0.8301800324,-0.2534886757,1.7301716414,0.3176785913,-0.0930229935,-0.0250758436,-0.1048934502,-0.1165593553,0.3664562252,0.6602728483,0.1208596925,0.0208272412,3.1949354410,0.0267324713,0.8017106932,0.1554667378,0.7671741003,0.6343656884,0.7879048195,0.7532638147,-0.0445579210,-0.1635736044,-0.0905286293,0.2443533842,0.4170441776,2.8314743307,Control
GSM481009,-0.0918592641,0.1274033058,-0.0897806554,0.4015985835,1.5265520810,-0.1022301665,0.6267679782,-0.0866576479,-0.1129501712,-0.1358593181,-0.2124584218,1.8394608784,-0.1521529877,-0.0297823290,-0.0593741846,-0.0503968609,-0.0856838824,0.1378533497,1.0721178203,0.4379720158,1.0960867736,-0.4060247298,2.1016619261,0.2640226102,-0.0507299871,-0.2554458340,-0.2110481308,-0.2092095391,0.4818306970,1.0716222626,-0.1033275068,0.7586115700,2.9631728730,0.1302732684,0.6324392874,0.0890732338,0.8895446044,1.1880085426,1.2531525676,0.7764151155,-0.0331416704,-0.1308127437,-0.0163137240,0.0682427717,0.6728751694,2.6578508848,Control
GSM481010,-0.1122763434,0.3546320464,-0.0922809699,-0.0685862102,-0.2346951363,-0.0906205110,0.5929383701,-0.0452846128,-0.0210349226,-0.0601571222,-0.1435788730,1.8642199116,0.0454600920,-0.0076466147,-0.0386769528,-0.0676946584,-0.1009081261,0.4197627317,0.8081189173,0.4571076208,1.6818030144,-0.0958842543,2.3740760535,0.3253444095,-0.0682366275,-0.0614793031,0.2900697653,-0.1107601541,0.7096368441,1.7895016297,0.2747934574,-0.0083309240,2.9571587640,0.2336557153,0.8935827463,0.0708602173,0.8103014695,1.1010034873,1.4071667644,0.8617870488,-0.1100907888,-0.1056606520,-0.1018224571,-0.0167547460,1.4649742171,2.9120071598,Control
GSM481011,-0.0791188661,0.3136596290,-0.1052115387,-0.1361586765,-0.1073137047,-0.0029908553,0.5669863396,0.0027235979,0.0021021766,-0.1110694838,-0.0727506376,1.7002960709,0.1952806217,0.0541730740,-0.0811034764,0.0213148153,-0.1279543551,0.2275359989,0.5959774477,0.0344156466,2.0378695064,-0.2011037404,1.1143954872,0.3225665058,-0.1064031793,-0.1122355658,-0.1507767677,-0.0995877786,0.5895036292,1.1120933639,0.1773938203,0.9709620699,3.2838686707,0.3981703213,1.2148902156,0.0573029004,1.0305843881,1.2240768454,2.2494151594,1.0687776043,-0.0682337564,-0.1457992264,-0.0463264186,0.2097145969,0.1461639744,2.9254122709,Control
