@relation data

@attribute id string
@attribute 11254 numeric
@attribute 126969 numeric
@attribute 204962 numeric
@attribute 23446 numeric
@attribute 348932 numeric
@attribute 51458 numeric
@attribute 54716 numeric
@attribute 55117 numeric
@attribute 57127 numeric
@attribute 57153 numeric
@attribute 6005 numeric
@attribute 60482 numeric
@attribute 6529 numeric
@attribute 6530 numeric
@attribute 6531 numeric
@attribute 6533 numeric
@attribute 6534 numeric
@attribute 6536 numeric
@attribute 6538 numeric
@attribute 6539 numeric
@attribute 6540 numeric
@attribute 6563 numeric
@attribute 6570 numeric
@attribute 6571 numeric
@attribute 6582 numeric
@attribute 80736 numeric
@attribute 8170 numeric
@attribute 9152 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0391907532,1.0420492290,-0.1060090041,1.6094303280,-0.0371093363,-0.3165666079,-0.1140614874,-0.1207188330,0.1382709556,2.3181359768,-0.1186390331,-0.1210887922,-0.0513002888,-0.0032685182,-0.2688481290,0.1016195889,-0.1678103711,-0.0316568753,-0.1328764462,-0.1898948362,-0.1149206716,-0.0283410639,0.0666405224,0.3312879934,-0.0499594368,-0.0766502092,-0.1651892810,-0.0960488640,BRCA
GSM481003,-0.1369555222,1.0504040354,-0.0762795838,0.8699647542,-0.0170126595,-0.1857811520,-0.0794068499,-0.0735235904,0.1370633527,1.6362775191,-0.0790769296,-0.1201912766,-0.0522103329,0.0078056914,-0.1207342028,0.3382635053,-0.1610199530,-0.0246964451,-0.0663456700,-0.0933276417,-0.1330283261,-0.0549254077,-0.0586298136,0.3100049374,0.2956095591,-0.0106488039,-0.0882765778,-0.0180731439,BRCA
GSM481004,-0.0439458742,0.5723939426,-0.0848565428,1.2945750534,-0.0137898308,-0.0791722414,-0.1378771465,-0.0760834821,0.1039176329,1.9180357306,-0.0877654035,-0.0713303005,0.0166277025,-0.0358664688,-0.2107251813,0.1697495777,-0.1200592182,0.0788145795,-0.1518051671,-0.1865391859,-0.0645583250,0.5394210555,0.0203149579,0.4832305428,0.0797222950,-0.0884353871,-0.0681155215,-0.1374014150,BRCA
GSM481005,-0.0706077616,0.5622164820,-0.1343160478,1.5946170617,-0.1146487464,-0.1662290067,-0.1560966211,-0.1106354174,0.1971319807,1.9171218202,-0.1108650360,-0.1068961464,-0.1662134670,0.0128427960,-0.2059256997,0.3099587599,-0.1043240028,0.0421400460,-0.0730161025,-0.1932015564,-0.1416744075,-0.0932498280,-0.0080227841,0.1976867524,0.1156893960,-0.0836249582,-0.1165000592,-0.1423547025,BRCA
GSM481006,-0.1016957751,0.7640771204,-0.1179996504,1.5228199995,-0.0314978091,-0.2886410091,-0.1281415029,-0.0760499389,0.2074545857,1.7377086468,-0.0972263261,-0.1183432675,-0.0415803259,-0.0883790578,-0.2029946689,0.2220036607,-0.1741458748,0.0521175758,-0.0878551673,-0.2068345401,-0.1743471835,0.0061014013,-0.0787692940,-0.0197388254,0.1399838673,-0.0998748754,-0.0248023028,-0.1033793761,BRCA
GSM481007,-0.0428596152,0.9290167160,-0.0976242608,0.8199516058,0.0401599599,-0.1610597753,-0.0682594401,-0.0695618336,0.1777715714,1.9131188430,-0.0816422544,-0.1001035062,0.0020162193,0.0056743130,-0.1659300407,0.4069145285,-0.1287467164,-0.0264428861,-0.0347510061,-0.1228644879,-0.0717484529,-0.0693520597,0.0328613553,0.2496123212,0.0865724659,-0.0444621751,-0.0465586976,-0.1032489786,BRCA
GSM481008,-0.0494108672,0.2185895647,-0.1084742014,1.3641046235,-0.0253049328,-0.2829496924,-0.1059481565,0.0153706186,0.1128415514,1.1800410654,-0.0898179874,-0.1431323278,-0.1975731900,0.0161212069,-0.2055882791,0.3660615924,-0.2088808660,-0.0562786050,-0.0907312652,-0.2136515826,-0.1330649171,-0.0340466779,0.0278764341,0.2838958719,-0.0447829580,0.0010271260,-0.0652668438,-0.1791939239,Control
GSM481009,-0.1119067686,0.3690783303,-0.0923357172,1.3873052887,-0.1882186270,-0.4169046367,-0.2187034739,-0.1133339490,0.0529314334,1.2541016722,-0.1741069642,-0.0119332355,-0.2592715992,-0.1652873525,-0.2957902586,0.0777826897,-0.0567224909,0.2868864127,-0.1503508668,-0.2152282806,-0.1689283212,-0.0099716831,0.0789249245,0.0223365936,0.0017785229,0.0121331939,-0.1580203779,-0.0885943010,Control
GSM481010,-0.1023215371,0.7085436102,-0.0389447384,1.4895794582,-0.0176842679,-0.2804935871,-0.1180396151,-0.0843633267,0.2169671733,1.4398498144,-0.0980048329,-0.1131207672,-0.1286510976,-0.0282148085,-0.1192952060,0.2026415417,-0.1562218159,0.0587805804,-0.0384586371,-0.1580358376,-0.0886115254,-0.0808975169,-0.0331899851,0.0048476492,-0.0412588195,-0.0440519467,-0.1040039954,-0.0862428729,Control
GSM481011,-0.0054285352,0.8388848818,-0.0958215020,0.7087243083,0.0231933705,-0.1182989404,-0.1016532183,-0.1004063062,0.1359352078,1.8663881792,-0.0796519151,-0.0917457479,-0.0265577694,0.0376709370,-0.2530245424,0.1280203500,-0.1273897815,0.0731702655,-0.0780506485,-0.1854750667,-0.0285247745,0.0343179461,-0.0259488150,0.3192068651,0.0119714705,-0.0916553643,-0.1274980195,-0.0147952367,Control
