@relation data

@attribute id string
@attribute 10858 numeric
@attribute 10998 numeric
@attribute 11001 numeric
@attribute 1109 numeric
@attribute 1582 numeric
@attribute 1593 numeric
@attribute 23600 numeric
@attribute 51302 numeric
@attribute 6718 numeric
@attribute 80270 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0625774410,0.2784195431,-0.1348567970,-0.1123335787,-0.1336217061,0.0715319318,0.0281725338,-0.0882133599,-0.1404375810,1.7724647224,BRCA
GSM481003,0.0573642531,0.2128238855,0.0136813014,-0.0203369019,-0.0756656810,0.2198433252,0.1465320099,-0.0331106990,-0.1051130742,1.7119986746,BRCA
GSM481004,0.1029821911,0.2838316995,-0.0597815148,-0.0677419299,-0.1941626136,0.1251096083,0.1055915163,-0.0645548141,-0.2116124396,2.1069225668,BRCA
GSM481005,0.0945033259,0.1634044311,-0.1239570909,-0.1019843727,-0.1468417553,0.1895176297,0.1830562749,-0.0564553521,-0.1254797017,1.3295535014,BRCA
GSM481006,0.0670482768,0.1842716365,-0.0924731976,-0.0572566260,-0.0881916923,0.4588759800,0.0805064457,-0.0503024641,-0.0814486510,2.0131795474,BRCA
GSM481007,0.0891548726,0.7269138694,-0.0209176663,-0.0667885333,-0.2192281806,0.6997567200,0.3123692198,-0.0668092154,-0.0743214042,2.7455964090,BRCA
GSM481008,0.0295363544,0.1103930799,-0.1378777627,-0.0499466189,-0.1343381350,0.5413572629,0.0222023945,-0.0436703770,-0.0796296846,1.2501575682,Control
GSM481009,0.0129628717,0.1198115419,-0.1297706649,-0.0918592641,-0.1045188599,0.3175964427,-0.0975015905,-0.0396341757,-0.1058717659,1.3776936706,Control
GSM481010,0.0383147076,0.3730173874,-0.0728003109,-0.1122763434,-0.0900373996,0.1583763835,0.1953275064,-0.0085892293,-0.1613466166,1.1802458844,Control
GSM481011,0.0137218451,0.1196272695,-0.0984585712,-0.0791188661,-0.0576767049,0.2460802468,0.0810758065,0.0543756360,-0.0882493453,2.3833539487,Control
GSM481012,-0.0565976639,0.2162606448,-0.1343617363,-0.0833449570,-0.1454463754,0.3692271694,0.1197064238,-0.0392705323,-0.2091603958,1.1799621740,Control
GSM481013,0.0725619096,0.5616623784,-0.0811184385,-0.0469759711,-0.0961035449,0.7560820924,-0.0371360768,-0.0998078920,-0.1165488756,1.5122923982,Control
GSM481014,0.0763634492,0.2185047045,-0.1555662947,-0.1289425724,-0.1100754613,0.4835404566,0.1138068546,-0.0742627508,-0.0800609252,2.0813733933,BRCA
GSM481015,0.0139146236,0.4358513595,0.0933185541,-0.0883144441,-0.1493549386,0.9916964249,-0.0062397286,-0.0968667683,-0.1007530786,2.1186427474,BRCA
GSM481016,0.0072301232,0.2234488094,-0.1146065985,-0.1059190097,-0.1192042230,0.1859634546,0.1463882453,-0.0934126532,-0.0913919936,1.2644010763,BRCA
GSM481017,-0.0417897906,0.0627761945,-0.1309425512,-0.1294288534,-0.1779292837,0.2421241194,0.3003982814,-0.0789176164,-0.0217994182,1.1255298852,BRCA
GSM481018,0.2857089796,0.3349978831,-0.2001889517,0.0332886209,-0.1311337098,0.6010740604,0.1860051732,-0.1333618164,-0.0966245897,2.1113418143,BRCA
GSM481019,0.0854528556,0.3763216603,-0.1049060904,-0.1266626763,-0.1024002379,0.5077555519,0.2525234333,-0.0251672311,-0.0817263426,1.1072275373,BRCA
