@relation data

@attribute id string
@attribute 10488 numeric
@attribute 1326 numeric
@attribute 1385 numeric
@attribute 1846 numeric
@attribute 1848 numeric
@attribute 1852 numeric
@attribute 1977 numeric
@attribute 2872 numeric
@attribute 2885 numeric
@attribute 29904 numeric
@attribute 4342 numeric
@attribute 466 numeric
@attribute 4790 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5906 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 7187 numeric
@attribute 8569 numeric
@attribute 9586 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.0326234206,0.2599901710,0.0194301160,0.4441164137,1.1324985788,-0.1303950810,0.3262102189,2.7348088377,1.6104626348,1.5136076567,-0.3329707117,0.3099696157,0.0372776528,0.3768321643,1.1201675758,0.1390805759,0.3923970497,0.2993447634,0.1011311368,0.5924470919,0.1526270688,2.2882412161,-0.0234144181,0.2904654710,0.1777965052,0.8324798921,0.7008165081,0.0282722054,BRCA
GSM481003,1.1906844509,-0.0015467559,0.0187250819,0.7310000473,1.8401193702,0.0590672319,0.3141217654,2.7779917858,1.7524189089,1.6201723135,-0.2678290340,0.2077779790,0.0608519517,0.4223379152,1.1333078442,0.1453346393,0.8256779464,0.1105344640,0.4883067481,0.2958588585,0.0602988192,2.4272642752,-0.0553885548,0.0839562974,0.0848102706,0.9165989648,0.5437110150,0.1443012707,BRCA
GSM481004,1.0233543507,0.2101717265,0.0489846332,1.3904105620,2.3421736282,-0.0515709326,0.1372993612,2.3567124184,1.7306030480,1.7924202814,-0.2611760157,0.2913162167,0.1890115326,0.5495924441,1.3982536542,0.0639251527,0.5918967704,0.2161254814,0.2034561099,0.5405640510,0.1951900609,2.7043259995,-0.0500999228,0.1372055122,0.1890694758,0.9852751046,0.6361071641,0.0284953201,BRCA
GSM481005,1.0787079631,0.2040957064,0.0936311534,0.1787978496,1.2925871186,-0.0226222914,0.6032439420,1.9887688107,1.6458761891,1.4635358817,-0.2870648919,0.5472949002,0.0661443981,0.4403047296,1.3712493853,0.0764267961,0.5596565347,0.0446880130,0.1795327044,0.6260850528,0.2324255008,2.3308550971,0.0180744121,0.2881692323,0.1629802437,0.7733274586,0.7534882951,-0.0159742344,BRCA
GSM481006,0.9869866702,0.1917761388,0.0438960250,0.7069719799,1.7398537369,-0.0502205686,0.4558320585,2.4980212450,1.6704388113,1.6627693193,-0.2827678704,0.4418505482,0.1223146532,0.3909603753,0.9865753614,0.1169393467,0.4886666650,0.2859294764,0.4654468534,0.8888126867,0.1809252382,2.3295555881,0.0128678733,0.2175775908,0.2528915434,0.8630956933,0.3905894025,0.0634249029,BRCA
GSM481007,1.1779389943,0.2100051841,-0.0388119381,1.3983103838,1.3082489322,0.0289710940,0.1246853065,2.8694711923,1.7786090209,1.2406000081,-0.2857862843,0.5144658017,0.0016019143,0.2606000659,1.0516917631,0.1837086821,0.9255183645,0.0668356439,0.5399327676,0.5904063099,0.1111655720,2.3985712954,-0.0621160632,0.2030390211,0.2699643974,0.5864982621,0.4674611172,0.1224295842,BRCA
GSM481008,0.9932991063,0.0513148363,0.1053648011,0.5674398514,2.3345407601,0.1765837700,0.4269127093,2.4718489613,1.6622805248,1.4130563687,-0.3295800680,0.6508747990,0.2086261566,0.4047704326,1.0726860836,0.1199409844,1.0612640086,0.2171431813,0.4682674665,0.2612752523,0.2616817639,2.4446920753,0.0012555714,0.1490175020,0.1605632000,0.8310980052,0.3357764284,0.2377787365,Control
GSM481009,0.3826051094,0.2053698244,0.0205618788,0.0345721914,0.8611834156,-0.2877483700,0.2450311447,2.3752163139,1.3427748691,1.2290664523,-0.3791970453,0.4550974803,0.0623427681,0.2795271149,0.7096309500,-0.0310865428,-0.0767497015,0.1710524842,0.1445371820,0.4793521173,0.1553505233,2.4154436141,-0.0048567386,0.0807280921,-0.0320870272,0.3619636111,0.3866094772,0.0173002317,Control
GSM481010,0.7977590973,0.2773755571,0.1562225824,1.0544758518,1.4802741130,0.2503783869,0.6958391050,2.2928202538,1.7509254467,1.4177720431,-0.1659537502,0.5145258490,0.1809599443,0.5158594621,1.1154199801,0.1620686616,0.7550900512,0.3209661450,0.2815044061,0.3356299657,0.2383755020,2.2814118394,0.0688335455,0.2435579410,0.2509317977,0.9323665536,0.5393101999,0.1772532665,Control
GSM481011,1.5676906770,0.1101839186,0.0381124616,0.1915354563,1.6942934202,-0.0472684243,0.3554290061,2.9142592024,1.9492786230,1.5342162812,-0.2631768049,0.2927776497,0.0443784665,0.3978262835,1.5733309313,0.2404869166,0.8490704160,0.0518733455,0.2143740578,0.4277374177,0.1608414260,2.8155515152,-0.0475626586,0.0857347009,0.2114646371,0.5158596456,0.4785806192,0.0456852345,Control
GSM481012,0.8442022817,0.2327907026,0.1050884402,0.4571779044,1.4667304296,-0.0748582689,0.2910755047,2.5730313081,1.5784882939,1.4462995231,-0.2534928153,0.4258948415,0.1195168558,0.4602609591,1.1019343174,0.0911824431,0.4327418197,0.2901901752,0.2722881111,0.5041692237,0.2247006382,2.6636632381,-0.0046310019,0.2235082760,0.2223655503,0.7656163925,0.6824749907,0.0579042305,Control
GSM481013,1.5557367171,-0.0204621796,-0.0100674866,0.6105374874,2.0439368443,0.1241013213,0.3526125430,2.6804092352,1.6565090109,1.0828104085,-0.2823580039,0.4236633402,0.2367984392,0.2502310655,1.2130804397,0.2032989389,1.6294833929,0.0504147144,0.5566372800,0.2723329363,0.1594503593,2.5264454656,-0.0280898488,0.0460112942,0.2532499727,0.8260619117,0.2659308557,0.1233318225,Control
GSM481014,0.7568934007,0.1959566989,0.2480745687,1.3516470437,2.4057987289,0.0763163144,0.7339751086,2.4808318230,1.2421748134,1.0844565386,-0.2643465077,0.6688850604,0.3497016751,0.3728799876,0.7769479156,0.1858299267,0.7193479280,0.4219217336,0.3175295833,0.5820554457,0.4347233781,2.1941194408,0.0084851914,0.2950834701,0.2921107814,0.6542850471,0.4320408603,0.3359571675,BRCA
GSM481015,1.3653254576,0.2252052656,0.0740842147,0.3861035510,1.4361613205,-0.1143935310,0.3338057072,3.1985581480,1.6013563458,1.3710479703,-0.3240847651,0.4712491690,0.1032914892,0.3970232428,1.2662113122,0.2108010371,1.0519241758,0.1533546003,0.1874926903,0.4912451156,0.1049263153,2.8591947300,-0.0340474368,0.1494769473,0.2929708429,0.7600912044,0.4544223816,0.4667629479,BRCA
GSM481016,1.0087918889,0.1324330497,0.1760818481,0.5531727551,2.2518089005,-0.0966432087,0.5328703985,1.7821687109,1.8586949196,1.5177585797,-0.3598354377,0.4933339885,0.0883782635,0.5611247425,1.1607094455,0.0464867247,0.3827381908,0.2452598188,0.1164702785,0.5025407076,0.2300532567,2.4599850390,0.0025573775,0.1807201017,0.3239871639,0.7538038530,0.4553474535,0.0400470257,BRCA
GSM481017,0.4592406676,0.5078889280,0.2816253087,0.2955041059,1.5479735732,-0.0757006547,1.0241653169,1.7057371149,1.3855678936,1.2257437176,-0.2598105636,0.7632601097,0.1718103302,0.4672802847,0.5629059449,-0.0165517380,0.1373565855,0.3770379567,0.0132556024,0.5669481750,0.3125990750,1.9582755479,0.0984201438,0.3590581081,0.2230204127,0.5892581679,0.4118440076,0.0662291160,BRCA
GSM481018,0.7225418732,0.1613536049,0.0651374135,0.0089924281,1.4761616706,-0.0786024547,0.0648137962,2.9837617313,1.5609027490,1.9528834257,-0.3542615871,0.3453232160,-0.0151011771,0.4103365585,0.9598313551,0.2315901537,0.7911132642,0.0611568159,0.1105532912,1.0725372362,0.0259709675,2.4696819614,-0.0661165698,-0.0092683027,0.0697378496,0.6490061675,0.6176533923,0.2378613266,BRCA
GSM481019,1.1764038818,0.1152974431,0.1438863087,1.7128690351,2.1828651075,0.0064149056,0.6236062680,2.3086055414,1.6939296023,1.1982654204,-0.2181472257,0.5245596158,0.1585245694,0.4554223602,1.0253944844,0.1500525396,0.8715875683,0.3535294580,0.4274123999,0.3843684475,0.2614769105,2.7068592139,0.0599291107,0.2534917277,0.2816247902,0.9856347627,0.5784284622,0.0764316207,BRCA
