@relation data

@attribute id string
@attribute 10257 numeric
@attribute 10599 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 1080 numeric
@attribute 10864 numeric
@attribute 109 numeric
@attribute 10998 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 123264 numeric
@attribute 1244 numeric
@attribute 1576 numeric
@attribute 1581 numeric
@attribute 196883 numeric
@attribute 200931 numeric
@attribute 2052 numeric
@attribute 23439 numeric
@attribute 2778 numeric
@attribute 28234 numeric
@attribute 3156 numeric
@attribute 343 numeric
@attribute 358 numeric
@attribute 361 numeric
@attribute 366 numeric
@attribute 3781 numeric
@attribute 3949 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 5243 numeric
@attribute 5244 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 570 numeric
@attribute 57552 numeric
@attribute 57835 numeric
@attribute 6256 numeric
@attribute 6344 numeric
@attribute 64240 numeric
@attribute 64241 numeric
@attribute 6513 numeric
@attribute 6522 numeric
@attribute 6523 numeric
@attribute 6548 numeric
@attribute 6550 numeric
@attribute 6554 numeric
@attribute 6555 numeric
@attribute 6579 numeric
@attribute 6580 numeric
@attribute 6822 numeric
@attribute 7363 numeric
@attribute 760 numeric
@attribute 8431 numeric
@attribute 8647 numeric
@attribute 8671 numeric
@attribute 8714 numeric
@attribute 9376 numeric
@attribute 9429 numeric
@attribute 949 numeric
@attribute 9971 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.8281362015,5.101878389,8.2081635635,7.149597572,6.094875369,5.539129187,12.63069834,6.701137054,6.614529956,10.327292123,7.377212971,5.645450388,8.748277668,4.657664267,6.560260697,5.081735071,5.019047182,10.97207892,5.510179653,10.24783886,4.840477407,8.533866741,4.894103816,10.31313278,5.440961538,9.3943013105,5.626355471,6.473832056,5.6974318745,12.20235811,11.74617161,7.573838635,6.305838886,5.171511767,11.0075662667,8.881298397,8.1654550638,5.76249236625,8.2936897795,5.326799101,6.36946717,5.4829326402,5.48205062,8.2742311235,4.993687096,8.2682635945,7.04968034167,12.34948589,6.089906589,6.85901018,5.564691589,8.66464383,8.694898579,7.932570767,11.49398064,5.105815554,4.908706346,5.364932404,5.2019216324,5.7748329895,4.498041621,6.04208923,10.963746465,5.011016147,5.817758343,5.6204611975,7.716785011,5.061788345,6.796010803,11.30621853,4.927435762,Control
GSM427159,6.4902600365,5.2265271105,6.3425008425,6.461320332,5.648473532,5.39956731133,13.03258307,7.221082271,5.841225451,10.2384186075,7.013074525,5.65593226,8.080472632,4.816102093,5.070616072,5.119990277,5.862210374,10.9073904,5.152803256,9.510972362,4.708480413,8.84345400733,4.744715005,10.257618,5.415666779,9.0667346825,5.2678601435,6.6596432,5.639192107,10.86989475,11.7601478967,8.499737407,6.107327595,5.404814027,11.0786587633,8.993477034,7.6774776296,5.667460738,9.175855389,5.085988894,6.0929297895,5.5428379012,5.804719114,8.137035193,4.576912188,7.89119915,7.56171989367,12.1490422,5.932044187,6.436841129,5.571533663,10.69176121,9.011647369,9.013141976,11.84250171,5.263796174,5.648473532,5.456322582,5.2911445826,5.7235488545,4.647773112,4.716563977,9.558696607,4.708480413,5.152803256,5.457316777,7.650747482,5.070616072,6.842228149,10.61404749,5.513973286,BRCA
GSM427160,6.644602886,5.0449468895,7.5711783515,6.767195028,5.766735111,5.46852217133,12.19349773,8.427167336,6.323194968,9.769915947,7.338293201,6.0290173,8.026856932,5.062004299,5.71384099,4.806596392,5.995434345,9.496554786,5.531000265,8.348629823,4.991874681,9.29076107,5.042218873,10.54869216,5.687068563,7.505111076,5.6407399735,6.086195285,5.4315470595,10.64577575,12.3780996267,5.72110688,6.059188284,5.6687672635,11.3381346567,8.935534242,7.590935683,5.53236536425,8.601862379,5.312711681,5.9034588485,5.4641368762,5.527329405,9.1235010805,5.48205062,8.0344811415,7.31004577667,11.75795051,5.838328613,6.296416681,5.112503363,9.826628375,8.99655902,10.42293494,12.09766027,5.826428522,5.690704299,5.117498954,6.1460431452,5.913708473,5.266984428,4.95623024,9.1578235905,5.249645622,4.889243844,5.897498289,8.052154908,4.959319531,5.263044971,10.89094843,5.198505203,BRCA
GSM427162,5.649581786,5.9854039175,7.0913602235,6.763813641,5.749541809,5.691480408,12.23565236,8.562873108,6.331145921,10.3820872935,7.478529234,5.876032641,8.120096744,5.402254249,5.535750687,5.584068992,6.340211188,10.39270411,5.82324701,8.873744867,5.229406468,8.629147321,4.916490079,10.42231215,5.312711681,7.757815305,5.2429618485,6.20496783,5.6411138805,11.0791816,12.0413844233,5.460424154,6.037388399,4.908661704,9.415136053,9.524248408,7.1937672274,5.29784002825,7.645353686,5.480516577,6.323322532,5.1156792046,5.655216748,9.2078924525,4.441925913,7.6569583035,7.837268875,11.71789713,6.209020126,6.506054132,5.279481742,9.749233029,8.696325232,8.670710349,12.00568429,5.584068992,5.259471408,5.407702206,5.754767318,6.134635919,5.093191733,4.8851370905,9.7689666565,4.978894894,5.771893004,5.773682831,7.163384394,5.464840793,4.950364885,10.69485433,5.254944744,Control
GSM427163,6.456363187,5.2902147925,7.084991265,6.854560258,5.361953639,5.878218791,12.7347446,8.251531081,5.680472929,9.671974648,7.297193996,5.824138541,8.28785217,5.301780818,5.308895293,5.197326058,5.415666779,9.358629843,5.759829109,10.10402901,5.636197729,9.35589447533,5.144465785,10.54158093,4.953045476,7.7412910305,5.765417796,6.144052107,5.936931733,11.61281105,12.0522698633,7.181900437,6.192791506,5.407338246,11.0671163433,8.886703411,7.6579137982,5.411301389,8.3249413085,5.429625378,6.52394041,5.466218321,6.407145055,8.5157239865,5.588723066,7.77505236,7.583833142,11.58147143,5.856743757,6.552558153,5.620154746,9.520845097,8.854962736,11.02316716,11.58443655,5.435804628,5.530141964,5.349976695,6.1058861592,5.6573832995,5.170937787,5.519435083,9.6715876845,5.291135005,5.963711807,5.501472874,7.965244826,4.488522104,7.684435024,10.71141341,5.636197729,BRCA
GSM427164,7.268549519,5.4356665065,6.50402659,6.543500233,5.409400483,5.44858506167,12.65857307,6.425766121,6.872247394,9.753034207,7.806535324,6.352798794,8.529822044,5.186075849,5.722063796,5.342529189,5.743764871,10.16002932,5.91922759,9.144799144,4.721662605,9.078168623,4.877267261,11.01714614,5.479950992,9.3862993995,5.4685290695,9.754295076,5.7066961225,13.42739342,12.5635974,6.847624679,6.2181085,5.3785945915,12.1145166367,8.792953849,8.0926699198,5.25698314425,9.4119523715,5.566519317,5.9174340255,5.6759717936,5.625863148,8.0343196725,5.36773034,10.02077029,7.120919536,11.56493436,5.840847932,6.796951756,5.374005926,11.12792359,9.269361142,10.31961599,11.98277091,5.30998672,4.801690636,5.182306199,5.5909866782,5.4521897645,5.167128322,5.5416179735,9.993060077,5.294814856,5.889480387,5.9464134385,7.6988737995,5.401742447,7.874921618,10.14979827,5.778347403,BRCA
GSM427165,5.7548972405,5.883265422,6.201503818,6.456482249,6.219367603,5.459828215,13.34505663,6.913221911,5.057462456,9.1297731835,7.967285529,5.779661087,8.167494826,4.85101346,5.472984221,4.649642211,5.836246857,9.341019005,6.067010094,8.454567782,4.567828407,8.46320594233,5.622938584,10.96434468,4.700735,7.7916181325,4.8376460585,6.200609914,5.1901707755,11.77742394,10.9018499343,5.682019293,7.481256805,5.4209960565,8.83242227333,8.710342497,7.77673562,5.3340312765,7.597355895,5.701348918,6.330484187,5.5322651396,6.430289978,8.079817226,4.899068355,7.802714755,7.95696234967,11.14654022,5.520352508,6.307980018,4.85650179,10.06394142,8.534916724,7.364180901,12.46971692,5.263890047,4.145262653,6.101508918,5.0854369732,6.246725713,4.993460669,5.387177849,9.670242546,5.046808884,5.46859248,5.2510023165,8.126866039,5.052580276,5.804783636,10.08948727,5.405661632,BRCA
GSM427166,6.272878738,5.3386342155,7.6188571805,7.109938036,5.826809832,5.55175807867,12.39966386,7.789307238,6.091811548,9.643814388,7.667823176,5.862458365,8.80888466,4.867045482,5.838328613,5.364932404,5.808263565,9.812386363,5.427112717,9.517561686,4.908346081,8.875123686,4.771372469,9.76569681,5.540872931,9.0903230765,5.828778349,6.970454296,5.800725766,10.69807978,11.77433084,7.766961362,6.47143593,5.8222575895,11.6829085233,8.934251932,8.060705661,5.71394497725,7.6280945285,5.364932404,5.9718598575,5.3094441946,5.233822166,8.116304847,4.703782956,7.9770666765,7.08793490233,11.50810934,6.409989636,6.807551749,5.321757891,9.624905607,8.709033072,9.259184861,11.41027128,5.216465777,5.273526379,4.894103816,5.6884673112,5.6188405985,5.238893118,5.5091785575,10.896852955,5.30196368,5.384232247,5.825548677,7.892094081,4.867045482,5.998427535,10.51584792,4.942762263,Control
GSM427167,6.979140945,5.272324469,8.092918242,6.816347305,6.000682441,5.31311213567,12.05932765,8.442550769,6.099511534,9.557649091,7.357466507,5.813403636,8.17986074,5.218598349,5.438135838,5.835425946,5.430796457,9.898586698,5.32446073,8.750255707,5.221694654,9.29028807333,4.850513484,10.70804518,5.604153814,8.4342146665,5.8886693085,6.025920925,5.513186469,11.73846187,12.3698481033,8.920911903,5.838328613,6.229757997,11.8796742633,9.169130251,7.891337482,5.4692828215,8.414922545,5.123512303,6.3825279205,5.291675395,5.844493149,9.095386554,5.352274105,7.903264414,7.15616653333,11.16693525,5.922323489,6.826170683,5.445106951,9.281942267,8.812948295,9.507616831,11.72159494,5.9893725,5.210049084,4.66791382,6.0827014726,5.9145365315,5.30196368,5.2415956165,10.349992835,4.984374307,5.224591417,5.301831852,7.3969158535,5.32446073,6.165415173,10.43324145,5.458210754,BRCA
GSM427169,6.26660847,5.3360874045,7.599297253,7.016310012,5.886678931,5.730207067,11.61491238,8.020912072,6.072647808,10.0619138165,7.247645413,5.659004925,8.633940747,4.726575091,4.854508448,4.854508448,5.303973626,9.608828239,5.977400858,10.05022317,5.139972076,8.55731348,4.854508448,10.56633026,4.435394156,8.0482500635,5.542788484,6.620187286,5.4286280795,11.15889068,12.0528531,7.510370809,6.137304345,5.5306956595,11.8340178433,8.786074471,7.6172088754,5.003627072,8.498755035,4.977407298,6.3457281585,5.3589494338,5.913135501,8.399665163,5.250782787,8.093681415,7.530396257,12.29242381,6.169980729,6.852938696,5.935466377,9.610619386,8.976994451,8.198618308,11.86526555,5.745379368,4.661658909,5.964751666,5.1624705018,5.7677633495,4.963487128,5.5971585195,8.715547198,5.396956849,5.013139794,5.682893787,7.85338144,4.372446621,6.078850631,10.93507131,4.953278335,BRCA
