@relation data

@attribute id string
@attribute 207 numeric
@attribute 2309 numeric
@attribute 2690 numeric
@attribute 3265 numeric
@attribute 3479 numeric
@attribute 3480 numeric
@attribute 5290 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 6464 numeric
@attribute 6647 numeric
@attribute 6648 numeric
@attribute 6649 numeric
@attribute 847 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6157,0.5948,-0.0986,0.4236,-0.0909,0.4989,1.5746,1.8406,1.4982,0.7565,0.9827,2.2301,-0.3071,1.2514,Control
Utah__A02,0.5686,0.373,-0.0029,0.3716,-0.0973,0.1816,1.3014,2.0413,1.1993,0.8046,0.6462,2.289,-0.1133,1.1282,Control
Utah__A03,0.6805,0.571,-0.0597,0.3757,-0.0919,0.1979,1.3967,2.162,1.3339,0.7989,0.7672,2.354,-0.253,1.1845,Control
Utah__A04,0.6225,0.4068,-0.0411,0.3609,-0.0847,0.2293,1.353,2.0983,1.4882,0.8019,0.7414,2.51,-0.0609,1.1934,Control
Utah__A05,0.7463,0.5365,-0.0301,0.4772,-0.034,0.3115,1.4836,2.0939,1.3381,0.8988,0.7189,2.4864,-0.0943,1.3169,Control
Utah__A06,0.6458,0.5076,-0.0545,0.2467,-0.0936,0.331,1.3845,1.9853,1.3761,0.7671,0.6333,2.3059,-0.1844,1.2934,Control
Utah__A07,0.597,0.8894,-0.0524,0.364,-0.0679,0.5224,1.5934,1.9624,1.6231,0.7989,0.7512,2.3407,-0.156,1.4067,Control
Utah__A08,0.5375,0.9915,-0.097,0.2967,-0.0714,0.8759,1.7501,2.0579,1.714,0.784,0.6524,1.9268,-0.3139,1.2435,Control
Utah__A09,0.5633,0.772,-0.0708,0.349,-0.0975,0.5908,1.4582,1.976,1.5464,0.7778,0.7104,2.18,-0.2473,1.2532,Control
Utah__A10,0.5633,0.9771,-0.0928,0.398,-0.0678,0.3276,1.6941,2.115,1.6535,0.79,0.6723,2.5407,-0.214,1.2948,Control
Utah__A11,0.54,0.5794,-0.0858,0.2904,-0.0749,0.3053,1.2025,1.5981,1.2442,0.5794,0.6915,1.8124,-0.2535,1.2353,Control
Utah__A12,0.3955,0.3496,9e-04,0.2032,-0.112,0.1393,0.9215,1.6271,1.0289,0.5636,0.3998,1.8813,-0.2475,0.8801,Control
