@relation data

@attribute id string
@attribute 1374 numeric
@attribute 31 numeric
@attribute 3952 numeric
@attribute 3953 numeric
@attribute 51422 numeric
@attribute 53632 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 5564 numeric
@attribute 5565 numeric
@attribute 5571 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.8654,0.4742,-0.0905,0.4827,0.3976,0.1036,1.3738,-0.117,1.2388,1.1575,1.351,Control
Utah__A02,0.8338,0.2145,-0.1169,0.3801,0.2947,0.1232,1.2086,-0.0836,0.9662,0.9426,1.1982,Control
Utah__A03,0.9563,0.3981,-0.0061,0.4038,0.3798,0.0606,1.2768,-0.0867,1.1472,1.0291,1.3648,Control
Utah__A04,0.9868,0.2248,-0.0642,0.4456,0.3259,0.1424,1.2704,-0.1014,1.1062,1.0656,1.197,Control
Utah__A05,0.9343,0.4025,-0.0393,0.6123,0.4287,0.0516,1.3214,-0.0981,1.2425,1.2047,1.4345,Control
Utah__A06,0.8038,0.3615,-0.0801,0.5148,0.3681,0.0896,1.2028,-0.1108,1.0399,1.0346,1.3816,Control
Utah__A07,1.0598,0.3738,-0.0385,0.603,0.5911,0.1877,1.3566,-0.0574,1.2614,1.0969,1.3542,Control
Utah__A08,0.8631,0.546,-0.1397,0.3363,0.5935,0.1577,1.4406,-0.1312,0.9565,1.1546,1.1326,Control
Utah__A09,0.8442,0.3248,0.0071,0.3756,0.4881,0.2012,1.2888,-0.0639,1.0518,0.9803,1.2257,Control
Utah__A10,0.8072,0.4106,-0.0924,0.4539,0.5295,0.1245,1.456,-0.1561,1.1366,1.2655,1.2199,Control
Utah__A11,0.6726,0.3337,-0.0814,0.2688,0.2398,0.0374,1.0445,-0.1344,1.0966,0.7936,1.243,Control
Utah__A12,0.4076,0.0596,-0.0073,0.3169,0.2497,0.2195,0.9707,-0.0019,0.6934,0.6998,0.9241,Control
Utah__B01,0.7323,0.3273,-0.0241,0.4785,0.3739,0.1644,1.3654,-0.1924,0.8896,1.026,1.0479,Control
Utah__B02,0.872,0.263,-0.0038,0.4982,0.3679,0.1622,1.4322,-0.1054,1.1773,1.128,1.2721,Control
Utah__B03,0.7043,0.3012,-0.0726,0.2685,0.2937,0.0793,1.4131,-0.1515,1.1106,1.1263,1.1418,BRCACancer
Utah__B04,0.7058,0.3862,-0.0073,0.5011,0.7195,0.1488,1.4252,-0.0834,0.7283,1.058,0.9219,BRCACancer
Utah__B05,0.7238,0.2269,-0.1266,0.2998,0.3209,0.1364,1.1955,-0.0544,0.8291,0.7962,0.9818,BRCACancer
Utah__B06,0.2574,0.2277,0.0177,0.2382,0.1742,0.1631,1.1453,-0.0568,0.7161,0.9534,0.8586,BRCACancer
Utah__B07,0.8176,0.2822,-0.0022,0.5502,0.4083,0.1819,1.5367,-0.0641,1.1502,1.1489,1.3023,BRCACancer
Utah__B08,0.7806,0.2979,-0.1275,0.5008,0.23,0.0615,1.1639,-0.0854,1.1604,0.8418,1.3442,Control
Utah__B09,0.5463,0.3849,-0.0165,0.3847,0.5483,0.1684,1.2231,-0.2037,0.7263,0.9832,0.7949,Control
Utah__B10,0.4373,0.2844,-0.037,0.2734,0.5143,0.1469,1.2254,-0.0837,0.7556,0.7334,0.8996,Control
Utah__B11,0.5547,0.2763,-0.0342,0.4554,0.4018,0.1706,1.1593,-0.099,0.9577,0.8504,0.9778,Control
Utah__B12,0.3634,0.2193,-0.0308,0.1907,0.5073,0.0964,1.0025,-0.0356,0.5534,0.6051,0.4198,Control
Utah__C01,0.8073,0.3878,-0.0335,0.4174,0.5383,0.1966,1.2128,-0.064,1.0304,1.1033,1.213,BRCACancer
Utah__C02,0.6342,0.2429,0.0467,0.4817,0.3351,0.1582,1.2237,-0.1076,1.1488,1.0349,1.0972,BRCACancer
Utah__C03,1.0585,0.3091,-0.0532,0.346,0.4006,0.166,1.3215,-0.0922,1.1146,1.3339,1.2281,BRCACancer
Utah__C04,0.5747,0.136,-0.1382,0.3895,0.1468,0.117,0.8073,-0.0678,0.7272,0.6716,0.7966,Control
Utah__C05,0.5366,0.1685,-0.0853,0.2352,0.2084,0.1631,0.8391,-0.1458,0.7652,0.7184,0.8935,BRCACancer
Utah__C06,0.1972,-0.0435,-0.0513,0.0031,0.0498,0.1874,0.2444,0.0114,0.2332,0.1698,0.3313,Control
Utah__C07,0.6334,0.1673,-0.1176,0.5419,0.2104,0.1007,1.0515,-0.0831,0.8144,0.7348,0.915,Control
Utah__C08,0.7435,0.3156,-0.0518,0.5441,0.2645,0.1183,1.0713,-0.0983,1.1315,1.0376,1.1187,Control
Utah__C09,0.9523,0.1822,-0.1361,0.2849,0.2102,0.0714,1.0802,-0.16,0.8923,0.8135,0.9233,Control
Utah__C10,0.6368,0.1636,-0.0174,0.2758,0.2524,0.1576,1.0429,-0.0734,0.8144,0.9796,0.9311,BRCACancer
Utah__C11,0.8063,0.3535,-0.1548,0.4208,0.2465,0.0581,1.1043,-0.1033,1.0204,1.0582,1.1082,Control
Utah__C12,0.4448,0.0732,-0.0471,0.3864,0.122,0.1271,0.7512,-0.0718,0.6184,0.5891,0.732,BRCACancer
Utah__D01,0.5702,0.3903,-0.0208,0.0679,0.6914,0.0677,1.1554,-0.1977,0.7285,0.8869,0.7553,BRCACancer
Utah__D02,0.8406,0.2351,-0.0807,0.3307,0.1725,0.0415,1.0415,-0.0471,1.0422,0.8132,0.9694,BRCACancer
Utah__D03,0.7257,0.1645,-0.0698,0.3756,0.2379,0.0934,0.9601,-0.0197,0.5977,0.7223,0.8262,BRCACancer
Utah__D04,0.8437,0.2667,0.0253,0.3185,0.3069,0.0813,0.9733,-0.0778,0.8577,0.788,0.959,BRCACancer
Utah__D05,0.8351,0.1553,0.0175,0.3698,0.3418,0.1671,1.1633,-0.0579,0.903,0.878,1.0081,BRCACancer
Utah__D06,0.7563,0.3446,-0.0871,0.407,0.3213,0.1271,1.1865,-0.1354,1.0281,1.2046,1.1133,BRCACancer
Utah__D07,0.8361,0.171,-0.0369,0.4501,0.2703,0.0804,1.2014,-0.0548,0.9796,1.0734,1.0978,Control
Utah__D08,0.6695,0.1329,-0.1195,0.2742,0.2517,0.2062,0.8953,-0.1156,0.7532,0.7392,0.7545,Control
Utah__D09,0.6464,0.222,-0.1255,0.4307,0.2996,0.189,1.1376,-0.0647,0.9727,1.067,1.0717,Control
