@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1965 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5610 numeric
@attribute 5611 numeric
@attribute 5970 numeric
@attribute 7157 numeric
@attribute 8894 numeric
@attribute 9020 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.5306,1.368,1.6889,2.2235,1.8188,1.1981,1.4148,0.7723,0.7383,0.7542,Control
Utah__A02,1.317,1.1774,1.279,2.0678,1.2849,1.0561,1.23,0.5902,0.4773,0.5135,Control
Utah__A03,1.5532,1.3773,1.4481,2.7745,1.8364,1.2083,1.459,0.8387,0.5453,0.7466,Control
Utah__A04,1.0954,1.1666,1.4307,2.2888,1.2758,1.1151,1.4617,0.598,0.4587,0.6238,Control
Utah__A05,1.4575,1.2895,1.5153,2.4787,1.5038,1.2487,1.5159,0.7928,0.4738,0.6847,Control
Utah__A06,1.4051,1.2106,1.3528,2.4894,1.4959,1.1758,1.312,0.6071,0.559,0.5878,Control
Utah__A07,1.4813,1.3507,1.6808,1.9854,1.3792,1.2759,1.2303,0.6983,0.6532,0.7607,Control
Utah__A08,1.3335,1.1975,1.8517,1.9135,1.4814,1.217,1.2164,0.6576,0.657,0.7338,Control
Utah__A09,1.4215,1.2792,1.6,2.2018,1.3728,1.2095,1.304,0.5363,0.5049,0.6833,Control
Utah__A10,1.4407,1.3534,1.6339,2.1342,1.4402,1.3093,1.2969,0.5893,0.5333,0.7161,Control
Utah__A11,1.3452,1.2973,1.1125,2.0686,0.9744,1.0803,1.1956,0.5293,0.4901,0.5971,Control
Utah__A12,0.8449,0.8654,1.0664,1.6783,0.6887,0.8746,0.7846,0.141,0.1866,0.259,Control
Utah__B01,1.2751,1.1337,1.5141,2.5522,1.4456,1.0715,1.1788,0.6634,0.7461,0.5788,Control
Utah__B02,1.2949,1.2506,1.4393,3.1122,1.5158,1.1009,1.5668,0.8429,0.6339,0.7221,Control
Utah__B03,1.2866,1.1835,1.4807,2.6831,1.3999,1.0974,1.3846,0.7188,0.5869,0.6262,BRCACancer
Utah__B04,1.0813,0.8922,1.6477,1.6768,1.2065,1.1343,1.1066,0.5053,0.5934,0.7358,BRCACancer
Utah__B05,1.0308,0.9801,1.2639,2.6534,0.882,1.0181,1.2743,0.5991,0.4712,0.5338,BRCACancer
Utah__B06,1.1032,0.887,1.2056,1.5007,1.0552,0.8435,0.8016,0.1854,0.503,0.3254,BRCACancer
Utah__B07,1.4799,1.2725,1.4768,2.1568,1.5644,1.1029,1.4052,0.7614,0.7281,0.7673,BRCACancer
Utah__B08,1.4267,1.2942,1.2024,1.9468,1.1072,1.1731,1.2641,0.5332,0.635,0.6147,Control
Utah__B09,0.9438,0.6819,1.3963,2.012,1.1265,1.1555,1.0746,0.4636,0.5847,0.6344,Control
Utah__B10,1.0406,1.0094,1.488,1.5794,1.4121,1.0188,0.9463,0.3786,0.3381,0.4409,Control
Utah__B11,1.2072,1.138,1.3382,1.9276,1.1409,1.0824,1.2114,0.5929,0.3966,0.5328,Control
Utah__B12,0.5564,0.4893,1.2842,1.5991,0.6033,0.6582,0.777,0.1559,0.4714,0.4741,Control
Utah__C01,1.38,1.1405,1.4466,1.9287,1.1192,1.2472,1.4302,0.7981,0.6431,0.7814,BRCACancer
Utah__C02,1.2322,1.1348,1.3945,2.0466,1.1654,1.0545,1.5139,0.6507,0.4562,0.6195,BRCACancer
Utah__C03,1.376,1.124,1.3917,2.1791,1.2768,1.0816,1.6895,0.7597,0.5611,0.8353,BRCACancer
Utah__C04,0.7702,0.7139,0.9029,2.1606,0.5574,0.822,1.2122,0.3999,0.3216,0.4063,Control
Utah__C05,0.8165,0.766,1.0868,1.6711,0.6286,0.7539,1.1245,0.3324,0.4068,0.4499,BRCACancer
Utah__C06,0.1994,0.2688,0.4197,0.8758,0.2771,0.1906,0.5461,0.1048,0.2176,0.1594,Control
Utah__C07,0.9891,0.9368,1.1322,1.6617,0.8714,0.9712,1.1737,0.2932,0.2358,0.4224,Control
Utah__C08,1.2106,1.2015,1.256,1.9071,1.1058,1.112,1.3756,0.7209,0.4732,0.5595,Control
Utah__C09,0.9552,0.9041,1.2046,1.9508,0.8762,0.9154,1.2505,0.3954,0.385,0.474,Control
Utah__C10,0.8554,0.9114,1.3224,2.0133,0.8782,0.8284,1.1881,0.4424,0.373,0.42,BRCACancer
Utah__C11,1.2111,1.2106,1.2128,1.9656,1.1212,1.0842,1.54,0.6502,0.5173,0.6056,Control
Utah__C12,0.6521,0.6753,0.9106,1.43,0.5182,0.619,1.1171,0.2727,0.1613,0.3272,BRCACancer
Utah__D01,0.9929,0.8447,1.5194,1.6585,1.0875,0.9765,1.1972,0.4303,0.5732,0.7059,BRCACancer
Utah__D02,0.988,0.9905,1.2262,1.815,0.986,0.9261,1.3901,0.6437,0.3752,0.6098,BRCACancer
Utah__D03,0.8458,0.7857,1.1064,1.6905,0.8189,0.8047,1.2135,0.4158,0.3198,0.4691,BRCACancer
Utah__D04,1.0847,1.0292,1.2679,1.9562,1.1696,0.9743,1.3126,0.6748,0.4142,0.5224,BRCACancer
Utah__D05,1.0729,0.9569,1.2268,2.2088,1.2252,0.9718,1.2803,0.4539,0.2971,0.5026,BRCACancer
Utah__D06,1.2995,1.1673,1.4003,2.0942,1.2688,1.0726,1.4453,0.6893,0.5468,0.6632,BRCACancer
Utah__D07,1.1738,1.0638,1.1684,2.0057,1.1285,0.9996,1.4693,0.5811,0.3622,0.5528,Control
Utah__D08,0.9192,0.8504,1.0552,1.7571,0.9999,0.8241,1.1476,0.3421,0.2228,0.4253,Control
Utah__D09,1.1081,0.9793,1.2624,2.0801,1.1458,0.9122,1.3605,0.6083,0.4158,0.5826,Control
Utah__D10,1.1187,1.1767,0.9767,1.7489,0.7017,0.9869,1.1994,0.347,0.2784,0.4255,Control
Utah__D11,0.3834,0.5167,0.673,1.1805,0.3483,0.5381,0.8229,0.312,0.2952,0.217,Control
Utah__D12,0.9463,0.8997,0.9607,1.7747,0.7005,0.8769,1.3293,0.539,0.2159,0.358,Control
Utah__E01,0.8794,0.8573,1.0221,2.19,0.8172,0.8266,1.2459,0.3782,0.336,0.432,BRCACancer
Utah__E02,1.1382,1.012,1.373,2.0579,1.3075,0.9666,1.3666,0.5917,0.3447,0.5403,Control
Utah__E03,1.1979,1.1323,1.1533,2.1699,1.4871,1.0734,1.4859,0.5571,0.2938,0.5321,Control
Utah__E04,1.0941,1.1145,1.3374,2.2668,1.1663,0.9859,1.6787,0.7435,0.4768,0.6201,Control
Utah__E05,1.0106,0.9663,1.3527,1.5627,1.1233,0.8592,1.2602,0.4851,0.2783,0.3706,Control
Utah__E06,0.8651,0.7273,1.0846,1.6581,0.9177,0.7502,0.8628,0.1874,0.267,0.3373,BRCACancer
Utah__E07,1.0982,1.0347,1.225,2.1918,1.092,0.9667,1.4606,0.6439,0.4182,0.5018,BRCACancer
Utah__E08,1.2776,1.1427,1.3272,2.1965,1.5751,1.0075,1.4692,0.6368,0.463,0.5874,Control
Utah__E09,1.0191,1.1037,1.1678,2.071,0.9976,1.0101,1.3755,0.6449,0.3714,0.5395,BRCACancer
Utah__E10,1.3222,1.1779,1.4889,2.0837,1.3105,1.1396,1.3407,0.6275,0.4319,0.6808,BRCACancer
Utah__E11,1.0391,0.9872,1.0555,1.767,0.857,0.919,1.314,0.3991,0.3454,0.3913,Control
Utah__E12,0.9067,0.7468,0.916,1.729,0.5755,0.8033,1.0486,0.3847,0.2264,0.3045,BRCACancer
Utah__F01,1.2669,1.165,1.5008,2.2303,1.6697,1.0404,1.5268,0.8602,0.5202,0.8149,Control
Utah__F02,1.2817,1.1875,1.5076,2.114,1.4329,1.0102,1.5288,0.7264,0.505,0.739,Control
Utah__F03,1.1961,1.0932,1.0752,1.9661,1.2122,0.9586,1.4309,0.6003,0.2852,0.4744,Control
Utah__F04,1.3463,1.202,1.4066,1.8656,1.3388,1.1081,1.2953,0.7771,0.568,0.702,Control
Utah__F05,1.216,1.1441,1.312,2.2892,1.7922,1.0378,1.3701,0.6665,0.3816,0.5691,Control
Utah__F06,1.0804,0.9476,1.1468,1.9882,0.8759,0.9922,1.1211,0.4022,0.2767,0.405,Control
Utah__F07,1.1308,1.0395,1.6271,1.9655,1.3996,0.95,1.4076,0.6026,0.377,0.6584,Control
Utah__F09,1.4097,1.3152,1.5706,2.6383,1.562,1.1756,1.5946,0.818,0.3541,0.7104,Control
Utah__F10,1.2946,1.2104,1.606,2.2768,1.6912,1.1792,1.5437,0.7583,0.4834,0.7248,Control
Utah__F11,1.2343,1.1496,1.1869,2.1094,1.223,1.2045,1.4453,0.7204,0.4129,0.5422,Control
Utah__F12,1.3002,1.227,1.5431,1.8771,1.3304,1.1382,1.194,0.522,0.4865,0.6238,Control
Utah__G01,1.089,1.0454,1.2454,1.8448,1.2168,1.1747,1.3475,0.6787,0.3492,0.5504,Control
Utah__G02,0.9009,0.9505,1.0541,1.9419,1.1142,0.9233,1.2118,0.5163,0.3886,0.4427,Control
Utah__G03,1.3432,1.2193,1.5039,2.0771,1.449,1.1057,1.4094,0.7178,0.5265,0.6606,Control
Utah__G04,1.0554,1.0732,1.4809,2.3663,1.5443,0.9638,1.3965,0.6734,0.3221,0.6347,BRCACancer
Utah__G05,0.7562,0.6651,0.9172,1.7852,0.7775,0.744,1.0147,0.4301,0.2908,0.4337,BRCACancer
Utah__G06,0.9427,0.9655,1.4127,1.8435,1.3127,0.883,1.1842,0.6126,0.3352,0.5557,BRCACancer
Utah__G07,1.0775,1.0484,1.1417,1.7517,0.9804,0.8912,1.1466,0.5999,0.3992,0.5375,Control
Utah__G08,1.3633,1.1742,1.3302,1.9168,1.3417,1.0399,1.326,0.8677,0.5978,0.6416,Control
Utah__G09,0.8881,0.8811,0.9708,1.6438,0.8833,0.8831,1.164,0.5084,0.3491,0.4274,Control
Utah__G10,0.9497,0.8555,1.0415,1.5865,0.9672,0.8079,1.0844,0.3984,0.3675,0.3482,BRCACancer
Utah__G11,0.6813,0.7822,0.8238,0.9429,0.6327,0.7038,0.6832,0.3634,0.3342,0.2732,BRCACancer
Utah__G12,0.9587,0.9264,1.1782,1.8018,1.168,0.8563,1.0758,0.4302,0.3905,0.4405,BRCACancer
Utah__H01,0.8216,0.8635,1.1039,1.5226,0.8339,0.8452,1.0627,0.5728,0.4483,0.3971,Control
Utah__H02,0.9674,0.9797,1.022,1.9814,0.8831,0.9902,1.3107,0.673,0.2848,0.4928,Control
Utah__H03,1.1258,1.0674,1.1543,1.7055,0.8291,0.972,1.1699,0.5734,0.4529,0.4879,Control
Utah__H04,1.3353,1.2303,1.2148,2.3227,1.1037,1.0444,1.4482,0.7821,0.5968,0.7146,Control
Utah__H06,1.0613,1.1271,1.2262,1.9103,1.8064,0.8992,1.4765,0.743,0.4224,0.5523,Control
Utah__H07,1.1092,1.0722,1.1636,2.3379,1.1467,0.9202,1.1564,0.5381,0.4819,0.5065,BRCACancer
Utah__H08,1.064,0.8807,1.0379,2.7807,1.4495,0.9558,1.1028,0.4222,0.3638,0.3557,BRCACancer
Utah__H09,0.5152,0.3652,1.0779,1.8487,0.5609,0.6486,0.8257,0.1439,0.2558,0.3332,BRCACancer
Utah__H10,0.7811,0.6934,1.1652,2.3991,0.7745,0.7431,0.9313,0.4097,0.3509,0.4774,BRCACancer
Utah__H11,0.8373,0.8444,1.2393,1.869,1.3693,0.8008,0.9627,0.3307,0.3634,0.3358,BRCACancer
Utah__H12,1.4692,1.196,1.4477,1.952,1.9881,1.0663,1.3379,0.6884,0.4666,0.637,BRCACancer
Utah__I01,1.2154,0.9547,1.4946,2.1927,1.8372,1.0629,1.4683,0.6206,0.4269,0.6498,Control
Utah__I02,0.7984,0.778,1.3277,1.528,0.7781,0.7525,1.0728,0.3852,0.35,0.4595,Control
Utah__I03,0.6827,0.8008,0.9514,1.3726,0.8424,0.637,0.8757,0.328,0.3691,0.3207,Control
Utah__I04,1.2496,1.1638,1.2958,2.1607,1.3318,1.0721,1.4212,0.7846,0.3567,0.6427,Control
Utah__I05,1.0923,0.9894,1.1225,1.9652,0.8489,0.8939,1.4037,0.7037,0.3903,0.6207,Control
Utah__I06,1.0758,0.9886,1.1884,2.2139,1.0024,0.9705,1.4772,0.5823,0.3269,0.5327,Control
Utah__I07,1.3225,1.1146,1.5403,2.188,1.5031,1.0647,1.681,0.9462,0.6389,0.8066,Control
Utah__I08,1.1958,0.9951,1.4997,2.0745,1.4138,1.0174,1.3335,0.5624,0.4316,0.5948,Control
Utah__I09,1.1086,1.0083,1.0226,2.0245,0.8613,0.9568,0.9694,0.4143,0.3415,0.4673,Control
Utah__I10,1.4124,1.2137,1.5616,2.075,1.5815,1.1319,1.305,0.7238,0.5547,0.6396,Control
Utah__I11,0.7548,0.7325,1.103,1.4893,0.8551,0.6971,0.9755,0.2749,0.173,0.2744,Control
Utah__I12,1.1347,1.0282,1.2758,1.8885,1.1175,0.9851,1.2155,0.5439,0.3694,0.4486,Control
Utah__I13,1.058,0.9986,1.2451,1.9792,0.9123,0.9456,1.3944,0.5697,0.4078,0.4997,Control
Utah__J01,0.8008,0.854,0.9967,1.7299,0.8495,0.7464,1.1911,0.5994,0.3362,0.4498,Control
Utah__J02,0.8311,0.9053,1.2357,1.8025,0.9063,0.7832,1.2835,0.5063,0.3938,0.5093,Control
Utah__J03,1.316,1.1611,1.2865,2.298,1.4382,1.1167,1.6053,0.7583,0.417,0.6463,Control
Utah__J04,1.222,1.1451,1.4037,2.3754,1.3239,1.1183,1.4803,0.7777,0.4324,0.6435,Control
Utah__J05,0.9895,0.8197,1.4131,1.6225,0.8961,0.9512,1.124,0.5174,0.4487,0.6354,Control
Utah__J06,0.9659,0.8291,1.5224,1.7243,1.2317,0.9076,1.002,0.3866,0.4416,0.6307,Control
Utah__J07,1.3429,1.2045,1.5142,2.9817,1.8225,1.2582,1.6324,0.8603,0.5677,0.7047,Control
Utah__J08,1.2,1.0683,1.2432,2.062,1.0496,0.9853,1.3143,0.6937,0.3806,0.5645,Control
Utah__J09,0.781,0.6557,1.3258,2.2994,0.8956,0.6715,1.1442,0.4253,0.2629,0.4987,Control
Utah__J10,1.2423,1.0723,1.6088,2.4398,1.5082,1.224,1.4447,0.6186,0.5582,0.7304,Control
Utah__J11,1.1355,0.9611,1.3547,2.3779,1.0914,1.1291,1.4045,0.6054,0.4818,0.6638,Control
Utah__J12,0.9831,0.8747,1.3682,1.8625,1.6827,0.9836,1.1189,0.5008,0.3989,0.4997,Control
Utah__K01,1.5429,1.2505,1.6644,2.2304,1.845,1.3561,1.4387,0.7713,0.5342,0.7762,BRCACancer
Utah__K02,1.4074,1.1965,1.6307,2.1043,1.576,1.2306,1.317,0.7492,0.4706,0.6629,BRCACancer
Utah__K03,1.246,1.075,1.4094,1.4867,1.2906,1.0367,1.0675,0.57,0.5585,0.5809,BRCACancer
Utah__K04,1.3152,1.1044,1.3289,1.9089,1.5481,1.1838,1.4241,0.7403,0.6531,0.7399,BRCACancer
