@relation data

@attribute id string
@attribute 10393 numeric
@attribute 11065 numeric
@attribute 246184 numeric
@attribute 29882 numeric
@attribute 29945 numeric
@attribute 4085 numeric
@attribute 51433 numeric
@attribute 51434 numeric
@attribute 51529 numeric
@attribute 64682 numeric
@attribute 701 numeric
@attribute 7321 numeric
@attribute 7324 numeric
@attribute 8697 numeric
@attribute 8881 numeric
@attribute 9184 numeric
@attribute 991 numeric
@attribute 996 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4206,0.1909,0.2728,0.5957,1.4089,0.2968,0.6766,1.4767,0.1594,1.1619,0.2603,1.5377,0.8337,1.3669,1.4228,2.7855,0.1344,0.8847,Control
Utah__A02,0.2427,0.0835,0.0101,0.4997,1.1056,0.1951,0.4697,1.2599,0.1099,0.9655,-0.0461,1.3586,0.6669,1.214,1.1064,2.6854,0.0699,0.6841,Control
Utah__A03,0.4209,0.2187,0.0354,0.5811,1.3237,0.2567,0.5855,1.3975,0.2115,0.9198,0.2869,1.6664,0.8524,1.3378,1.2908,2.5939,0.2231,0.8341,Control
Utah__A04,0.3597,0.1183,0.1261,0.6131,1.0544,0.1814,0.4254,1.3351,0.1469,1.1509,0.0037,1.2226,0.7929,1.1646,1.0137,2.563,0.0306,0.622,Control
Utah__A05,0.3338,0.2893,0.1312,0.6793,1.2023,0.1527,0.5014,1.4624,0.225,0.8541,0.1717,1.5166,0.7749,1.3066,1.2368,2.4885,0.1633,0.7883,Control
Utah__A06,0.3324,-0.0265,0.1823,0.5398,1.1275,0.1373,0.4976,1.2705,0.1072,0.84,-0.0045,1.6492,0.7601,1.2173,1.1945,2.5575,-0.0222,0.6478,Control
Utah__A07,0.4769,0.0717,0.2053,0.5309,1.291,0.2248,0.6501,1.4037,0.1443,1.0296,0.1038,1.8196,1.0061,1.2534,1.4147,2.698,0.0887,0.7934,Control
Utah__A08,0.5796,0.0635,0.0634,0.4278,1.3841,0.1127,0.8037,1.3407,0.1338,1.3401,0.0957,1.6733,1.1881,1.2194,1.3386,2.4481,-0.0415,0.9795,Control
Utah__A09,0.387,0.1093,0.1429,0.4504,1.107,0.1419,0.4934,1.3411,0.1488,1.0452,0.007,1.6688,0.9112,1.1101,1.2528,2.8122,0.1063,0.8454,Control
Utah__A10,0.4824,0.0873,0.1595,0.5256,1.3883,0.2307,0.6039,1.4367,0.1928,1.105,0.0617,1.7085,0.9757,1.2877,1.3554,2.7416,0.0801,0.8477,Control
Utah__A11,0.2933,0.0901,-0.0296,0.421,0.8459,0.1075,0.3512,1.0158,0.1769,0.8273,0.1284,1.2834,0.6878,1.0335,1.289,2.7077,-0.0152,0.6231,Control
Utah__A12,0.2967,0.0338,-0.1184,0.1439,0.821,-0.0416,0.1738,1.0906,0.0825,0.6441,-0.1375,0.9206,0.563,0.8057,0.9314,2.0513,0.2113,0.349,Control
Utah__B01,0.4229,-0.1011,0.2165,0.2394,1.3504,0.4269,0.6,1.225,-0.0693,0.9681,0.0789,1.3369,0.931,1.0784,1.3661,2.6397,-0.1033,0.72,Control
Utah__B02,0.347,0.2507,0.2503,0.6799,1.3915,0.3337,0.5865,1.5082,0.2231,1.1161,0.0382,1.4443,0.7994,1.3442,1.4671,2.8727,0.0138,0.6761,Control
Utah__B03,0.4529,-0.0802,0.1749,0.4737,1.3667,0.3951,0.5583,1.3374,0.074,1.0198,0.057,1.4113,0.8299,1.2373,1.4336,2.8623,-0.0444,0.7104,BRCACancer
