@relation data

@attribute id string
@attribute 23385 numeric
@attribute 4790 numeric
@attribute 4804 numeric
@attribute 51107 numeric
@attribute 55851 numeric
@attribute 5663 numeric
@attribute 5664 numeric
@attribute 5970 numeric
@attribute 6868 numeric
@attribute 7189 numeric
@attribute 83464 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.0716,1.6889,-0.1467,1.4868,1.2633,1.0974,0.2035,1.4148,1.5555,0.8106,1.0922,Control
Utah__A02,1.0952,1.279,-0.1184,1.3112,0.9979,0.9232,0.2341,1.23,1.3843,0.7424,0.7905,Control
Utah__A03,1.1743,1.4481,-0.0674,1.4596,1.3433,1.1903,0.354,1.459,1.776,0.9056,0.9969,Control
Utah__A04,1.0779,1.4307,-0.0156,1.475,1.1241,0.9008,0.1439,1.4617,1.415,0.7685,0.7576,Control
Utah__A05,1.3413,1.5153,-0.04,1.6922,1.4098,1.1115,0.3724,1.5159,1.6811,0.825,1.1231,Control
Utah__A06,1.1048,1.3528,-0.1855,1.3826,1.2211,1.049,0.1928,1.312,1.4233,0.7493,0.9099,Control
Utah__A07,1.1725,1.6808,-0.1457,1.3937,1.141,1.2174,0.2317,1.2303,1.6452,0.9049,1.1952,Control
Utah__A08,1.0641,1.8517,-0.1079,1.2318,0.8197,1.1808,0.1518,1.2164,1.6457,0.8033,0.9672,Control
Utah__A09,0.966,1.6,-0.057,1.3633,1.0964,1.0908,0.1851,1.304,1.4106,0.7418,1.0199,Control
Utah__A10,1.1673,1.6339,-0.0241,1.3791,1.0531,1.1793,0.2135,1.2969,1.7038,0.9223,1.0685,Control
Utah__A11,0.801,1.1125,-0.0647,1.0053,1.1073,0.9509,0.1041,1.1956,1.2094,0.7483,0.8874,Control
Utah__A12,0.705,1.0664,-0.1345,1.1017,0.8785,0.5205,0.2182,0.7846,1.1034,0.4091,0.4898,Control
Utah__B01,0.9785,1.5141,-0.3318,1.3275,0.7236,0.9361,0.2228,1.1788,1.476,0.6996,0.9788,Control
Utah__B02,1.1943,1.4393,-0.0881,1.7361,1.1159,1.1059,0.2452,1.5668,1.5398,0.8729,0.9423,Control
Utah__B03,1.0899,1.4807,-0.135,1.538,1.0324,0.9936,0.173,1.3846,1.5225,0.889,0.9272,BRCACancer
Utah__B04,0.9827,1.6477,-0.1728,1.0844,0.5844,1.1668,0.0588,1.1066,1.6275,0.7544,0.8494,BRCACancer
Utah__B05,0.9928,1.2639,-0.1671,1.1406,1.1144,0.9424,0.2068,1.2743,1.3017,0.7887,0.9677,BRCACancer
Utah__B06,0.8324,1.2056,-0.3888,0.911,0.4118,0.5855,0.0472,0.8016,1.2821,0.5568,0.6661,BRCACancer
Utah__B07,1.125,1.4768,-0.1598,1.5463,1.0017,1.1035,0.1971,1.4052,1.6493,0.8359,1.0041,BRCACancer
Utah__B08,0.921,1.2024,-0.0425,1.3652,1.2292,1.05,0.1224,1.2641,1.4176,0.7919,0.9766,Control
Utah__B09,0.738,1.3963,-0.1404,0.8982,0.4469,1.0734,0.068,1.0746,1.2219,0.6653,0.8754,Control
Utah__B10,0.9087,1.488,-0.1437,1.0584,0.6959,0.9467,0.0724,0.9463,1.284,0.6547,0.7007,Control
Utah__B11,0.9501,1.3382,-0.0283,1.2644,1.3288,0.9203,0.2033,1.2114,1.2897,0.69,0.8409,Control
Utah__B12,0.6526,1.2842,-0.1532,0.5594,0.1683,0.8923,0.0068,0.777,1.0652,0.5564,0.6083,Control
Utah__C01,1.1896,1.4466,-0.1253,1.3982,1.0964,1.2515,0.191,1.4302,1.456,0.8126,0.9845,BRCACancer
Utah__C02,1.1723,1.3945,-0.0731,1.523,1.1918,0.8875,0.206,1.5139,1.4235,0.7302,0.6758,BRCACancer
Utah__C03,1.2368,1.3917,-0.126,1.6329,1.1134,1.0357,0.3237,1.6895,1.5384,0.9752,0.9053,BRCACancer
Utah__C04,0.8346,0.9029,-0.0368,0.821,0.9037,0.6707,-0.0066,1.2122,0.8637,0.572,0.6178,Control
Utah__C05,0.9491,1.0868,-0.0741,1.0218,0.9714,0.7272,0.1026,1.1245,0.9442,0.7609,0.5387,BRCACancer
Utah__C06,0.1393,0.4197,-0.1381,0.1993,0.2481,0.2551,-0.0636,0.5461,0.41,0.1881,0.1681,Control
Utah__C07,0.9522,1.1322,-0.0628,1.1923,0.9159,0.7824,0.1433,1.1737,1.0861,0.6198,0.6067,Control
Utah__C08,0.9795,1.256,-0.1169,1.3217,1.1281,0.8918,0.1862,1.3756,1.2692,0.7965,0.8662,Control
Utah__C09,0.9719,1.2046,-0.026,1.3516,0.9984,0.6981,0.0497,1.2505,1.2091,0.7283,0.5513,Control
Utah__C10,1.1384,1.3224,-0.0483,1.4288,0.9892,0.7584,0.1239,1.1881,1.2165,0.7269,0.4879,BRCACancer
Utah__C11,1.0605,1.2128,-0.044,1.3719,1.106,0.9194,0.0797,1.54,1.2594,0.7842,0.8225,Control
Utah__C12,0.6996,0.9106,-0.0174,0.8347,0.7007,0.6094,-0.0146,1.1171,0.8148,0.5151,0.3081,BRCACancer
Utah__D01,0.8547,1.5194,-0.1369,0.891,0.4814,1.0793,0.1065,1.1972,1.4613,0.7399,0.8828,BRCACancer
Utah__D02,0.8568,1.2262,-0.0233,1.2618,0.8506,0.8358,0.0774,1.3901,1.1341,0.7075,0.6779,BRCACancer
Utah__D03,0.954,1.1064,0.0117,1.1025,0.7284,0.7603,0.1125,1.2135,1.084,0.54,0.4586,BRCACancer
Utah__D04,1.0951,1.2679,-0.0703,1.2145,1.044,0.8951,0.092,1.3126,1.251,0.7401,0.8057,BRCACancer
Utah__D05,1.1579,1.2268,-0.0673,1.4328,1.0652,0.7826,0.1555,1.2803,1.3556,0.6742,0.6397,BRCACancer
Utah__D06,1.1103,1.4003,-0.0644,1.469,0.9547,0.9837,0.2306,1.4453,1.4056,0.8039,0.816,BRCACancer
Utah__D07,1.0973,1.1684,-0.0566,1.4329,1.1114,0.8457,0.1233,1.4693,1.2365,0.7757,0.7736,Control
Utah__D08,0.8608,1.0552,-0.1214,1.0212,0.5263,0.6346,0.0922,1.1476,1.0859,0.5343,0.5555,Control
Utah__D09,1.0611,1.2624,-0.1069,1.3369,1.0004,0.7846,0.1744,1.3605,1.2757,0.6599,0.711,Control
Utah__D10,0.8892,0.9767,-0.0722,1.1383,1.3745,0.8544,0.1216,1.1994,1.0795,0.5916,0.7316,Control
Utah__D11,0.4091,0.673,-0.1684,0.4666,0.2876,0.3465,0.0154,0.8229,0.6757,0.343,0.1702,Control
Utah__D12,0.7584,0.9607,-0.037,0.9987,0.7082,0.6901,-0.0028,1.3293,0.8748,0.4175,0.5385,Control
Utah__E01,0.9154,1.0221,-0.1002,1.1358,0.6424,0.6899,0.0531,1.2459,1.0205,0.5111,0.4831,BRCACancer
Utah__E02,1.0489,1.373,-0.0651,1.5245,1.0755,0.8096,0.1222,1.3666,1.2919,0.7477,0.7581,Control
Utah__E03,1.0152,1.1533,-0.0285,1.4765,1.2329,0.8967,0.0843,1.4859,1.1509,0.6975,0.8429,Control
Utah__E04,1.2152,1.3374,0.0117,1.6544,0.985,0.8357,0.1296,1.6787,1.2985,0.7848,0.7746,Control
Utah__E05,0.9472,1.3527,-0.0999,1.2581,0.7071,0.6119,0.0367,1.2602,1.2071,0.6078,0.5442,Control
Utah__E06,0.9032,1.0846,-0.2389,0.9458,0.5642,0.6749,0.0884,0.8628,1.3108,0.5078,0.6804,BRCACancer
Utah__E07,1.1071,1.225,-0.0286,1.3538,0.9654,0.8213,0.1593,1.4606,1.2485,0.6737,0.6555,BRCACancer
Utah__E08,1.1305,1.3272,3e-04,1.5457,1.0844,0.9288,0.1016,1.4692,1.3467,0.7539,0.7834,Control
Utah__E09,0.9254,1.1678,-0.0128,1.3881,1.1795,0.7925,0.0366,1.3755,1.0759,0.7712,0.7839,BRCACancer
Utah__E10,1.1408,1.4889,-0.1023,1.5151,0.9036,1.0344,0.1576,1.3407,1.514,0.7604,0.8666,BRCACancer
Utah__E11,0.8968,1.0555,-0.1008,1.2483,0.8124,0.6383,0.019,1.314,1.0555,0.6704,0.5878,Control
Utah__E12,0.7676,0.916,-0.0976,1.1201,0.6612,0.6082,0.031,1.0486,0.9414,0.577,0.5241,BRCACancer
Utah__F01,1.1303,1.5008,-0.1679,1.3163,0.9215,1.0218,0.1132,1.5268,1.343,0.8197,0.819,Control
Utah__F02,1.2217,1.5076,-0.0853,1.504,1.0552,0.9181,0.2734,1.5288,1.4969,0.8597,0.8122,Control
Utah__F03,1.1176,1.0752,-0.1139,1.3248,1.21,0.8585,0.2048,1.4309,1.2933,0.785,0.7284,Control
Utah__F04,1.0096,1.4066,-0.1246,1.0737,0.9062,1.0537,0.1604,1.2953,1.356,0.7215,0.785,Control
Utah__F05,1.0874,1.312,-0.0509,1.4725,1.0735,0.8826,0.1444,1.3701,1.3245,0.7017,0.6427,Control
Utah__F06,1.0778,1.1468,-0.1043,1.0618,1.0121,0.75,0.2019,1.1211,1.3033,0.6562,0.5955,Control
Utah__F07,1.0421,1.6271,-0.0871,1.2778,0.7621,0.9038,0.091,1.4076,1.2533,0.7306,0.7317,Control
Utah__F09,1.2955,1.5706,0.0127,1.7152,1.3085,1.1037,0.2073,1.5946,1.5353,0.8634,0.9022,Control
Utah__F10,1.2615,1.606,-0.0516,1.6093,1.3232,1.0236,0.2974,1.5437,1.5266,0.8572,0.9796,Control
Utah__F11,1.0897,1.1869,-0.0763,1.3737,1.3492,0.9635,0.1551,1.4453,1.4096,0.7518,0.7808,Control
Utah__F12,1.0359,1.5431,-0.113,1.1053,0.9416,1.1278,0.1586,1.194,1.545,0.7772,0.7649,Control
Utah__G01,1.1492,1.2454,-0.0629,1.2073,0.7741,0.8925,0.1977,1.3475,1.2805,0.7088,0.8489,Control
Utah__G02,1.117,1.0541,0.0276,1.0536,0.8548,0.7412,0.1087,1.2118,1.0623,0.6253,0.7099,Control
Utah__G03,1.3342,1.5039,-0.1199,1.3675,1.1696,0.9369,0.1101,1.4094,1.4704,0.8707,1.006,Control
