InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.978112130834668	0.0218878691653317
Instance5	BRCA	BRCA	0.972108441256748	0.0278915587432521
Instance15	BRCA	BRCA	0.972873312361323	0.0271266876386774
Instance10	BRCA	Control	0.368849263053647	0.631150736946353
Instance11	BRCA	BRCA	0.704080932169911	0.295919067830088
Instance3	BRCA	BRCA	0.681148502217236	0.318851497782764
Instance20	BRCA	BRCA	0.892596927655042	0.107403072344958
Instance7	BRCA	BRCA	0.880313325640483	0.119686674359517
Instance18	BRCA	BRCA	0.90218157637487	0.0978184236251302
Instance2	BRCA	BRCA	0.733362316731248	0.266637683268752
Instance16	BRCA	BRCA	0.913701885699989	0.0862981143000113
Instance1	Control	Control	0.454436280020891	0.545563719979109
Instance4	Control	BRCA	0.954076434443297	0.0459235655567026
Instance6	BRCA	BRCA	0.87820021183158	0.12179978816842
Instance14	BRCA	BRCA	0.76746867817913	0.23253132182087
Instance12	Control	Control	0.482246871625869	0.51775312837413
Instance13	Control	Control	0.322929491004874	0.677070508995126
Instance9	BRCA	BRCA	0.90456294782788	0.09543705217212
Instance19	BRCA	BRCA	0.914691491962697	0.085308508037303
Instance8	Control	BRCA	0.594668498516534	0.405331501483466
