InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.987357280172644	0.0126427198273565
Instance5	BRCA	BRCA	0.956451677711507	0.043548322288493
Instance15	BRCA	BRCA	0.964642428898427	0.0353575711015728
Instance10	BRCA	BRCA	0.848204963815903	0.151795036184097
Instance11	BRCA	BRCA	0.807489429981789	0.192510570018211
Instance3	BRCA	BRCA	0.864345494424215	0.135654505575785
Instance20	BRCA	BRCA	0.868586018119955	0.131413981880045
Instance7	BRCA	BRCA	0.657121824240222	0.342878175759778
Instance18	BRCA	BRCA	0.890007065401356	0.109992934598644
Instance2	BRCA	BRCA	0.966521191505064	0.0334788084949356
Instance16	BRCA	BRCA	0.931497862574483	0.0685021374255169
Instance1	Control	BRCA	0.688213443729789	0.311786556270211
Instance4	Control	BRCA	0.829708117398538	0.170291882601462
Instance6	BRCA	BRCA	0.938315739329239	0.0616842606707613
Instance14	BRCA	BRCA	0.884757679638367	0.115242320361633
Instance12	Control	Control	0.179378175701431	0.820621824298569
Instance13	Control	Control	0.142321083098135	0.857678916901865
Instance9	BRCA	BRCA	0.80313472493251	0.19686527506749
Instance19	BRCA	BRCA	0.969808904071259	0.0301910959287406
Instance8	Control	Control	0.412244898932823	0.587755101067177
