InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.913991379412522	0.0860086205874782
Instance5	BRCA	BRCA	0.892546153012764	0.107453846987236
Instance15	BRCA	BRCA	0.748233220203521	0.251766779796479
Instance10	BRCA	BRCA	0.600226735833003	0.399773264166997
Instance11	BRCA	BRCA	0.931545041164365	0.0684549588356354
Instance3	BRCA	BRCA	0.739399589791093	0.260600410208907
Instance20	BRCA	BRCA	0.874137474372733	0.125862525627267
Instance7	BRCA	BRCA	0.66270733109566	0.33729266890434
Instance18	BRCA	BRCA	0.912985043750498	0.0870149562495017
Instance2	BRCA	BRCA	0.5	0.5
Instance16	BRCA	BRCA	0.917452892319149	0.0825471076808512
Instance1	Control	Control	0.339615236897868	0.660384763102132
Instance4	Control	BRCA	0.942424065972642	0.0575759340273585
Instance6	BRCA	BRCA	0.92357692592152	0.0764230740784801
Instance14	BRCA	BRCA	0.905564574523942	0.0944354254760574
Instance12	Control	Control	0.141138028169364	0.858861971830636
Instance13	Control	BRCA	0.552328769366634	0.447671230633366
Instance9	BRCA	BRCA	0.835419873612444	0.164580126387556
Instance19	BRCA	BRCA	0.957207790358106	0.042792209641894
Instance8	Control	Control	0.410665214078716	0.589334785921284
