InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.957239825143766	0.0427601748562341
Instance5	BRCA	BRCA	0.679812698370932	0.320187301629068
Instance15	BRCA	Control	0.46596521480567	0.53403478519433
Instance10	BRCA	BRCA	0.704313572605019	0.295686427394982
Instance11	BRCA	BRCA	0.59211933525517	0.40788066474483
Instance3	BRCA	BRCA	0.774194499376476	0.225805500623524
Instance20	BRCA	BRCA	0.755677734924611	0.244322265075389
Instance7	BRCA	Control	0.431291642236136	0.568708357763864
Instance18	BRCA	Control	0.410417790980949	0.589582209019051
Instance2	BRCA	Control	0.135712425874273	0.864287574125727
Instance16	BRCA	BRCA	0.954707208720514	0.0452927912794857
Instance1	Control	Control	0.432702965583557	0.567297034416443
Instance4	Control	BRCA	0.984038650577727	0.0159613494222734
Instance6	BRCA	BRCA	0.73413470529006	0.26586529470994
Instance14	BRCA	BRCA	0.974285089232971	0.0257149107670287
Instance12	Control	BRCA	0.536322589098005	0.463677410901995
Instance13	Control	Control	0.13724543877351	0.86275456122649
Instance9	BRCA	BRCA	0.655266195100369	0.344733804899631
Instance19	BRCA	BRCA	0.89155025994485	0.10844974005515
Instance8	Control	BRCA	0.603470584588357	0.396529415411643
