InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.889706470981139	0.110293529018861
Instance5	BRCA	BRCA	0.898054664075026	0.101945335924975
Instance15	BRCA	BRCA	0.917228917306408	0.082771082693592
Instance10	BRCA	BRCA	0.720260573052845	0.279739426947155
Instance11	BRCA	BRCA	0.515138759558745	0.484861240441255
Instance3	BRCA	BRCA	0.871383958809575	0.128616041190425
Instance20	BRCA	BRCA	0.712637618453317	0.287362381546682
Instance7	BRCA	BRCA	0.704266714163753	0.295733285836247
Instance18	BRCA	BRCA	0.975601498132554	0.0243985018674457
Instance2	BRCA	BRCA	0.912319780256849	0.087680219743151
Instance16	BRCA	BRCA	0.891787761376543	0.108212238623457
Instance1	Control	Control	0.200275636746005	0.799724363253995
Instance4	Control	BRCA	0.988997202123059	0.011002797876941
Instance6	BRCA	BRCA	0.817156819137773	0.182843180862226
Instance14	BRCA	BRCA	0.948188815910701	0.0518111840892989
Instance12	Control	BRCA	0.88773444207367	0.11226555792633
Instance13	Control	Control	0.072559963687632	0.927440036312368
Instance9	BRCA	BRCA	0.795100816983591	0.204899183016409
Instance19	BRCA	BRCA	0.825562651387117	0.174437348612883
Instance8	Control	Control	0.442275363756402	0.557724636243598
