InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.753083993974836	0.246916006025164
Instance5	BRCA	BRCA	0.744606494001676	0.255393505998324
Instance15	BRCA	BRCA	0.729830615635612	0.270169384364388
Instance10	BRCA	BRCA	0.685403527740179	0.314596472259821
Instance11	BRCA	BRCA	0.522561505992652	0.477438494007348
Instance3	BRCA	BRCA	0.776203207262161	0.223796792737839
Instance20	BRCA	BRCA	0.724446577688484	0.275553422311516
Instance7	BRCA	BRCA	0.712755884753859	0.287244115246141
Instance18	BRCA	BRCA	0.810282583573739	0.189717416426261
Instance2	BRCA	BRCA	0.653379154364056	0.346620845635944
Instance16	BRCA	BRCA	0.656173411941098	0.343826588058902
Instance1	Control	BRCA	0.94458350208768	0.0554164979123198
Instance4	Control	BRCA	0.908852380082427	0.0911476199175726
Instance6	BRCA	Control	0.477080491850152	0.522919508149848
Instance14	BRCA	BRCA	0.761639686866558	0.238360313133442
Instance12	Control	BRCA	0.76808104541502	0.23191895458498
Instance13	Control	BRCA	0.772336770625463	0.227663229374537
Instance9	BRCA	BRCA	0.775845065928895	0.224154934071105
Instance19	BRCA	BRCA	0.77068724617851	0.229312753821489
Instance8	Control	BRCA	0.769860560058312	0.230139439941688
