InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.719652164414855	0.280347835585145
Instance5	BRCA	BRCA	0.72196427937194	0.27803572062806
Instance15	BRCA	BRCA	0.712748708100402	0.287251291899598
Instance10	BRCA	BRCA	0.621467099125927	0.378532900874073
Instance11	BRCA	BRCA	0.686222472526407	0.313777527473593
Instance3	BRCA	Control	0.480406065958885	0.519593934041115
Instance20	BRCA	BRCA	0.718151030946693	0.281848969053307
Instance7	BRCA	BRCA	0.717037752976387	0.282962247023613
Instance18	BRCA	BRCA	0.791559952052805	0.208440047947195
Instance2	BRCA	BRCA	0.646790226625167	0.353209773374833
Instance16	BRCA	BRCA	0.755595080624804	0.244404919375196
Instance1	Control	BRCA	0.864568720300639	0.135431279699361
Instance4	Control	BRCA	0.986522134358849	0.0134778656411514
Instance6	BRCA	BRCA	0.883579690920875	0.116420309079125
Instance14	BRCA	BRCA	0.746636060913108	0.253363939086892
Instance12	Control	BRCA	0.766814738272304	0.233185261727696
Instance13	Control	BRCA	0.84037217806308	0.15962782193692
Instance9	BRCA	BRCA	0.786160840908901	0.213839159091099
Instance19	BRCA	BRCA	0.805628061843905	0.194371938156095
Instance8	Control	BRCA	0.775604434858844	0.224395565141156
