InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.949693837483191	0.0503061625168085
Instance5	BRCA	Control	0.488137905765128	0.511862094234872
Instance15	BRCA	BRCA	0.907905807273517	0.0920941927264827
Instance10	BRCA	BRCA	0.922615397466346	0.0773846025336538
Instance11	BRCA	BRCA	0.660862346273014	0.339137653726986
Instance3	BRCA	BRCA	0.766308415226825	0.233691584773175
Instance20	BRCA	BRCA	0.823738265599621	0.176261734400379
Instance7	BRCA	BRCA	0.767813228706212	0.232186771293789
Instance18	BRCA	BRCA	0.967982489326758	0.0320175106732418
Instance2	BRCA	Control	0.116355310042318	0.883644689957681
Instance16	BRCA	BRCA	0.979361913569363	0.0206380864306365
Instance1	Control	Control	0.490637203302875	0.509362796697125
Instance4	Control	BRCA	0.929573609941102	0.0704263900588979
Instance6	BRCA	BRCA	0.507095092854505	0.492904907145495
Instance14	BRCA	BRCA	0.83671595947517	0.16328404052483
Instance12	Control	BRCA	0.637884719743736	0.362115280256264
Instance13	Control	BRCA	0.830681605478243	0.169318394521757
Instance9	BRCA	Control	0.278443949313191	0.721556050686809
Instance19	BRCA	BRCA	0.983206376724316	0.0167936232756841
Instance8	Control	BRCA	0.917593132164316	0.082406867835684
