InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.742725903342368	0.257274096657632
Instance5	BRCA	BRCA	0.707318191807585	0.292681808192414
Instance15	BRCA	BRCA	0.8298464096824	0.170153590317601
Instance10	BRCA	BRCA	0.777618226905547	0.222381773094453
Instance11	BRCA	BRCA	0.719717341586788	0.280282658413212
Instance3	BRCA	BRCA	0.573609506296165	0.426390493703835
Instance20	BRCA	BRCA	0.863724001731349	0.136275998268651
Instance7	BRCA	BRCA	0.879013834212771	0.120986165787229
Instance18	BRCA	BRCA	0.713923454242163	0.286076545757837
Instance2	BRCA	BRCA	0.718242693879375	0.281757306120625
Instance16	BRCA	BRCA	0.813511310936562	0.186488689063438
Instance1	Control	BRCA	0.829682664173456	0.170317335826544
Instance4	Control	BRCA	0.76612422006543	0.23387577993457
Instance6	BRCA	BRCA	0.756361138416834	0.243638861583166
Instance14	BRCA	BRCA	0.614650906821951	0.385349093178049
Instance12	Control	BRCA	0.939092636236285	0.0609073637637152
Instance13	Control	BRCA	0.927783872575486	0.0722161274245143
Instance9	BRCA	BRCA	0.868942662104378	0.131057337895622
Instance19	BRCA	BRCA	0.871746672006215	0.128253327993785
Instance8	Control	BRCA	0.769763968985019	0.230236031014981
