InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.668683141874873	0.331316858125127
Instance5	BRCA	BRCA	0.726669093874219	0.273330906125781
Instance15	BRCA	BRCA	0.713607123765179	0.286392876234821
Instance10	BRCA	BRCA	0.713712584989923	0.286287415010078
Instance11	BRCA	BRCA	0.545216442163622	0.454783557836378
Instance3	BRCA	BRCA	0.729128746417878	0.270871253582122
Instance20	BRCA	BRCA	0.736602354109692	0.263397645890308
Instance7	BRCA	BRCA	0.737542787471974	0.262457212528026
Instance18	BRCA	BRCA	0.622634835010116	0.377365164989884
Instance2	BRCA	BRCA	0.761253145416523	0.238746854583477
Instance16	BRCA	BRCA	0.810908297734967	0.189091702265033
Instance1	Control	BRCA	0.789667719530062	0.210332280469938
Instance4	Control	BRCA	0.758432883779022	0.241567116220978
Instance6	BRCA	BRCA	0.805783683839827	0.194216316160173
Instance14	BRCA	BRCA	0.697779612227101	0.302220387772899
Instance12	Control	BRCA	0.817658528553709	0.182341471446291
Instance13	Control	BRCA	0.707267016043259	0.292732983956741
Instance9	BRCA	BRCA	0.748195519634513	0.251804480365487
Instance19	BRCA	BRCA	0.776548100059329	0.223451899940671
Instance8	Control	BRCA	0.777395727058485	0.222604272941515
