InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.977922889646841	0.0220771103531587
Instance5	BRCA	BRCA	0.962599678695084	0.0374003213049157
Instance15	BRCA	BRCA	0.640353143510081	0.359646856489919
Instance10	BRCA	Control	0.104412901908625	0.895587098091375
Instance11	BRCA	Control	0.413505746229565	0.586494253770435
Instance3	BRCA	BRCA	0.908789596852146	0.0912104031478536
Instance20	BRCA	Control	0.225317245403576	0.774682754596424
Instance7	BRCA	Control	0.257494243575377	0.742505756424623
Instance18	BRCA	BRCA	0.788999000542328	0.211000999457672
Instance2	BRCA	BRCA	0.801853563380546	0.198146436619454
Instance16	BRCA	BRCA	0.959443982738969	0.0405560172610311
Instance1	Control	BRCA	0.655530000063549	0.344469999936451
Instance4	Control	BRCA	0.940617601628547	0.0593823983714528
Instance6	BRCA	BRCA	0.768495443706712	0.231504556293288
Instance14	BRCA	BRCA	0.874491764559703	0.125508235440297
Instance12	Control	Control	0.259825215467807	0.740174784532193
Instance13	Control	Control	0.29693276509087	0.70306723490913
Instance9	BRCA	BRCA	0.82390558971641	0.17609441028359
Instance19	BRCA	BRCA	0.962927462384431	0.0370725376155693
Instance8	Control	BRCA	0.923490525913521	0.0765094740864793
