InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.938406175129781	0.0615938248702192
Instance5	BRCA	BRCA	0.902541986913507	0.0974580130864932
Instance15	BRCA	BRCA	0.90969252952293	0.0903074704770704
Instance10	BRCA	BRCA	0.757244714125726	0.242755285874274
Instance11	BRCA	BRCA	0.728828607971642	0.271171392028358
Instance3	BRCA	BRCA	0.933684018113408	0.0663159818865923
Instance20	BRCA	BRCA	0.76675908723526	0.23324091276474
Instance7	BRCA	BRCA	0.754128377523346	0.245871622476654
Instance18	BRCA	BRCA	0.831387643346217	0.168612356653783
Instance2	BRCA	BRCA	0.55658874602856	0.443411253971441
Instance16	BRCA	BRCA	0.943729486798099	0.056270513201901
Instance1	Control	Control	0.139587378981908	0.860412621018092
Instance4	Control	BRCA	0.957308179073987	0.0426918209260134
Instance6	BRCA	Control	0.273991450147262	0.726008549852737
Instance14	BRCA	BRCA	0.865211215567624	0.134788784432376
Instance12	Control	Control	0.335735866507339	0.664264133492662
Instance13	Control	Control	0.0713105533343742	0.928689446665626
Instance9	BRCA	BRCA	0.886642235947096	0.113357764052904
Instance19	BRCA	BRCA	0.952985726211954	0.047014273788046
Instance8	Control	BRCA	0.672380964479647	0.327619035520353
