InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.944305919294357	0.0556940807056435
Instance5	BRCA	Control	0.456645874899067	0.543354125100933
Instance15	BRCA	BRCA	0.586847791048782	0.413152208951218
Instance10	BRCA	BRCA	0.797741414737015	0.202258585262985
Instance11	BRCA	BRCA	0.80693542281561	0.19306457718439
Instance3	BRCA	BRCA	0.891867218046443	0.108132781953558
Instance20	BRCA	BRCA	0.84212363932208	0.15787636067792
Instance7	BRCA	BRCA	0.821577553354104	0.178422446645896
Instance18	BRCA	BRCA	0.872261444016334	0.127738555983665
Instance2	BRCA	BRCA	0.643970197802741	0.356029802197259
Instance16	BRCA	BRCA	0.885759820922343	0.114240179077657
Instance1	Control	Control	0.310304501221895	0.689695498778105
Instance4	Control	BRCA	0.969680151543253	0.0303198484567472
Instance6	BRCA	BRCA	0.930686884749229	0.0693131152507708
Instance14	BRCA	BRCA	0.882143042754441	0.117856957245559
Instance12	Control	Control	0.299772460376428	0.700227539623572
Instance13	Control	BRCA	0.78935015996053	0.21064984003947
Instance9	BRCA	BRCA	0.910829820151951	0.0891701798480489
Instance19	BRCA	BRCA	0.894586412059618	0.105413587940382
Instance8	Control	Control	0.25910732609965	0.74089267390035
