InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.911537953508466	0.0884620464915338
Instance5	BRCA	BRCA	0.919721256870485	0.0802787431295155
Instance15	BRCA	BRCA	0.746043963627273	0.253956036372726
Instance10	BRCA	BRCA	0.697108913970101	0.302891086029899
Instance11	BRCA	BRCA	0.760907228141457	0.239092771858544
Instance3	BRCA	BRCA	0.708449765203714	0.291550234796285
Instance20	BRCA	BRCA	0.750682797096906	0.249317202903094
Instance7	BRCA	BRCA	0.596110062052437	0.403889937947563
Instance18	BRCA	BRCA	0.880789442065121	0.119210557934879
Instance2	BRCA	BRCA	0.864019507192688	0.135980492807312
Instance16	BRCA	BRCA	0.84192868272096	0.158071317279041
Instance1	Control	Control	0.461503251421714	0.538496748578286
Instance4	Control	BRCA	0.963094113252858	0.0369058867471424
Instance6	BRCA	BRCA	0.762122652733556	0.237877347266444
Instance14	BRCA	BRCA	0.802787256491054	0.197212743508946
Instance12	Control	BRCA	0.649473916986186	0.350526083013814
Instance13	Control	Control	0.430674074086997	0.569325925913003
Instance9	BRCA	BRCA	0.795318437120258	0.204681562879742
Instance19	BRCA	BRCA	0.86561241116002	0.13438758883998
Instance8	Control	BRCA	0.592501559200806	0.407498440799194
