InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.936893473440954	0.0631065265590453
Instance5	BRCA	BRCA	0.840755487294196	0.159244512705804
Instance15	BRCA	BRCA	0.897668857821534	0.102331142178465
Instance10	BRCA	BRCA	0.628948340452024	0.371051659547976
Instance11	BRCA	BRCA	0.880171117055481	0.119828882944519
Instance3	BRCA	BRCA	0.886137128279485	0.113862871720515
Instance20	BRCA	BRCA	0.824200358165161	0.175799641834839
Instance7	BRCA	BRCA	0.824924259449275	0.175075740550724
Instance18	BRCA	BRCA	0.821127861070364	0.178872138929636
Instance2	BRCA	BRCA	0.69035904067353	0.309640959326471
Instance16	BRCA	BRCA	0.955603640750232	0.0443963592497683
Instance1	Control	Control	0.372384205959881	0.627615794040119
Instance4	Control	BRCA	0.894413750831141	0.105586249168859
Instance6	BRCA	BRCA	0.572588447006194	0.427411552993806
Instance14	BRCA	BRCA	0.972748714451511	0.0272512855484888
Instance12	Control	BRCA	0.608200905388621	0.391799094611379
Instance13	Control	Control	0.196754537147409	0.803245462852591
Instance9	BRCA	BRCA	0.948935760542212	0.0510642394577878
Instance19	BRCA	BRCA	0.842682628371341	0.157317371628659
Instance8	Control	BRCA	0.51548290162082	0.48451709837918
